category,instance,size,replicate,bundle_dir,route_count,cv_route_count,ev_route_count,cv_physical_vehicle_count,ev_physical_vehicle_count,total_physical_vehicle_count,ev_route_share,max_trips_per_physical_vehicle,reused_physical_vehicle_count,status,violation_count,violation_types,total_cost,Q_capacity,B_battery_kwh,num_cv_cap,num_ev_cap,elapsed_seconds
vanilla,e2-vanilla-10c-01,10,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-10c-01,3,2,1,1,1,2,0.3333333333333333,2,1,OK,0,,573.793673,3650.0,80.0,1,1,0.006225
vanilla,e2-vanilla-10c-02,10,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-10c-02,3,2,1,1,1,2,0.3333333333333333,2,1,OK,0,,643.973685,3650.0,80.0,1,1,0.005104
vanilla,e2-vanilla-10c-03,10,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-10c-03,3,2,1,1,1,2,0.3333333333333333,2,1,OK,0,,637.135116,3650.0,80.0,1,1,0.004289
vanilla,e2-vanilla-15c-01,15,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-15c-01,3,3,0,2,0,2,0.0,2,1,OK,0,,937.936212,3650.0,80.0,2,0,0.012964
vanilla,e2-vanilla-15c-02,15,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-15c-02,3,2,1,1,1,2,0.3333333333333333,2,1,OK,0,,672.578342,3650.0,80.0,1,1,0.008628
vanilla,e2-vanilla-15c-03,15,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-15c-03,4,3,1,2,1,3,0.25,2,1,OK,0,,1113.064347,3650.0,80.0,2,1,0.012289
vanilla,e2-vanilla-20c-01,20,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-20c-01,4,3,1,2,1,3,0.25,2,1,OK,0,,1155.073181,3650.0,80.0,2,1,0.017744
vanilla,e2-vanilla-20c-02,20,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-20c-02,4,3,1,2,1,3,0.25,2,1,OK,0,,1080.591389,3650.0,80.0,2,1,0.017623
vanilla,e2-vanilla-20c-03,20,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-20c-03,4,3,1,2,1,3,0.25,2,1,OK,0,,715.151214,3650.0,80.0,2,1,0.016064
vanilla,e2-vanilla-25c-01,25,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-25c-01,4,3,1,2,1,3,0.25,2,1,OK,0,,887.374749,3650.0,80.0,2,1,0.026067
vanilla,e2-vanilla-25c-02,25,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-25c-02,5,4,1,2,1,3,0.2,2,2,OK,0,,1092.508334,3650.0,80.0,2,2,0.020927
vanilla,e2-vanilla-25c-03,25,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-25c-03,4,3,1,2,1,3,0.25,2,1,OK,0,,740.875138,3650.0,80.0,2,1,0.026191
vanilla,e2-vanilla-50c-01,50,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-50c-01,8,7,1,4,1,5,0.125,2,3,OK,0,,2320.739434,3650.0,80.0,4,3,0.129093
vanilla,e2-vanilla-50c-02,50,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-50c-02,8,7,1,4,1,5,0.125,2,3,OK,0,,2195.732586,3650.0,80.0,4,3,0.131539
vanilla,e2-vanilla-50c-03,50,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-50c-03,8,7,1,4,1,5,0.125,2,3,OK,0,,2359.28661,3650.0,80.0,4,3,0.108009
