actual_customer_count,actual_evaluations,algorithm,best_cost,best_ev_routes,best_routes,clean,dominant_pair_share,elapsed_seconds,eval_budget,feasible,hidden_local_search_scores,initial_cost,instance,run_id,scale,seed,selected_pair_count,solution_path,vehicle_type_attempts,violation_count
45,400,DEFAULT_ALPHA_UCB,1094.819050250419,5,6,True,0.8238341968911918,2.5604250420001335,400,True,0,1800.6676271939593,L-main-threeshift-20c-01,small__L-main-threeshift-20c-01__DEFAULT_ALPHA_UCB__seed1,small,1,16,baselines/e2_alns/m1_fair_selector_20260710/solutions/small__L-main-threeshift-20c-01__DEFAULT_ALPHA_UCB__seed1.json,53,0
45,400,SOFTMAX,1229.5199487103268,4,6,True,0.4087403598971722,2.561997208998946,400,True,0,1800.6676271939593,L-main-threeshift-20c-01,small__L-main-threeshift-20c-01__SOFTMAX__seed1,small,1,16,baselines/e2_alns/m1_fair_selector_20260710/solutions/small__L-main-threeshift-20c-01__SOFTMAX__seed1.json,43,0
45,400,LNS,1250.9388130929538,6,7,True,0.0,5.446055083000829,400,True,0,1800.6676271939593,L-main-threeshift-20c-01,small__L-main-threeshift-20c-01__LNS__seed1,small,1,0,baselines/e2_alns/m1_fair_selector_20260710/solutions/small__L-main-threeshift-20c-01__LNS__seed1.json,0,0
45,400,DEFAULT_ALPHA_UCB,1298.887037671873,0,6,True,1.0,2.3544117499986896,400,True,0,1800.6676271939593,L-main-threeshift-20c-01,small__L-main-threeshift-20c-01__DEFAULT_ALPHA_UCB__seed2,small,2,1,baselines/e2_alns/m1_fair_selector_20260710/solutions/small__L-main-threeshift-20c-01__DEFAULT_ALPHA_UCB__seed2.json,0,0
45,400,SOFTMAX,1189.8218579108552,3,6,True,0.46272493573264784,1.831601292000414,400,True,0,1800.6676271939593,L-main-threeshift-20c-01,small__L-main-threeshift-20c-01__SOFTMAX__seed2,small,2,16,baselines/e2_alns/m1_fair_selector_20260710/solutions/small__L-main-threeshift-20c-01__SOFTMAX__seed2.json,50,0
45,400,LNS,1207.5420696325014,4,6,True,0.0,6.565874207997695,400,True,0,1800.6676271939593,L-main-threeshift-20c-01,small__L-main-threeshift-20c-01__LNS__seed2,small,2,0,baselines/e2_alns/m1_fair_selector_20260710/solutions/small__L-main-threeshift-20c-01__LNS__seed2.json,0,0
45,400,DEFAULT_ALPHA_UCB,1285.914097286147,1,6,True,1.0,2.5916797909994784,400,True,0,1800.6676271939593,L-main-threeshift-20c-01,small__L-main-threeshift-20c-01__DEFAULT_ALPHA_UCB__seed3,small,3,1,baselines/e2_alns/m1_fair_selector_20260710/solutions/small__L-main-threeshift-20c-01__DEFAULT_ALPHA_UCB__seed3.json,0,0
45,400,SOFTMAX,1189.0368371957136,3,6,True,0.7933673469387755,2.21718570899975,400,True,0,1800.6676271939593,L-main-threeshift-20c-01,small__L-main-threeshift-20c-01__SOFTMAX__seed3,small,3,16,baselines/e2_alns/m1_fair_selector_20260710/solutions/small__L-main-threeshift-20c-01__SOFTMAX__seed3.json,25,0
45,400,LNS,1200.2551469360028,4,6,True,0.0,5.5064148340024985,400,True,0,1800.6676271939593,L-main-threeshift-20c-01,small__L-main-threeshift-20c-01__LNS__seed3,small,3,0,baselines/e2_alns/m1_fair_selector_20260710/solutions/small__L-main-threeshift-20c-01__LNS__seed3.json,0,0
114,400,DEFAULT_ALPHA_UCB,2716.4141250256343,0,15,True,0.9974554707379135,13.551753207997535,400,True,0,4088.2257659851743,L-main-threeshift-50c-01,medium__L-main-threeshift-50c-01__DEFAULT_ALPHA_UCB__seed1,medium,1,2,baselines/e2_alns/m1_fair_selector_20260710/solutions/medium__L-main-threeshift-50c-01__DEFAULT_ALPHA_UCB__seed1.json,0,0
114,400,SOFTMAX,2714.4148874657335,3,16,True,0.8438287153652393,11.151161333000346,400,True,0,4088.2257659851743,L-main-threeshift-50c-01,medium__L-main-threeshift-50c-01__SOFTMAX__seed1,medium,1,5,baselines/e2_alns/m1_fair_selector_20260710/solutions/medium__L-main-threeshift-50c-01__SOFTMAX__seed1.json,0,0
114,400,LNS,2941.950500542715,14,18,True,0.0,14.37001550000059,400,True,0,4088.2257659851743,L-main-threeshift-50c-01,medium__L-main-threeshift-50c-01__LNS__seed1,medium,1,0,baselines/e2_alns/m1_fair_selector_20260710/solutions/medium__L-main-threeshift-50c-01__LNS__seed1.json,0,0
114,400,DEFAULT_ALPHA_UCB,2968.9437594927344,2,16,True,0.9267676767676768,3.298744750001788,400,True,0,4088.2257659851743,L-main-threeshift-50c-01,medium__L-main-threeshift-50c-01__DEFAULT_ALPHA_UCB__seed2,medium,2,14,baselines/e2_alns/m1_fair_selector_20260710/solutions/medium__L-main-threeshift-50c-01__DEFAULT_ALPHA_UCB__seed2.json,0,0
114,400,SOFTMAX,3302.091729914583,13,17,True,0.4719387755102041,2.5139716250014317,400,True,0,4088.2257659851743,L-main-threeshift-50c-01,medium__L-main-threeshift-50c-01__SOFTMAX__seed2,medium,2,16,baselines/e2_alns/m1_fair_selector_20260710/solutions/medium__L-main-threeshift-50c-01__SOFTMAX__seed2.json,185,0
114,400,LNS,2899.5832575588283,12,17,True,0.0,14.184059833001811,400,True,0,4088.2257659851743,L-main-threeshift-50c-01,medium__L-main-threeshift-50c-01__LNS__seed2,medium,2,0,baselines/e2_alns/m1_fair_selector_20260710/solutions/medium__L-main-threeshift-50c-01__LNS__seed2.json,0,0
