policy,policy_label,arm,scenario_count,complete_metric_count,mean_vehicle_count,mean_actual_adjustment_count,mean_route_arc_change_count,mean_vehicle_type_customer_change_count,mean_charging_action_change_count,mean_distance_km,mean_total_cost_cny,mean_total_emissions_kg,mean_response_rate_pct,mean_served_dynamic_orders,mean_used_cv,mean_used_ev,hard_infeasible_count,search_not_found_count
per_order,continuous_per_order,carbon_aware,10,10,15.6,15.5,35.9,16.6,9.0,1981.739124704001,5585.306959589928,548.4327753359618,77.5,15.5,11.6,4.0,0,5
per_order,continuous_per_order,carbon_blind,10,10,15.6,15.5,35.9,16.6,8.6,1981.739124704001,5585.306959589928,548.4327753359618,77.5,15.5,11.6,4.0,0,5
fixed_30_minutes,periodic_30_minutes,carbon_aware,10,10,15.5,9.0,32.3,15.4,7.9,1953.5562115559267,5526.6045612152375,541.4543152591282,75.0,15.0,11.5,4.0,1,4
fixed_30_minutes,periodic_30_minutes,carbon_blind,10,10,15.5,9.0,32.3,15.4,7.9,1953.5562115559267,5526.6045612152375,541.4543152591282,75.0,15.0,11.5,4.0,1,4
hybrid_500kg_or_30_minutes,proposed_500kg_or_30_minutes,carbon_aware,10,10,15.6,10.1,38.1,17.2,8.6,1938.7348364418476,5526.439794546529,538.8786026202388,76.0,15.2,11.6,4.0,0,5
hybrid_500kg_or_30_minutes,proposed_500kg_or_30_minutes,carbon_blind,10,10,15.6,10.1,38.1,17.2,8.6,1938.7348364418476,5526.439794546529,538.8786026202388,76.0,15.2,11.6,4.0,0,5
