aware_minus_blind_charging_action_changes,aware_minus_blind_cost_cny,aware_minus_blind_distance_m,aware_minus_blind_emissions_kg,aware_minus_blind_remaining_charging_window_minutes,aware_minus_blind_route_arc_changes,aware_minus_blind_used_cv,aware_minus_blind_used_ev,aware_minus_blind_vehicle_count,aware_minus_blind_vehicle_type_customer_changes,aware_solution_sha256,blind_solution_sha256,event_ids,policy,same_frozen_state,stage,state_sha256_aware,state_sha256_blind,stream_seed,trigger_second
0,0.0,0.0,0.0,0,0,0,0,0,0,361574545cb1cf0503f7858395756914a82146de301a2cb3e737db522cfe710a,361574545cb1cf0503f7858395756914a82146de301a2cb3e737db522cfe710a,ADD_016_C076|ADD_011_C037|ADD_001_C004,fixed_30_minutes,True,1,bb41b046027e08189fc62503afa97eb8cc641130f377ff53dcbc5ab0e1f03d45,bb41b046027e08189fc62503afa97eb8cc641130f377ff53dcbc5ab0e1f03d45,1,23400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,9922fcabeef9644639cb02ad8084da02dfcc544f337344ef16674d0a20579a99,9922fcabeef9644639cb02ad8084da02dfcc544f337344ef16674d0a20579a99,ADD_013_C056|ADD_002_C007,fixed_30_minutes,True,2,b9057533330ee924e78cf8801545c3c7adda083c2afa9666ac4e29005c39adba,b9057533330ee924e78cf8801545c3c7adda083c2afa9666ac4e29005c39adba,1,25200.0
0,0.0,0.0,0.0,0,0,0,0,0,0,553c067cde48f7fae1fa5d89ed1f82798d7e313416dd680adb308af9071ad805,553c067cde48f7fae1fa5d89ed1f82798d7e313416dd680adb308af9071ad805,ADD_019_C087|ADD_008_C028,fixed_30_minutes,True,3,1160f71e55b0023c8dbfc71d0768463b29a41fe5d83e74c8199beb77637e3fb2,1160f71e55b0023c8dbfc71d0768463b29a41fe5d83e74c8199beb77637e3fb2,1,32400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,f09018a737af70cbe1dc863df0de50abf37a66bcc7b6ba3cf5104899a2df368f,f09018a737af70cbe1dc863df0de50abf37a66bcc7b6ba3cf5104899a2df368f,ADD_004_C011|ADD_003_C008,fixed_30_minutes,True,4,1c8e0f45c4f983fc95082121e955bbce178a84b5b8b84ff0659f95cccb93748e,1c8e0f45c4f983fc95082121e955bbce178a84b5b8b84ff0659f95cccb93748e,1,34200.0
0,0.0,0.0,0.0,0,0,0,0,0,0,86eaaf5e11946f03bef0d3415fdd1f2aa1c2114762acd14e404dc479571271f6,86eaaf5e11946f03bef0d3415fdd1f2aa1c2114762acd14e404dc479571271f6,ADD_018_C086|ADD_009_C030,fixed_30_minutes,True,5,d3de94b32216c0853f4f34383b1b97bd07c98a0410d444ce95cffbd9fd6cdfe2,d3de94b32216c0853f4f34383b1b97bd07c98a0410d444ce95cffbd9fd6cdfe2,1,37800.0
0,0.0,0.0,0.0,0,0,0,0,0,0,cae0fc8c66aada6ebc4399ae2a7ceb993a37241fcd1eafac889bbca891f0f171,cae0fc8c66aada6ebc4399ae2a7ceb993a37241fcd1eafac889bbca891f0f171,ADD_015_C064|ADD_014_C062|ADD_012_C041,fixed_30_minutes,True,6,ef9ee0442c6612656e901a29aeb7f49f5f2ab72da97ccd96e6592d2a345190af,ef9ee0442c6612656e901a29aeb7f49f5f2ab72da97ccd96e6592d2a345190af,1,39600.0
0,0.0,0.0,0.0,0,0,0,0,0,0,8c347e0719a48acdfcc7b669aeffd3cb46c68555ebafecda9653898d614f6354,8c347e0719a48acdfcc7b669aeffd3cb46c68555ebafecda9653898d614f6354,ADD_017_C082,fixed_30_minutes,True,7,c117ca3bbc49a1fdf8dcec156a88a82281490333584447bfdcc11fcad504abe3,c117ca3bbc49a1fdf8dcec156a88a82281490333584447bfdcc11fcad504abe3,1,41400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,90021d668382ae5af9b5857c9b3558c570890ba24749c84c8bbece559161c11d,90021d668382ae5af9b5857c9b3558c570890ba24749c84c8bbece559161c11d,ADD_008_C050,fixed_30_minutes,True,1,d55ca49940f1ac593178a2c44867bed7d53d8046795378e4c0f0841addf02b33,d55ca49940f1ac593178a2c44867bed7d53d8046795378e4c0f0841addf02b33,2,25200.0
0,0.0,0.0,0.0,0,0,0,0,0,0,1811d63becb943682f59b671c7118cd1c6a7f6ba3f77e42d9b4577392a2c93e6,1811d63becb943682f59b671c7118cd1c6a7f6ba3f77e42d9b4577392a2c93e6,ADD_011_C071|ADD_018_C089,fixed_30_minutes,True,2,9f727f4eea67a2014730265f061fd65935d2085d81a102e5fad664f1c4b306d1,9f727f4eea67a2014730265f061fd65935d2085d81a102e5fad664f1c4b306d1,2,27000.0
0,0.0,0.0,0.0,0,0,0,0,0,0,894b242eb48280ca488f0a2d4deb0eb6545d122c1048bbe9eb040c801719a7f0,894b242eb48280ca488f0a2d4deb0eb6545d122c1048bbe9eb040c801719a7f0,ADD_019_C097,fixed_30_minutes,True,3,c3b784848e2c6b600d39badd4bf23241b8361cec843f9220a43b6f9cfcf43962,c3b784848e2c6b600d39badd4bf23241b8361cec843f9220a43b6f9cfcf43962,2,30600.0
