contrast,contrast_role,family,holm_adjusted_p,metric,n_cells,status
optimized_responsibility_cooperation_vs_status_quo_responsibility,primary,E3,,total_cost,0,NO_FORMAL_RESULTS
optimized_responsibility_cooperation_vs_status_quo_responsibility,primary,E3,,cross_site_service_count,0,NO_FORMAL_RESULTS
optimized_responsibility_cooperation_vs_status_quo_responsibility,primary,E3,,service_level,0,NO_FORMAL_RESULTS
optimized_responsibility_cooperation_vs_status_quo_responsibility,primary,E3,,total_emissions,0,NO_FORMAL_RESULTS
carbon_aware_charging_vs_immediate_charging,primary,E4,,charging_emissions,0,NO_FORMAL_RESULTS
carbon_aware_charging_vs_immediate_charging,primary,E4,,total_emissions,0,NO_FORMAL_RESULTS
carbon_aware_charging_vs_immediate_charging,primary,E4,,total_cost,0,NO_FORMAL_RESULTS
carbon_aware_charging_vs_immediate_charging,primary,E4,,movable_energy_kwh,0,NO_FORMAL_RESULTS
integrated_nonlinear_search_vs_linear_plan_replay_nonlinear,primary,E5,,feasible,0,NO_FORMAL_RESULTS
integrated_nonlinear_search_vs_linear_plan_replay_nonlinear,primary,E5,,total_cost,0,NO_FORMAL_RESULTS
integrated_nonlinear_search_vs_linear_plan_replay_nonlinear,primary,E5,,charging_emissions,0,NO_FORMAL_RESULTS
integrated_nonlinear_search_vs_linear_plan_replay_nonlinear,primary,E5,,infeasibility_count,0,NO_FORMAL_RESULTS
fair_cooperation_vs_independent_operation,primary,E6,,member_min_benefit,0,NO_FORMAL_RESULTS
fair_cooperation_vs_independent_operation,primary,E6,,total_cost,0,NO_FORMAL_RESULTS
fair_cooperation_vs_independent_operation,primary,E6,,fairness_ratio,0,NO_FORMAL_RESULTS
fair_cooperation_vs_independent_operation,primary,E6,,participation_activation,0,NO_FORMAL_RESULTS
full_dynamic_vs_static_no_replan,primary,E7,,total_cost,0,NO_FORMAL_RESULTS
full_dynamic_vs_static_no_replan,primary,E7,,total_emissions,0,NO_FORMAL_RESULTS
full_dynamic_vs_static_no_replan,primary,E7,,dynamic_completed_customers,0,NO_FORMAL_RESULTS
full_dynamic_vs_static_no_replan,primary,E7,,member_min_benefit,0,NO_FORMAL_RESULTS
full_dynamic_vs_static_no_replan,primary,E7,,participation_violation_count,0,NO_FORMAL_RESULTS
full_dynamic_vs_static_no_replan,primary,E7,,carbon_aware_charging_share,0,NO_FORMAL_RESULTS
full_dynamic_vs_simple_insertion,secondary,E7,,total_cost,0,NO_FORMAL_RESULTS
full_dynamic_vs_simple_insertion,secondary,E7,,total_emissions,0,NO_FORMAL_RESULTS
full_dynamic_vs_simple_insertion,secondary,E7,,dynamic_completed_customers,0,NO_FORMAL_RESULTS
full_dynamic_vs_simple_insertion,secondary,E7,,member_min_benefit,0,NO_FORMAL_RESULTS
full_dynamic_vs_simple_insertion,secondary,E7,,participation_violation_count,0,NO_FORMAL_RESULTS
full_dynamic_vs_simple_insertion,secondary,E7,,carbon_aware_charging_share,0,NO_FORMAL_RESULTS
full_dynamic_vs_full_dynamic_carbon_blind,secondary,E7,,total_cost,0,NO_FORMAL_RESULTS
full_dynamic_vs_full_dynamic_carbon_blind,secondary,E7,,total_emissions,0,NO_FORMAL_RESULTS
full_dynamic_vs_full_dynamic_carbon_blind,secondary,E7,,dynamic_completed_customers,0,NO_FORMAL_RESULTS
full_dynamic_vs_full_dynamic_carbon_blind,secondary,E7,,member_min_benefit,0,NO_FORMAL_RESULTS
full_dynamic_vs_full_dynamic_carbon_blind,secondary,E7,,participation_violation_count,0,NO_FORMAL_RESULTS
full_dynamic_vs_full_dynamic_carbon_blind,secondary,E7,,carbon_aware_charging_share,0,NO_FORMAL_RESULTS
