phase_index,bundle,seed,requested_timesteps,rollout_timesteps,model_timesteps_after_phase,monitor_file
0,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1,144000,144000,145152,monitor_phase_0000.csv
1,models/data_bundle/generated_instances/E-UK24h-三班-150,10,144000,144000,290304,monitor_phase_0001.csv
2,models/data_bundle/generated_instances/E-UK24h-三班-200,19,144000,144000,435456,monitor_phase_0002.csv
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,28,144000,144000,580608,monitor_phase_0003.csv
4,models/data_bundle/generated_instances/E-UK24h-三班-150,37,144000,144000,725760,monitor_phase_0004.csv
5,models/data_bundle/generated_instances/E-UK24h-三班-200,46,144000,144000,870912,monitor_phase_0005.csv
6,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,55,144000,144000,1016064,monitor_phase_0006.csv
7,models/data_bundle/generated_instances/E-UK24h-三班-150,64,144000,144000,1161216,monitor_phase_0007.csv
