algorithm,bundle,bundle_id,scale,seed,budget_multiplier,eval_budget,step_index,actual_evals,best_obj,current_obj,candidate_obj,reward,elapsed_seconds,wall_clock_capped,violation_count,feasible,action_destroy,action_repair,action_q,action_threshold,action_exploration,action_candidate_generator,action_search_control,requested_destroy,requested_repair,requested_q_ratio,requested_threshold_ratio,requested_exploration_ratio,requested_candidate_generator,requested_search_control,search_control_stop_requested,block_best_delta,block_current_delta,block_improved_best_count,block_improved_current_count,block_accepted_count,block_rejected_count,worker_python_executable,worker_python_version,worker_numpy_version,pilot17_best_obj,pilot17_actual_evals
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,1,1,20,1,4,1764.4490893154866,1764.4490893154866,1783.839192308816,2.4434072473636266,1.8285844000056386,0,0,1,0,1,0,0,3,1,0,random_customer_removal,regret2_insert_repair,0.1,0.0,0.3,route_compression_rebuild,continue,0,-6.333077617944355,-6.333077617944355,1,1,1,3,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1764.4490893154866,8
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,1,1,20,2,8,1764.4490893154866,1764.4490893154866,1764.4490893154866,-0.27,2.1591809999663383,0,0,1,0,1,3,0,3,1,0,random_customer_removal,regret2_insert_repair,0.3,0.0,0.3,route_compression_rebuild,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1764.4490893154866,8
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,1,1,20,3,8,1764.4490893154866,1764.4490893154866,1764.4490893154866,-0.16235704785124855,2.162025999976322,0,0,1,0,1,0,0,3,1,1,random_customer_removal,regret2_insert_repair,0.1,0.0,0.3,route_compression_rebuild,stop,1,0.0,0.0,0,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1764.4490893154866,8
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,1,1,20,1,4,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,1.3528981000417843,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,1,1,20,2,8,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,1.8572895999532193,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,1,1,20,3,12,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,2.011304200044833,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,1,1,20,4,16,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,2.0347892000572756,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,1,1,20,5,20,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,2.2843536000000313,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,2,1,20,1,4,1764.4490893154866,1764.4490893154866,1783.839192308816,2.4434072473636266,1.7150549999205396,0,0,1,0,1,0,0,3,1,0,random_customer_removal,regret2_insert_repair,0.1,0.0,0.3,route_compression_rebuild,continue,0,-6.333077617944355,-6.333077617944355,1,1,1,3,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1764.4490893154866,8
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,2,1,20,2,8,1764.4490893154866,1764.4490893154866,1764.4490893154866,-0.27,2.061558699933812,0,0,1,0,1,3,0,3,1,0,random_customer_removal,regret2_insert_repair,0.3,0.0,0.3,route_compression_rebuild,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1764.4490893154866,8
