scale,bundle,bundle_id,seed,obj_B,obj_4B,obj_16B,best_obj_extended,headroom_pct,algorithm_at_B,algorithm_at_4B,algorithm_at_16B,wall_clock_capped_B,wall_clock_capped_4B,wall_clock_capped_16B,runtime_seconds_B,runtime_seconds_4B,runtime_seconds_16B,actual_evals_B,actual_evals_4B,actual_evals_16B,violation_B,violation_4B,violation_16B,worker_B,numpy_B
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,1,1770.782166933431,1770.782166933431,1770.782166933431,1770.782166933431,0.0,winner_static_meta,winner_static_meta,winner_static_meta,0,0,0,2.2844323000172153,6.247327300021425,21.622334200073965,20,80,320,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,2,1770.782166933431,1770.782166933431,1770.782166933431,1770.782166933431,0.0,winner_static_meta,winner_static_meta,winner_static_meta,0,0,0,2.3869295999174938,6.401986400014721,20.544134100084193,20,80,320,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,3,1770.782166933431,1770.782166933431,1770.782166933431,1770.782166933431,0.0,winner_static_meta,winner_static_meta,winner_static_meta,0,0,0,1.9556419000728056,5.5007201000116765,20.343245099997148,20,80,320,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,1,2478.309599401725,2478.309599401725,2478.309599401725,2478.309599401725,0.0,winner_static_meta,winner_static_meta,winner_static_meta,0,0,0,3.941301800077781,12.679850399959832,47.953966600005515,20,80,320,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,2,2478.309599401725,2478.309599401725,2478.309599401725,2478.309599401725,0.0,winner_static_meta,winner_static_meta,winner_static_meta,0,0,0,3.753363600000739,12.028845599968918,43.22364119999111,20,80,320,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,3,2478.309599401725,2478.309599401725,2478.309599401725,2478.309599401725,0.0,winner_static_meta,winner_static_meta,winner_static_meta,0,0,0,3.8161754000466317,13.32161400001496,47.89945859997533,20,80,320,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-03,e2-threeshift-100c-03,1,3335.9368875298255,3335.9368875298255,3335.9368875298255,3335.9368875298255,0.0,winner_static_meta,winner_static_meta,winner_static_meta,0,0,0,9.555475400062278,29.370471500093117,96.17886010010261,20,80,320,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-03,e2-threeshift-100c-03,2,3335.9368875298255,3335.9368875298255,3335.9368875298255,3335.9368875298255,0.0,winner_static_meta,winner_static_meta,winner_static_meta,0,0,0,8.993984000058845,26.576081899926066,92.08765989996027,20,80,320,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-03,e2-threeshift-100c-03,3,3335.9368875298255,3335.9368875298255,3335.9368875298255,3335.9368875298255,0.0,winner_static_meta,winner_static_meta,winner_static_meta,0,0,0,8.361771600088105,26.882218100014143,93.56670359999407,20,80,320,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-03,e2-threeshift-150c-03,1,5017.380490168896,5017.380490168896,5017.380490168896,5017.380490168896,0.0,winner_static_meta,winner_static_meta,winner_static_meta,0,0,0,22.738394199986942,69.91421759990044,243.0596333000576,20,80,320,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
