anchor_family,seed,current_total_cost,gold_total_cost,total_delta,route_count,cv_routes,ev_routes,charging_actions,violation_count
winner_restoration_df608660,1,5055.051020529177,5055.051020529177,0.0,33,14,19,20,0
winner_restoration_df608660,2,4779.053444002934,4779.053444002934,0.0,32,11,21,22,0
winner_restoration_df608660,3,4791.036659140152,4791.036659140152,0.0,32,11,21,23,0
winner_restoration_df608660,4,4872.345693557946,4872.345693557946,0.0,32,12,20,20,0
winner_restoration_df608660,5,4938.529675802791,4938.529675802791,0.0,32,17,15,16,0
winner_restoration_df608660,6,4857.299029647395,4857.299029647395,0.0,32,14,18,19,0
winner_restoration_df608660,7,4839.940665975059,4839.940665975059,0.0,32,12,20,21,0
winner_restoration_df608660,8,4839.22405845257,4839.22405845257,0.0,32,12,20,22,0
winner_restoration_df608660,9,4794.909333913854,4794.909333913854,0.0,32,12,20,20,0
winner_restoration_df608660,10,5015.928380853362,5015.928380853362,0.0,34,22,12,12,0
