run_id,phase,algorithm,seed,best_cost,common_lift,native_lift,flip_lift,reference_flip_closure_cost,reference_flip_closure_lift,reference_flip_closure_attempts,reference_flip_closure_accepted_flips,native_best_updates,flip_best_updates,common_best_updates
G0_ALNS_seed1,E_G0_REAUDIT,ALNS,1,3653.2992695785156,0.0,2150.254080620283,0.0,5174.345121253789,629.2082289450091,330,14,52,0,0
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,3622.2776996989915,0.0,2181.275650499807,0.0,5174.345121253789,629.2082289450091,330,14,45,0,0
G0_ALNS_seed3,E_G0_REAUDIT,ALNS,3,3429.8734542124375,0.0,2373.679895986361,0.0,5174.345121253789,629.2082289450091,330,14,83,0,0
G0_GA_seed1,E_G0_REAUDIT,GA,1,4715.6440004348915,0.0,340.30383265464025,747.6055171092667,5174.345121253789,629.2082289450091,330,14,2,35,0
G0_GA_seed2,E_G0_REAUDIT,GA,2,4512.349883350132,0.0,767.29277601991,523.9106908287567,5174.345121253789,629.2082289450091,330,14,8,25,0
G0_GA_seed3,E_G0_REAUDIT,GA,3,4546.634669429166,0.0,481.5539649832308,775.3647157864016,5174.345121253789,629.2082289450091,330,14,8,36,0
G0_LNS_seed1,E_G0_REAUDIT,LNS,1,3622.834478725563,0.0,1036.8828729051406,1143.835998568095,5174.345121253789,629.2082289450091,330,14,50,38,0
G0_LNS_seed2,E_G0_REAUDIT,LNS,2,3584.208793064069,0.0,1071.962311875082,1147.3822452596473,5174.345121253789,629.2082289450091,330,14,60,45,0
G0_LNS_seed3,E_G0_REAUDIT,LNS,3,3590.3494167577587,0.0,1344.346730324667,868.8572031163726,5174.345121253789,629.2082289450091,330,14,27,29,0
G0_PSO_seed1,E_G0_REAUDIT,PSO,1,4591.086600561657,0.0,471.0780961525561,741.3886534845851,5174.345121253789,629.2082289450091,330,14,2,32,0
G0_PSO_seed2,E_G0_REAUDIT,PSO,2,4668.63674013568,0.0,462.9357354552858,671.9808746078324,5174.345121253789,629.2082289450091,330,14,1,38,0
G0_PSO_seed3,E_G0_REAUDIT,PSO,3,4469.892560137596,0.0,347.5931388106428,986.0676512505597,5174.345121253789,629.2082289450091,330,14,2,43,0
G0_VNS_seed1,E_G0_REAUDIT,VNS,1,4304.548665454515,0.0,85.8322807018485,1413.1724040424351,5174.345121253789,629.2082289450091,330,14,1,40,0
G0_VNS_seed2,E_G0_REAUDIT,VNS,2,3978.3560299971427,0.0,774.1593423063032,1051.0379778953525,5174.345121253789,629.2082289450091,330,14,8,43,0
G0_VNS_seed3,E_G0_REAUDIT,VNS,3,3931.7936822608513,0.0,98.24160854186357,1773.5180593960836,5174.345121253789,629.2082289450091,330,14,3,53,0
