algorithm,bks_distance_double,bks_vehicle_count_hit,bks_vehicles,common_initial_sha256,complete_bks_hit,distance_double,distance_gap_pct_if_vehicle_hit,education,elapsed_seconds,evaluations,feasible,independent_recompute_pass,instance,lexicographic_score,route_count,seed,solution_sha256,status,time_limit_seconds,vehicle_excess_vs_bks,violation_count
pyvrp_0_13_4_ils,1139.821433062584,False,10,0eca89713629030246b8e6d9c1a016339b6d99f658e221feeac6d24445d189cc,False,2799.0152640885167,,{},2.0329877910553478,,True,True,RC108,230535.01526408852,18,1,0eca89713629030246b8e6d9c1a016339b6d99f658e221feeac6d24445d189cc,OK,2.0,8,0
pyvrp_0_13_4_ils,982.139679479306,False,9,d21ede61f009f5554455e12aa221975777ab20798d3317acf9d80107bc68c8e4,False,2401.267878544048,,{},2.0154571660095826,,True,True,R112,197544.26787854405,17,1,d21ede61f009f5554455e12aa221975777ab20798d3317acf9d80107bc68c8e4,OK,2.0,8,0
project_alns,885.711390242386,False,2,1c08adaedae5e0bf6d80008fc27a7f0604cd1b4caeda1b5c46471cab12b8e823,False,1437.7203217699066,,,2.160654000006616,6,True,True,R211,58832.720321769906,5,1,7ef2a720d799bb347237a473b42e75c62f4c7d9e02ce2790eb00c3d39ef044cf,OK,2.0,3,0
pyvrp_0_12_2_hgs,885.711390242386,False,2,1c08adaedae5e0bf6d80008fc27a7f0604cd1b4caeda1b5c46471cab12b8e823,False,2904.3661311412434,,{},2.017215750005562,,True,True,R211,60299.36613114124,5,1,1c08adaedae5e0bf6d80008fc27a7f0604cd1b4caeda1b5c46471cab12b8e823,OK,2.0,3,0
pyvrp_0_12_2_hgs,828.141442290874,False,3,75b6bd9440545ebbba67dbd1a8135ba88ab3afc782f41e11e845043b02f89701,False,3737.6461085758165,,{},2.0174221250345,,True,True,RC208,79649.64610857582,6,1,75b6bd9440545ebbba67dbd1a8135ba88ab3afc782f41e11e845043b02f89701,OK,2.0,3,0
project_alns,1139.821433062584,False,10,0eca89713629030246b8e6d9c1a016339b6d99f658e221feeac6d24445d189cc,False,1567.0579078766098,,,2.1941431669984013,11,True,True,RC108,216651.05790787662,17,1,6358d0a71e0f1d106db99733cbd4391f6ab5ff9b35ff78882a4daa377ff6e1da,OK,2.0,7,0
project_alns,828.936866942834,True,10,ad1825fbff1305e453ac46e9cbb61d86efa429ad18e0900ec51391cfffc8b125,False,1592.6574971774603,92.13254479213492,,2.0122030419879593,274,True,True,C109,121822.65749717745,10,1,511a7ce1761ec17ca41240a45c3343f7f3e03e0f35c6dced552277c8a535460d,OK,2.0,0,0
pyvrp_0_13_4_ils,828.141442290874,False,3,75b6bd9440545ebbba67dbd1a8135ba88ab3afc782f41e11e845043b02f89701,False,3737.6461085758165,,{},2.019108167034574,,True,True,RC208,79649.64610857582,6,1,75b6bd9440545ebbba67dbd1a8135ba88ab3afc782f41e11e845043b02f89701,OK,2.0,3,0
project_alns,588.323800657399,False,3,3090e594f01c4001dd6d1f0de506b34007ebde30c6bf8c56f29ac1e1892796a4,False,906.7959432662639,,,2.209943708963692,8,True,True,C208,48998.79594326626,4,1,9b85a285d3e9fd0e059fb30312d57a2dbb4f84a284991d9cbee12f0675e9969f,OK,2.0,1,0
pyvrp_0_12_2_hgs,828.936866942834,True,10,ad1825fbff1305e453ac46e9cbb61d86efa429ad18e0900ec51391cfffc8b125,False,1010.7153529607525,21.929111041752538,{},2.0183717499603517,,True,True,C109,121240.71535296075,10,1,50b76189fa088c642f6158837861eb89f0f76e9da14b2106dad5a61052c1e747,OK,2.0,0,0
pyvrp_0_12_2_hgs,1139.821433062584,False,10,0eca89713629030246b8e6d9c1a016339b6d99f658e221feeac6d24445d189cc,False,2799.0152640885167,,{},2.0190216670162044,,True,True,RC108,230535.01526408852,18,1,0eca89713629030246b8e6d9c1a016339b6d99f658e221feeac6d24445d189cc,OK,2.0,8,0
project_alns,828.141442290874,False,3,75b6bd9440545ebbba67dbd1a8135ba88ab3afc782f41e11e845043b02f89701,False,1789.2012368636656,,,2.4572396660223603,8,True,True,RC208,77701.20123686366,6,1,a4a26d922242bf396c3c2f2e96e4879ad2c16f29e0591da288497668375381ad,OK,2.0,3,0
pyvrp_0_13_4_ils,588.323800657399,True,3,3090e594f01c4001dd6d1f0de506b34007ebde30c6bf8c56f29ac1e1892796a4,True,588.3238006573991,1.9323854923866958e-14,{},2.01581020798767,,True,True,C208,36657.323800657396,3,1,388a0f3a6932ea1407dbee01164454558af46f56c872671eb0b37aa4d6bfa1c4,OK,2.0,0,0
pyvrp_0_13_4_ils,828.936866942834,False,10,ad1825fbff1305e453ac46e9cbb61d86efa429ad18e0900ec51391cfffc8b125,False,2190.325319880586,,{},2.028358416981064,,True,True,C109,134443.3253198806,11,1,ad1825fbff1305e453ac46e9cbb61d86efa429ad18e0900ec51391cfffc8b125,OK,2.0,1,0
pyvrp_0_12_2_hgs,588.323800657399,True,3,3090e594f01c4001dd6d1f0de506b34007ebde30c6bf8c56f29ac1e1892796a4,True,588.3238006573991,1.9323854923866958e-14,{},2.019058292033151,,True,True,C208,36657.323800657396,3,1,db149d7b488a4651293cecf9e4df80a8e7ea3146a9c3f15b3cd0bb668d71114c,OK,2.0,0,0
pyvrp_0_12_2_hgs,982.139679479306,False,9,d21ede61f009f5554455e12aa221975777ab20798d3317acf9d80107bc68c8e4,False,2401.267878544048,,{},2.0216176669928245,,True,True,R112,197544.26787854405,17,1,d21ede61f009f5554455e12aa221975777ab20798d3317acf9d80107bc68c8e4,OK,2.0,8,0
pyvrp_0_13_4_ils,885.711390242386,False,2,1c08adaedae5e0bf6d80008fc27a7f0604cd1b4caeda1b5c46471cab12b8e823,False,2904.3661311412434,,{},2.0146533339866437,,True,True,R211,60299.36613114124,5,1,1c08adaedae5e0bf6d80008fc27a7f0604cd1b4caeda1b5c46471cab12b8e823,OK,2.0,3,0
project_alns,982.139679479306,False,9,d21ede61f009f5554455e12aa221975777ab20798d3317acf9d80107bc68c8e4,False,1292.518095217899,,,2.3226457919809036,13,True,True,R112,184956.5180952179,16,1,f33cfc3d950e6966dbafb07fe5e74a838e3ea7b47c17d01055a94e31c69ad1f8,OK,2.0,7,0
