budget,fee,layer,run_id,seed,size
4000,0.0,M0,E3__200c__M0__seed1__fee0__eval4000,1,200c
4000,0.0,M1,E3__200c__M1__seed1__fee0__eval4000,1,200c
4000,0.0,M2,E3__200c__M2__seed1__fee0__eval4000,1,200c
4000,0.0,M3,E3__200c__M3__seed1__fee0__eval4000,1,200c
4000,0.0,M4,E3__200c__M4__seed1__fee0__eval4000,1,200c
4000,0.0,M5,E3__200c__M5__seed1__fee0__eval4000,1,200c
4000,0.0,M0,E3__100c__M0__seed1__fee0__eval4000,1,100c
4000,0.0,M1,E3__100c__M1__seed1__fee0__eval4000,1,100c
4000,0.0,M3,E3__100c__M3__seed1__fee0__eval4000,1,100c
4000,0.0,M5,E3__100c__M5__seed1__fee0__eval4000,1,100c
4000,10.0,M5,E3__200c__M5__seed1__fee10__eval4000,1,200c
4000,25.0,M5,E3__200c__M5__seed1__fee25__eval4000,1,200c
4000,50.0,M5,E3__200c__M5__seed1__fee50__eval4000,1,200c
4000,95.0,M5,E3__200c__M5__seed1__fee95__eval4000,1,200c
4000,0.0,M0,E3__200c__M0__seed2__fee0__eval4000,2,200c
4000,0.0,M1,E3__200c__M1__seed2__fee0__eval4000,2,200c
4000,0.0,M2,E3__200c__M2__seed2__fee0__eval4000,2,200c
4000,0.0,M3,E3__200c__M3__seed2__fee0__eval4000,2,200c
4000,0.0,M4,E3__200c__M4__seed2__fee0__eval4000,2,200c
4000,0.0,M5,E3__200c__M5__seed2__fee0__eval4000,2,200c
4000,0.0,M0,E3__100c__M0__seed2__fee0__eval4000,2,100c
4000,0.0,M1,E3__100c__M1__seed2__fee0__eval4000,2,100c
4000,0.0,M3,E3__100c__M3__seed2__fee0__eval4000,2,100c
4000,0.0,M5,E3__100c__M5__seed2__fee0__eval4000,2,100c
4000,10.0,M5,E3__200c__M5__seed2__fee10__eval4000,2,200c
4000,25.0,M5,E3__200c__M5__seed2__fee25__eval4000,2,200c
4000,50.0,M5,E3__200c__M5__seed2__fee50__eval4000,2,200c
4000,95.0,M5,E3__200c__M5__seed2__fee95__eval4000,2,200c
4000,0.0,M0,E3__200c__M0__seed3__fee0__eval4000,3,200c
4000,0.0,M1,E3__200c__M1__seed3__fee0__eval4000,3,200c
4000,0.0,M2,E3__200c__M2__seed3__fee0__eval4000,3,200c
4000,0.0,M3,E3__200c__M3__seed3__fee0__eval4000,3,200c
4000,0.0,M4,E3__200c__M4__seed3__fee0__eval4000,3,200c
4000,0.0,M5,E3__200c__M5__seed3__fee0__eval4000,3,200c
4000,0.0,M0,E3__100c__M0__seed3__fee0__eval4000,3,100c
4000,0.0,M1,E3__100c__M1__seed3__fee0__eval4000,3,100c
4000,0.0,M3,E3__100c__M3__seed3__fee0__eval4000,3,100c
4000,0.0,M5,E3__100c__M5__seed3__fee0__eval4000,3,100c
4000,10.0,M5,E3__200c__M5__seed3__fee10__eval4000,3,200c
4000,25.0,M5,E3__200c__M5__seed3__fee25__eval4000,3,200c
4000,50.0,M5,E3__200c__M5__seed3__fee50__eval4000,3,200c
4000,95.0,M5,E3__200c__M5__seed3__fee95__eval4000,3,200c
4000,0.0,M0,E3__200c__M0__seed4__fee0__eval4000,4,200c
4000,0.0,M1,E3__200c__M1__seed4__fee0__eval4000,4,200c
