episode_index,bundle,seed,collection_policy,block_step_index,eval_budget,block_size,action_destroy,action_repair,action_q,action_threshold,action_exploration,decoded_destroy_id,decoded_repair_id,decoded_q_ratio,decoded_threshold_ratio,decoded_exploration_ratio,reward,block_best_delta,block_current_delta,block_best_route_delta,block_current_route_delta,block_accepted_count,block_rejected_count,block_improved_current_count,block_improved_best_count,block_iterations,actual_evals_before,actual_evals_after,best_obj,current_obj,violation_count,worker_python_executable,worker_python_version,worker_numpy_version,obs_00,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,0,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,18.99203618742695,-764.2901250852578,-764.2901250852578,-1,-1,16,112,15,15,128,0,128,4074.4233090188186,4074.4233090188186,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5125329494476318,0.26392224431037903,0.0,0.0,0.0,0.0,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,1,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,1.0636608041864846,-37.95133829962333,-37.95133829962333,0,0,10,118,5,5,128,128,256,4036.4719707191953,4036.4719707191953,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.00800000037997961,0.1579531729221344,0.1579531729221344,0.125,0.1171875,0.1171875,0.875,0.06666667014360428,-0.03333333507180214,0.0,0.0,0.5890403985977173,0.22288674116134644,0.1599999964237213,0.0,0.0,0.0005624999757856131,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,2,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,11.155795548313446,-399.9036646535469,-399.9036646535469,0,0,40,88,33,33,128,256,384,3636.5683060656484,3636.5683060656484,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.01600000075995922,0.009314529597759247,0.009314529597759247,0.078125,0.0390625,0.0390625,0.921875,0.06666667014360428,0.0,0.0,0.0,0.5945786237716675,0.21989990770816803,0.1599999964237213,0.0,0.0,0.0019374999683350325,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,3,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,-0.02,0.0,0.0,0,0,0,128,0,0,128,384,512,3636.5683060656484,3636.5683060656484,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.024000000208616257,0.09907257556915283,0.09907257556915283,0.3125,0.2578125,0.2578125,0.6875,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6599628329277039,0.24264101684093475,0.1599999964237213,0.0,0.0,0.0001875000016298145,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,4,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,-0.02,0.0,0.0,0,0,0,128,0,0,128,512,640,3636.5683060656484,3636.5683060656484,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.03200000151991844,-0.0,-0.0,0.0,0.0,0.0,1.0,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6599628329277039,0.24264101684093475,0.1599999964237213,0.0,0.0,0.008187499828636646,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,5,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,-0.02,0.0,0.0,0,0,2,126,0,0,128,640,768,3636.5683060656484,3636.5683060656484,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.03999999910593033,-0.0,-0.0,0.0,0.0,0.0,1.0,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6599628329277039,0.24264101684093475,0.1599999964237213,0.0,0.0,0.016187500208616257,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,6,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,-0.02,0.0,0.0,0,0,2,126,0,0,128,768,896,3636.5683060656484,3636.5683060656484,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.04800000041723251,-0.0,-0.0,0.015625,0.0,0.0,0.984375,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6599628329277039,0.24264101684093475,0.1599999964237213,0.0,0.0,0.024187499657273293,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,7,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,-0.02,0.0,0.0,0,0,3,125,0,0,128,896,1024,3636.5683060656484,3636.5683060656484,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.0560000017285347,-0.0,-0.0,0.015625,0.0,0.0,0.984375,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6599628329277039,0.24264101684093475,0.1599999964237213,0.0,0.0,0.03218749910593033,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,8,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,-0.02,0.0,0.0,0,0,2,126,0,0,128,1024,1152,3636.5683060656484,3636.5683060656484,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.06400000303983688,-0.0,-0.0,0.0234375,0.0,0.0,0.9765625,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6599628329277039,0.24264101684093475,0.1599999964237213,0.0,0.0,0.04018750041723251,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,9,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,-0.02,0.0,0.0,0,0,4,124,0,0,128,1152,1280,3636.5683060656484,3636.5683060656484,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.07199999690055847,-0.0,-0.0,0.015625,0.0,0.0,0.984375,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6599628329277039,0.24264101684093475,0.1599999964237213,0.0,0.0,0.0481875017285347,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,10,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,-0.02,0.0,0.0,0,0,5,123,0,0,128,1280,1408,3636.5683060656484,3636.5683060656484,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.07999999821186066,-0.0,-0.0,0.03125,0.0,0.0,0.96875,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6599628329277039,0.24264101684093475,0.1599999964237213,0.0,0.0,0.056187499314546585,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,11,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,-0.02,0.0,0.0,0,0,4,124,0,0,128,1408,1536,3636.5683060656484,3636.5683060656484,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.08799999952316284,-0.0,-0.0,0.0390625,0.0,0.0,0.9609375,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6599628329277039,0.24264101684093475,0.1599999964237213,0.0,0.0,0.06418749690055847,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,12,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,0.040546931234481484,-1.0821908649490979,-1.0821908649490979,0,0,2,126,1,1,128,1536,1664,3635.4861152006993,3635.4861152006993,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.09600000083446503,-0.0,-0.0,0.03125,0.0,0.0,0.96875,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6599628329277039,0.24264101684093475,0.1599999964237213,0.0,0.0,0.07218749821186066,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,13,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,-0.02,0.0,0.0,0,0,0,128,0,0,128,1664,1792,3635.4861152006993,3635.4861152006993,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.10400000214576721,0.0002975857350975275,0.0002975857350975275,0.015625,0.0078125,0.0078125,0.984375,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6601592898368835,0.2421998381614685,0.1599999964237213,0.0,0.0,0.0053125000558793545,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,14,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,-0.02,0.0,0.0,0,0,2,126,0,0,128,1792,1920,3635.4861152006993,3635.4861152006993,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.1120000034570694,-0.0,-0.0,0.0,0.0,0.0,1.0,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6601592898368835,0.2421998381614685,0.1599999964237213,0.0,0.0,0.013312499970197678,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,15,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,-0.02,0.0,0.0,0,0,4,124,0,0,128,1920,2048,3635.4861152006993,3635.4861152006993,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.11999999731779099,-0.0,-0.0,0.015625,0.0,0.0,0.984375,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6601592898368835,0.2421998381614685,0.1599999964237213,0.0,0.0,0.021312499418854713,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,alpha_ucb_block,16,16000,128,6,3,1,0,0,alpha_ucb,alpha_ucb,0.16,0.0,0.0,-0.02,0.0,0.0,0,0,6,122,0,0,128,2048,2176,3635.4861152006993,3635.4861152006993,0,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,0.0,0.12800000607967377,-0.0,-0.0,0.03125,0.0,0.0,0.96875,0.06666667014360428,0.0,0.9333333373069763,0.9333333373069763,0.6601592898368835,0.2421998381614685,0.1599999964237213,0.0,0.0,0.0293125007301569,0.0
