region,date,month,daily_mean_gCO2_per_kWh,intraday_range_gCO2_per_kWh,eight_slot_shift_potential_gCO2_per_kWh,contiguous_four_hour_difference_gCO2_per_kWh,evening_to_best_post_return_gCO2_per_kWh,carbon_price_band_correlation,optimization_results_read
Beijing,2025-02-01,2025-02,382.0833333333333,456.79999999999995,443.42499999999995,443.42499999999995,15.499999999999943,-0.5433905079653938,0
Beijing,2025-02-02,2025-02,316.40000000000003,416.79999999999995,361.47499999999997,352.375,20.175000000000068,-0.34062822199970083,0
Beijing,2025-02-03,2025-02,363.87083333333334,483.79999999999995,466.2,459.09999999999997,0.0,-0.5197850725137889,0
Beijing,2025-02-04,2025-02,395.0,541.1,509.2250000000001,494.7,0.0,-0.5065849884460308,0
Beijing,2025-02-05,2025-02,392.3875,508.90000000000003,475.625,475.625,0.0,-0.5269664069445315,0
Beijing,2025-02-06,2025-02,398.7208333333333,437.0,371.94999999999993,358.85,19.75,-0.2834840300451979,0
Beijing,2025-02-07,2025-02,372.4375,428.69999999999993,401.45,401.45,6.350000000000023,-0.4348907836042744,0
Beijing,2025-02-08,2025-02,236.70833333333334,304.09999999999997,291.575,288.5,60.42500000000001,-0.2797107464020205,0
Beijing,2025-02-09,2025-02,286.35833333333335,355.00000000000006,338.075,331.575,73.10000000000002,-0.209351584218996,0
Beijing,2025-02-10,2025-02,247.11249999999998,338.7,330.825,330.825,117.02500000000003,-0.17816674034247257,0
Beijing,2025-02-11,2025-02,386.40000000000003,459.4,338.4,334.82500000000005,57.60000000000002,-0.3034937803150771,0
Beijing,2025-02-12,2025-02,439.3,489.79999999999995,473.65,473.65,0.0,-0.5796139098345737,0
Beijing,2025-02-13,2025-02,423.09999999999997,540.6,504.57500000000005,500.6,0.0,-0.5647191419266789,0
Beijing,2025-02-14,2025-02,397.8333333333333,410.4000000000001,396.52500000000003,380.02500000000003,0.0,-0.48884601146504614,0
Beijing,2025-02-15,2025-02,391.90000000000003,560.8,497.80000000000007,467.85,0.0,-0.44287343707639665,0
Beijing,2025-02-16,2025-02,431.375,578.6000000000001,543.6750000000001,540.2,0.0,-0.529030571547777,0
Beijing,2025-02-17,2025-02,372.03749999999997,494.4,480.125,473.4,1.8000000000000114,-0.4858194595276541,0
Beijing,2025-02-18,2025-02,349.8666666666666,493.2,458.35,458.35,0.0,-0.48979459345709747,0
Beijing,2025-02-19,2025-02,345.5125,456.20000000000005,435.375,423.75,2.8250000000000455,-0.4417064912898773,0
Beijing,2025-02-20,2025-02,352.56666666666666,452.90000000000003,440.05,438.27500000000003,0.0,-0.4840945645484403,0
Beijing,2025-02-21,2025-02,365.55833333333334,448.3,432.75,428.225,0.0,-0.4964099089908263,0
Beijing,2025-02-22,2025-02,365.8541666666667,536.0,436.37500000000006,407.425,0.0,-0.42571558102646134,0
Beijing,2025-02-23,2025-02,403.95416666666665,499.4000000000001,471.65000000000003,468.52500000000003,0.0,-0.5356302914086233,0
Beijing,2025-02-24,2025-02,329.97499999999997,444.6000000000001,431.84999999999997,427.22499999999997,0.0,-0.5448900889418485,0
Beijing,2025-02-25,2025-02,315.7,450.1,410.1,405.35,22.650000000000034,-0.3561407818083775,0
Beijing,2025-02-26,2025-02,341.5,407.6,390.225,383.9,0.0,-0.48715927522188407,0
