case_role,region,date,month,daily_mean_gCO2_per_kWh,intraday_range_gCO2_per_kWh,eight_slot_shift_potential_gCO2_per_kWh,contiguous_four_hour_difference_gCO2_per_kWh,evening_to_best_post_return_gCO2_per_kWh,carbon_price_band_correlation,optimization_results_read,use_boundary
maximum_shift_potential,Beijing,2025-02-16,2025-02,431.375,578.6000000000001,543.6750000000001,540.2,0.0,-0.529030571547777,0,explanatory_only_full_28_days_remain_primary
strongest_carbon_cost_conflict,Beijing,2025-02-12,2025-02,439.3,489.79999999999995,473.65,473.65,0.0,-0.5796139098345737,0,explanatory_only_full_28_days_remain_primary
weakest_conflict_or_alignment,Beijing,2025-02-10,2025-02,247.11249999999998,338.7,330.825,330.825,117.02500000000003,-0.17816674034247257,0,explanatory_only_full_28_days_remain_primary
typical_joint_profile,Beijing,2025-02-20,2025-02,352.56666666666666,452.90000000000003,440.05,438.27500000000003,0.0,-0.4840945645484403,0,explanatory_only_full_28_days_remain_primary
maximum_shift_potential,Guangdong,2025-02-27,2025-02,337.06666666666666,419.30000000000007,400.425,400.425,0.0,-0.7911954489516977,0,explanatory_only_full_28_days_remain_primary
strongest_carbon_cost_conflict,Guangdong,2025-02-10,2025-02,136.02916666666667,317.1,297.375,297.35,1.3250000000000028,-0.8742210592679814,0,explanatory_only_full_28_days_remain_primary
weakest_conflict_or_alignment,Guangdong,2025-02-28,2025-02,365.02500000000003,378.1,352.075,352.075,0.0,-0.758909487163199,0,explanatory_only_full_28_days_remain_primary
typical_joint_profile,Guangdong,2025-02-16,2025-02,300.5708333333333,355.2,342.79999999999995,341.375,0.5999999999999659,-0.8128238280281505,0,explanatory_only_full_28_days_remain_primary
maximum_shift_potential,Chongqing,2025-02-13,2025-02,168.97916666666666,366.1,357.25,357.25,0.0,-0.4360451360093955,0,explanatory_only_full_28_days_remain_primary
strongest_carbon_cost_conflict,Chongqing,2025-02-08,2025-02,159.32500000000002,328.1,315.675,315.6,0.07500000000000018,-0.6886972883898946,0,explanatory_only_full_28_days_remain_primary
weakest_conflict_or_alignment,Chongqing,2025-02-04,2025-02,172.83333333333334,351.2,338.375,338.375,0.0,-0.44783820038086364,0,explanatory_only_full_28_days_remain_primary
typical_joint_profile,Chongqing,2025-02-24,2025-02,181.07083333333333,339.5,328.425,328.425,0.0,-0.5914189431908715,0,explanatory_only_full_28_days_remain_primary
