month,region_day_count,three_region_mean_intraday_range_gCO2_per_kWh,three_region_mean_eight_slot_shift_gCO2_per_kWh,three_region_mean_contiguous_four_hour_difference_gCO2_per_kWh,three_region_mean_evening_to_best_post_return_gCO2_per_kWh,optimization_results_read,lexicographic_rank
2025-01,93,341.2548387096774,317.127688172043,312.43360215053764,2.5059139784946214,0,8
2025-02,84,380.0261904761905,360.4610119047619,358.0184523809524,5.1279761904761925,0,1
2025-03,93,349.5397849462366,328.3018817204301,325.26666666666665,5.598118279569892,0,4
2025-04,90,349.7922222222222,325.29555555555555,323.2636111111111,2.8474999999999984,0,5
2025-05,93,336.7440860215054,314.0247311827957,310.30698924731183,2.582258064516131,0,9
2025-06,90,327.60111111111115,305.9975,304.3541666666667,1.3230555555555554,0,11
2025-07,93,319.5849462365591,300.3704301075269,298.31666666666666,1.1026881720430102,0,12
2025-08,93,329.47419354838706,307.03494623655916,304.94032258064516,0.3043010752688174,0,10
2025-09,90,342.17555555555555,319.8183333333333,317.69,0.8763888888888904,0,7
2025-10,93,364.2387096774193,342.10510752688174,339.8263440860215,2.5833333333333317,0,2
2025-11,90,355.2155555555555,332.2294444444445,330.44305555555553,2.6780555555555567,0,3
2025-12,93,346.4258064516129,323.6712365591398,320.2115591397849,1.2854838709677432,0,6
