operating_day,previous_day,seed,arm,timing_rule,vehicle_trip,charge_scope,charge_day_offset,charge_start_second,energy_kwh,earliest_start_second,latest_start_second,timing_slack_hours,moved_from_immediate,actual_emissions_kg,forecast_emissions_kg
2025-11-02,2025-11-01,1,ownership_fixed,immediate,EV_D0_1#T1,pre_day_first_trip,-1,0.0,180.57541226489207,0.0,56851.29617483585,15.792026715232181,False,8.456770613244604,8.05074272739036
2025-11-02,2025-11-01,1,ownership_fixed,immediate,EV_D0_1#T2,same_day_between_trip,0,9689.999940627406,64.46179292895413,9689.999940627406,9689.999940627406,0.0,False,4.672822675654108,4.64865396317108
2025-11-02,2025-11-01,1,ownership_fixed,immediate,EV_D0_1#T3,same_day_between_trip,0,39089.52251805697,60.16173534604745,39089.52251805697,39089.52251805697,0.0,False,4.166018606303164,3.408647289657084
2025-11-02,2025-11-01,1,ownership_fixed,immediate,EV_D0_2#T1,pre_day_first_trip,-1,0.0,130.7054876107771,0.0,65011.829300054655,18.058841472237404,False,5.8804524300957475,5.858452430095748
2025-11-02,2025-11-01,1,ownership_fixed,immediate,EV_D0_2#T2,same_day_between_trip,0,14446.203358178047,151.8766621639073,14446.203358178047,23029.014081683934,2.3841140898627464,False,11.354724209809717,10.336728357923693
2025-11-02,2025-11-01,1,ownership_fixed,immediate,EV_D0_3#T1,pre_day_first_trip,-1,0.0,156.00763293353882,0.0,60871.4782472391,16.90874395756642,False,7.124404545477558,7.03326715267386
2025-11-02,2025-11-01,1,ownership_fixed,immediate,EV_D0_3#T2,same_day_between_trip,0,6961.966796391645,51.3993398630945,6961.966796391645,6961.966796391645,0.0,False,3.6444239258735913,3.6614947214674745
2025-11-02,2025-11-01,1,ownership_fixed,immediate,EV_D0_3#T3,same_day_between_trip,0,45337.9034761395,103.26091088655683,45337.9034761395,45337.9034761395,0.0,False,10.251382918832201,9.348182732214404
2025-11-02,2025-11-01,1,ownership_fixed,immediate,EV_D1_1#T1,pre_day_first_trip,-1,0.0,162.21642073155863,0.0,59855.494789381315,16.626526330383697,False,7.453470298772608,7.250574725604553
2025-11-02,2025-11-01,1,ownership_fixed,immediate,EV_D1_1#T2,same_day_between_trip,0,15861.042441208516,159.34877579116448,15861.042441208516,21419.71426116435,1.5440755055432873,False,11.752519053342933,10.559056077613683
