operating_day,reassignment_minus_fixed_reduction_percentage_points,reassignment_minus_fixed_oracle_potential_percentage_points
2025-11-02,-0.09112537792844655,-0.12135966730874803
2025-11-03,-0.03300036760572511,-0.039723166716403635
2025-11-04,-0.2601938114564776,0.004928674798635235
2025-11-05,-0.06294514106486213,-0.027635759455606007
2025-11-06,-0.06308327115883215,0.0009775361353429601
2025-11-07,0.0,0.0
2025-11-08,-0.42384602371298197,-0.023971791377829343
2025-11-09,-0.36959761228836935,-0.21636653601096306
2025-11-10,1.284825785757099,1.2252571123520966
2025-11-11,-0.7703461313148372,-0.13902280355429888
2025-11-12,6.007912963845744,6.006002770607797
2025-11-13,0.008070955754140893,-0.006665750783639119
2025-11-14,0.0347299836349224,0.05555230087735685
2025-11-15,-0.8932960541426855,-0.013981574100012245
2025-11-16,0.8352097536065886,0.831682750176963
2025-11-17,0.23501993640455687,0.16097966880520642
2025-11-18,-0.6689828300672128,-0.039543296594883426
2025-11-19,-0.15929692030988896,0.988845524181662
2025-11-20,-0.32974418662606186,-0.01601122875863164
2025-11-21,-0.6370023500145578,-0.721062798290519
2025-11-22,3.30398438123958,3.30398438123958
2025-11-23,-0.1793224921894706,-0.25674969006921333
2025-11-24,4.996184797998476,5.080237638909731
2025-11-25,0.0,0.0
2025-11-26,-0.38837192154477673,-0.4864526725530233
2025-11-27,3.3807540832766527,3.065022327677937
2025-11-28,-0.590894012052716,-0.6481161518469776
2025-11-29,0.6395743337071682,1.1637664206696243
