mode,seed,iterations,cost,distance,duration,routes,clients,feasible,complete,component_calls,deterministic_signature_sha256,runtime_s_non_comparable,independent_validation
mother,1,5,8191063,8191063,14221102,37,360,true,true,0,a775e3894398efd807e2c8aa926d77d9287a5d8195f6ff20fb1a8d1aaa573108,0.006620750005822629,true
hybrid_disabled,1,5,8191063,8191063,14221102,37,360,true,true,0,a775e3894398efd807e2c8aa926d77d9287a5d8195f6ff20fb1a8d1aaa573108,0.007168375013861805,true
hybrid_zero_budget,1,5,8191063,8191063,14221102,37,360,true,true,0,a775e3894398efd807e2c8aa926d77d9287a5d8195f6ff20fb1a8d1aaa573108,0.00637325004208833,true
