instance_id,sample_role,seed,arm,certificate_path,certificate_sha256,certificate_id,planning_physics_feasible,nonlinear_feasible,linear_plan_false_feasible,certificate_status
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,7,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-07__NL90_mild.json,de5d6e08d7dc06a7002192473c3f1dd06547359e83da8fce99160f886ea895d8,828f6a124e3b53b79d41497f4d168ca623326c772daf9f7b8468c80307decb0b,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,8,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-08__L100_control.json,2a7e2e659d7935d45ccf1005bbc47751eb44c985041d8e0a3b0286955a47e51d,72376f1db89a45e7a59324f07e4a47e5f786bc8f554aeaee79a3a5f3e1848bdc,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,8,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-08__NL90_mild.json,da81b2857de21a7e544aaba4d9af12f356fd4e8cf5241a4ea91cc91116c22b12,8d05b9ab20fa06ed18921f63d56a1d710f7ac86c47fa825d636c0a9f73aca8e0,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,9,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-09__L100_control.json,7522e05c42c27745ac4b10c8232a70899eb398c3f6edcd553797f5b06826cb4d,26feea1dd8ed42637e9bc1a1c33f2a7fddd02bd076f4ee8982a936e85516ca7b,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,9,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-09__NL90_mild.json,0feeee68c9a969c4ae1496175a357f5cdd8795ac21d8ec9eac979e93a17a427f,95b711a66e504ecf4a7abb78fa1b4bd5caba765e720da58186183b347d92b646,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,10,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-10__L100_control.json,900f8adcb31bfb39b15d8a1c5c5d8a71f0fe94bd519c9affd1652e28e1e54af9,16c19d3e2bcc08491a9a8bdc7622e17b37f13aaef89f7790d2a862a69c9caeb6,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,10,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-10__NL90_mild.json,5d7887dce274117dd75906226d2cfd39105a0c4123cfffc3adcc5d61362ea597,48601d1e8efd818e88db9e3c6e95ca4e992d365cce187f9e81ec12f80efba7b0,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-01__L100_control.json,e251b30a36dbd05a29dea0a1ca0262abf5d6ad72872b9111137591fcfc6c6d7b,992d0d189d789cc3557ea7c64da89126780018b95ca5494ea3773c01ae0649fc,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-01__NL90_mild.json,2d9bd7fdc0e9a6a72419266f04897726777094be5f90fe7071bfaee017c0aed3,0618565b19d86533fe8cec65cbcd6caa69ad098ca4c3a4e442f4093f3620933a,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-02__L100_control.json,d102b76704b2ab40d172993ae3b1412171c075f1b8c45dc1062835f17a48fedb,2aee29e6022a6b8442f4aa71addc31857e42c831a84aec8cbe078dafca5e5b40,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-02__NL90_mild.json,2a15bb93d66e0ef4565f15cf57960b0430c08188dda755580bb53e28855374a6,2f6980afd20a5ade72f4ac894cfeadd5de96e50209cb91baba7a28de4b3229f8,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-03__L100_control.json,276ea0e011574f1e249c9de3938975fd82a5d9d5c39e222a3732e8fb05144353,a3a10d767537aed30579ed52ae6b866ab21eead3bc085fa4b778450013f1e3b1,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-03__NL90_mild.json,74f705c7edadd0f7a348484cee288415ac68929cd2637dd23fe9188cb65ed791,befa45f885a40f7fe91588296b6c3ede6b6f7605d4f069d96c21c89cc8d91b13,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-04__L100_control.json,8d8f6d9efc3e788ab699ce38f0a43fa4531ebc0c9a61b1880650d3042edf3628,c6926effd8192db622dd001cd1e464486efc16af9d1dea1d3cb053dd97dfd948,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-04__NL90_mild.json,8623bdf778fb770ab172590425235c03cebbb30358dc1ac0f48a04358ab89187,3b84c28df2ef186dcfe38ee96c5aee7fb2b873498bc726af7e20ecdfcce6a9e6,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,5,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-05__L100_control.json,b0545798be2c112104a9be0f71c16749e82c033501f266e234ba8def173447cf,cd024de94401dc1f2a07bafb70a471475a9d0452431749f689a32804b8525cbd,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,5,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-05__NL90_mild.json,2af98bf834aeefb1d56a87467cd3b523e794ad061a38592e6562d08e03a95c5d,7f05defd15a5d2652c883331c2e066bfa35959941bc433da1dc8906ce9055cdc,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,6,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-06__L100_control.json,10318fb9b5950da12201880f81ed99fa3e09c313d366f18a715a8c990ce6a311,1bd7461ce480b682efb0a54750e622739d26055033da82e9a7222415e565c9cf,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,6,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-06__NL90_mild.json,4710b3408874340c858871758bed08036da66ba0f0f9da2d12a6b67663d99116,9a7ce4ad3d51c8e2a976a29a4f6aa6d36a82dc5571c796c4cd07e691771e4f20,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,7,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-07__L100_control.json,07ebac6e09807202620ce612350dbc05b5bb0bda248fa2e3832b287575c54e5e,220fb61c16712bdd51dbe0d6c105ce4f5af0ee5abb1adf4994d61b5098e625e7,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,7,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-07__NL90_mild.json,39bc9b4e2bd7fca5e41d4c3d2e554e77a9503585c947f4c5c95c19c0d16d1c53,5cd5582dde4182b75da5c62a8070193970bd893c1357bb9b09fc48a5c5fa5a8d,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,8,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-08__L100_control.json,c1192e00e0bc22fea9e0e754795b9fe48628c8d0a602d6294a07f9fdd7ee6a2c,0d06f3164a504a605fe8bbcc165ede07ba67615849fc4c64fe7419adfd6810a0,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,8,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-08__NL90_mild.json,afb9c0e7e56ee47b803a59cf38e97b34934bc8286b44d5588c8f66a71e2999d3,11e17a5ad8c16a2e72ab896c6332c7e23714f9e40984a83af6febe07fda44ac9,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,9,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-09__L100_control.json,fd3502b577819d46da1b31aed78ecc2113d279d466e2afd72012cb2225e60e5d,7d7d4de08cefa9900884ee1e323376e658e8a6dfdacad8f47b7d684706d3fa65,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,9,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-09__NL90_mild.json,8a3aa6320e8521262cf395cad9119ba64d815daf761dcc4f75dfe3184385e324,7f720fb04683ee1de800be66f4a97ec9844dd3623f24c24d1af00724697e916b,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,10,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-10__L100_control.json,a4a73fd621f9c2ec1a9e8fc934c26008855b37846b5730b84b2bef8781172b04,88994a74c29dfd90c6cf93e3514d6aa89bdfd208efa4a31ea8fe97c5a1f42291,1,1,0,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,10,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-50c-01-V2-LOCATIONS__seed-10__NL90_mild.json,407a83f8195aa87dc0b985b6319fd738d604c7b12220c8b036eb1726dc3b0563,58ad6b44329b4ca548bbddb823dd0649c2fe21e33f82e2bea8d5bb5311fb645a,1,1,0,PASS
