task_id,instance_id,sample_role,seed,arm,complete_candidate_budget_cap,complete_candidate_evaluations_consumed,termination_reason,feasible_candidates,infeasible_candidates,error_candidates,elapsed_wall_seconds,search_total_cost_cny,common_initial_solution_sha256,search_status,independent_certificate_status,planning_physics_feasible,common_NL90_feasible,linear_plan_false_feasible,certificate_id,scientific_endpoint_inclusion
E5-NONLINEAR-CHARGING-V4-20260730,cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,1,L100_control,400,352,CANDIDATES_EXHAUSTED,142,210,0,309.0011284170323,4693.673432887224,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,PASS,1,1,0,d5a8038d442eea26707f003b1fed382f3390daea1e36f95a36829400ad6735a8,NOT_AGGREGATED_DUE_TO_TERMINAL_CRASH
E5-NONLINEAR-CHARGING-V4-20260730,cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,1,NL90_mild,400,352,CANDIDATES_EXHAUSTED,142,210,0,114.39192304195603,4693.673432887224,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,PASS,1,1,0,44067cac49ca4f65d3e4b3fa477a2ca83ec685b5aa85372a76d2f3948b27c854,NOT_AGGREGATED_DUE_TO_TERMINAL_CRASH
E5-NONLINEAR-CHARGING-V4-20260730,cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,2,L100_control,400,326,CANDIDATES_EXHAUSTED,152,174,0,111.94274212495657,4699.033142717446,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,PASS,1,1,0,aafb5aed94e363fd7d4a0c0824345f94ecc4dd6f50cb6893ee0015e9a845c313,NOT_AGGREGATED_DUE_TO_TERMINAL_CRASH
E5-NONLINEAR-CHARGING-V4-20260730,cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,2,NL90_mild,400,326,CANDIDATES_EXHAUSTED,152,174,0,113.18849195801886,4699.033142717446,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,PASS,1,1,0,d7cf24bfe0dd050924e79dabdcf2e0b75f8d603f0d4cde2a52c68269c5f07770,NOT_AGGREGATED_DUE_TO_TERMINAL_CRASH
E5-NONLINEAR-CHARGING-V4-20260730,cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,3,L100_control,400,352,CANDIDATES_EXHAUSTED,157,195,0,113.17339058301877,4692.9228951636105,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,PASS,1,1,0,c64e2558d5b17f07e1f63bbf3d7f0cbfc9da7f9722d0ca88d8d2bc398a3dec39,NOT_AGGREGATED_DUE_TO_TERMINAL_CRASH
E5-NONLINEAR-CHARGING-V4-20260730,cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,3,NL90_mild,400,352,CANDIDATES_EXHAUSTED,157,195,0,181.5719066670281,4692.9228951636105,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,PASS,1,1,0,dde3f9fae7578012a53219fe4befedd3cac35a7e40c963f018afd9e20b65c7f5,NOT_AGGREGATED_DUE_TO_TERMINAL_CRASH
E5-NONLINEAR-CHARGING-V4-20260730,cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,4,L100_control,400,388,CANDIDATES_EXHAUSTED,166,222,0,207.66812995797954,4741.091706036299,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,PASS,1,1,0,ff922acd052bcb5600a0952f386429fcc8b6c229f4c2c0844ebf49dc6e47f1a0,NOT_AGGREGATED_DUE_TO_TERMINAL_CRASH
E5-NONLINEAR-CHARGING-V4-20260730,cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,4,NL90_mild,400,388,CANDIDATES_EXHAUSTED,166,222,0,208.31799454102293,4741.091706036299,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,PASS,1,1,0,86bfacbd5ea66adba03157634aae19765b8204071831dda1a7d3ff035b988476,NOT_AGGREGATED_DUE_TO_TERMINAL_CRASH
E5-NONLINEAR-CHARGING-V4-20260730,cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,5,L100_control,400,396,CANDIDATES_EXHAUSTED,170,226,0,198.85395295900526,4710.635724956914,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,PASS,1,1,0,42312991f140a199451a79c8b3407f1a1333ff51126b23348a2fa3a8a8817e76,NOT_AGGREGATED_DUE_TO_TERMINAL_CRASH
E5-NONLINEAR-CHARGING-V4-20260730,cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,5,NL90_mild,400,396,CANDIDATES_EXHAUSTED,170,226,0,204.36400608398253,4710.635724956914,b5e3e12b6f3fca749b9f3e8ff93c9c0ceaa1f14e29234565524e0fdaa0104d8d,PASS,PASS,1,1,0,b856d6d9e8e6aff857093cbb8e4eabfb5bfcbbc1752576bfcd2d9970ce139fa4,NOT_AGGREGATED_DUE_TO_TERMINAL_CRASH
