actual_evals,algorithm,best_obj,bundle,candidate_k_evaluated,candidate_scores,control_mode,current_obj,eval_budget,evidence_role,feasible,repair_delta_count,scale,seed,steps,trace_destroy_id,trace_repair_id,track,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
80,operator_select,490.17333262737077,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,,80,,490.17333262737077,80,DESTROY_LEVERAGE_GATE,True,30567,25c,1203,80,,,track22,0,4.063000000081956,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,529.1615009070437,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,0,80,block_ppo,529.1615009070437,80,DESTROY_LEVERAGE_GATE,,,25c,1203,80,random_customer_removal,greedy_insert_repair,track22,0,2.6399999998975545,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,518.8246757161118,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,4,80,best_of_k_destroy,518.8246757161118,80,DESTROY_LEVERAGE_GATE,,,25c,1203,10,best_of_k_destroy,greedy_insert_repair,track22,0,1.875,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,619.2945503402458,models/data_bundle/generated_instances/E-UK25_13__curric_d2_s3_seed2213_24h,,80,,620.5339686061609,80,DESTROY_LEVERAGE_GATE,True,35132,25c,1201,80,,,track22,0,2.484999999869615,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,615.9159193935583,models/data_bundle/generated_instances/E-UK25_13__curric_d2_s3_seed2213_24h,0,80,block_ppo,615.9159193935583,80,DESTROY_LEVERAGE_GATE,,,25c,1201,80,random_customer_removal,greedy_insert_repair,track22,0,2.547000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,631.1465899253868,models/data_bundle/generated_instances/E-UK25_13__curric_d2_s3_seed2213_24h,4,80,best_of_k_destroy,631.1465899253868,80,DESTROY_LEVERAGE_GATE,,,25c,1201,10,best_of_k_destroy,greedy_insert_repair,track22,0,2.265000000130385,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,600.2058192078929,models/data_bundle/generated_instances/E-UK25_13__curric_d2_s3_seed2213_24h,,80,,600.2058192078929,80,DESTROY_LEVERAGE_GATE,True,30435,25c,1202,80,,,track22,0,5.077999999979511,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,617.0066650251852,models/data_bundle/generated_instances/E-UK25_13__curric_d2_s3_seed2213_24h,0,80,block_ppo,618.873219075497,80,DESTROY_LEVERAGE_GATE,,,25c,1202,80,random_customer_removal,greedy_insert_repair,track22,0,2.593000000109896,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,619.6689846482025,models/data_bundle/generated_instances/E-UK25_13__curric_d2_s3_seed2213_24h,4,80,best_of_k_destroy,619.6689846482025,80,DESTROY_LEVERAGE_GATE,,,25c,1202,10,best_of_k_destroy,greedy_insert_repair,track22,0,2.984999999869615,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,604.9223405492718,models/data_bundle/generated_instances/E-UK25_13__curric_d2_s3_seed2213_24h,,80,,604.9223405492718,80,DESTROY_LEVERAGE_GATE,True,34003,25c,1203,80,,,track22,0,3.015000000130385,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
