aware_charging_actions,aware_charging_carbon_kg,aware_cost,aware_cost_carbon,aware_violation_count,bundle,diagnostic_role,error,ev_route_count,improvement_pct,naive_charging_actions,naive_charging_carbon_kg,naive_cost,naive_cost_carbon,naive_violation_count,route_count,scale,seed,source
3,11.330476056956538,576.5627094735121,5.104519387599322,0,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,default_winner_route_replay,,3,-0.003310973555382846,3,10.951270518572104,576.5436202667098,5.08543018079705,0,4,25c,2901,winner_kernel
4,11.666762476210552,467.4219131676258,0.5873048230524393,0,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,default_winner_route_replay,,4,-0.00349171206568655,4,11.342557917680836,467.40559271014945,0.5709843655760533,0,4,25c,2901,winner_kernel
1,4.599895426996093,586.7419175952583,8.59449853030299,0,models/data_bundle/generated_instances/E-UK25_13__curric_d2_s3_seed2213_24h,default_winner_route_replay,,1,-0.0018094683165303187,1,4.388995208630204,586.7313008782658,8.583881813310452,0,4,25c,2901,winner_kernel
,,,,,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,ev_heavy_diagnostic_only,"ValueError: HALT_M0: unable to satisfy EV-heavy fleet limits (cv=5/0, ev=0/999)",,nan,,,,,,,25c,2999,ev_heavy_initial_solution
