instance_id,sample_role,seed,state,member_id,baseline_profit_I_cny,state_profit_cny,profit_change_vs_I_cny,profit_ratio_vs_I,participation_satisfied,u_weak_member,profit_improvement_vs_U_cny,status
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,I,D_guangzhou,6917.233079222592,6917.233079222592,0.0,1.0,True,True,866.1976215354089,PASS_REUSED_SEALED_E3_ZONE
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,I,D_shenzhen,9075.820130821055,9075.820130821055,0.0,1.0,True,False,-918.3258126540131,PASS_REUSED_SEALED_E3_ZONE
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,U,D_guangzhou,6917.233079222592,6051.035457687183,-866.1976215354089,0.8747768635789906,False,True,0.0,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,U,D_shenzhen,9075.820130821055,9994.145943475069,918.3258126540131,1.1011837827785307,True,False,0.0,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,F,D_guangzhou,6917.233079222592,6917.233079222592,0.0,1.0,True,True,866.1976215354089,PASS_FALLBACK_TO_I_NO_FAIR_CANDIDATE
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,F,D_shenzhen,9075.820130821055,9075.820130821055,0.0,1.0,True,False,-918.3258126540131,PASS_FALLBACK_TO_I_NO_FAIR_CANDIDATE
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,I,D_guangzhou,6917.233079222592,6917.233079222592,0.0,1.0,True,True,966.9993319555515,PASS_REUSED_SEALED_E3_ZONE
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,I,D_shenzhen,9075.820130821055,9075.820130821055,0.0,1.0,True,False,-1020.434186948296,PASS_REUSED_SEALED_E3_ZONE
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,U,D_guangzhou,6917.233079222592,5950.233747267041,-966.9993319555515,0.8602043156735395,False,True,0.0,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,U,D_shenzhen,9075.820130821055,10096.254317769351,1020.434186948296,1.1124343775261643,True,False,0.0,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED
