instance_id,sample_role,seed,state,state_status,source,source_solution_sha256,total_cost_cny,vehicle_count,route_count,elapsed_seconds,time_accounting,complete_candidate_evaluations_consumed,profit_D_guangzhou_cny,profit_D_shenzhen_cny,member_profit_json,member_cost_json,member_profit_margin_vs_I_json,member_profit_ratio_vs_I_json,weak_member_id,weak_member_profit_change_vs_I_cny,u_weak_member_id,u_weak_member_improvement_vs_U_cny,minimum_member_profit_ratio,all_members_no_worse_than_I,theta,candidate_pool_size,participation_satisfying_candidate_count,selected_f_candidate_id,f_fallback_to_I,search_reruns,nested_candidate_is_independent_sample
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,U,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed04__JOINT.json,8d22c7d6dcdee06c2b780447228695e5482a4f936515cc8f963485a60026515a,2288.011934963607,8,8,53.80086554196896,SEALED_E3_ARM_TIME,320,5950.233747267041,10096.254317769351,"{""D_guangzhou"": 5950.233747267041, ""D_shenzhen"": 10096.254317769351}","{""D_guangzhou"": 820.7662527329592, ""D_shenzhen"": 1467.245682230648}","{""D_guangzhou"": -966.9993319555515, ""D_shenzhen"": 1020.434186948296}","{""D_guangzhou"": 0.8602043156735395, ""D_shenzhen"": 1.1124343775261643}",D_guangzhou,-966.9993319555515,D_guangzhou,0.0,0.8602043156735395,False,1.0,128,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,F,PASS_FALLBACK_TO_I_NO_FAIR_CANDIDATE,SEALED_E3_ZONE_I_FALLBACK,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,53.80086554196896,SHARED_U_SEARCH_TIME_NOT_ADDITIONAL_TRAJECTORY,320,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,128,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,5,I,PASS_REUSED_SEALED_E3_ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed05__ZONE.json,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,53.18888845900074,SEALED_E3_ARM_TIME,288,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,132,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,5,U,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed05__JOINT.json,49dc7da8c1bf85e68c38e8cbdef42893daaf56f6ca10fbcfca301a0c369451e9,2288.888404443811,8,8,54.68750183301745,SEALED_E3_ARM_TIME,310,5950.233747267041,10095.377848289148,"{""D_guangzhou"": 5950.233747267041, ""D_shenzhen"": 10095.377848289148}","{""D_guangzhou"": 820.7662527329592, ""D_shenzhen"": 1468.1221517108515}","{""D_guangzhou"": -966.9993319555515, ""D_shenzhen"": 1019.557717468093}","{""D_guangzhou"": 0.8602043156735395, ""D_shenzhen"": 1.1123378055946396}",D_guangzhou,-966.9993319555515,D_guangzhou,0.0,0.8602043156735395,False,1.0,132,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,5,F,PASS_FALLBACK_TO_I_NO_FAIR_CANDIDATE,SEALED_E3_ZONE_I_FALLBACK,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,54.68750183301745,SHARED_U_SEARCH_TIME_NOT_ADDITIONAL_TRAJECTORY,310,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,132,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,6,I,PASS_REUSED_SEALED_E3_ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed06__ZONE.json,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,54.59898579196306,SEALED_E3_ARM_TIME,377,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,148.51662560312343,1.0,True,1.0,154,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,6,U,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed06__JOINT.json,a016adc55ca2a042edcb391f86d9e3dc4ad6c18ec3ec0e9e155ab578b984f695,2288.0228281390537,8,8,53.48289558303077,SEALED_E3_ARM_TIME,376,6768.716453619469,9277.760718241478,"{""D_guangzhou"": 6768.716453619469, ""D_shenzhen"": 9277.760718241478}","{""D_guangzhou"": 834.7835463805318, ""D_shenzhen"": 1453.2392817585219}","{""D_guangzhou"": -148.51662560312343, ""D_shenzhen"": 201.94058742042216}","{""D_guangzhou"": 0.9785294750224298, ""D_shenzhen"": 1.0222503955025113}",D_guangzhou,-148.51662560312343,D_guangzhou,0.0,0.9785294750224298,False,1.0,154,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,6,F,PASS_FALLBACK_TO_I_NO_FAIR_CANDIDATE,SEALED_E3_ZONE_I_FALLBACK,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,53.48289558303077,SHARED_U_SEARCH_TIME_NOT_ADDITIONAL_TRAJECTORY,376,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,148.51662560312343,1.0,True,1.0,154,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,7,I,PASS_REUSED_SEALED_E3_ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed07__ZONE.json,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,54.49535475001903,SEALED_E3_ARM_TIME,366,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,115,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,7,U,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed07__JOINT.json,8d22c7d6dcdee06c2b780447228695e5482a4f936515cc8f963485a60026515a,2288.011934963607,8,8,52.90105270798085,SEALED_E3_ARM_TIME,314,5950.233747267041,10096.254317769351,"{""D_guangzhou"": 5950.233747267041, ""D_shenzhen"": 10096.254317769351}","{""D_guangzhou"": 820.7662527329592, ""D_shenzhen"": 1467.245682230648}","{""D_guangzhou"": -966.9993319555515, ""D_shenzhen"": 1020.434186948296}","{""D_guangzhou"": 0.8602043156735395, ""D_shenzhen"": 1.1124343775261643}",D_guangzhou,-966.9993319555515,D_guangzhou,0.0,0.8602043156735395,False,1.0,115,0,,True,1,False
