instance_id,n,cv_only_best,cv_only_avg,naive_ev_best,naive_ev_avg,mechanism_ev_best,mechanism_ev_avg,mv_hgs_sp_best,mv_hgs_sp_avg
cn-cy-100c-01-V2-LOCATIONS,100,5216.405501467507,5224.058937481833,5158.272031908577,5161.924876049033,5159.890355653001,5163.544633414859,5158.93907799358,5160.556017903401
cn-cy-100c-02-V2-LOCATIONS,100,4813.21328471388,4897.385739307271,4813.21328471388,4873.719854121006,4813.21328471388,4900.434583698071,4813.21328471388,4846.040974077939
cn-cy-100c-03-V2-LOCATIONS,100,4756.1941504550305,4756.595420156559,4717.56219821049,4717.649912029325,4716.60665301109,4717.4510224596315,4716.384428350883,4716.944426158809
cn-cy-10c-01-V2-LOCATIONS,10,591.032394171866,591.032394171866,579.2642466516072,579.2642466516072,575.8408678302291,575.8408678302291,575.8408678302291,575.8408678302291
cn-cy-10c-02-V2-LOCATIONS,10,633.8356528797758,633.8356528797758,633.8356528797758,633.8356528797758,633.8356528797758,633.8356528797758,633.8356528797758,633.8356528797758
cn-cy-10c-03-V2-LOCATIONS,10,657.8829667695985,657.8829667695985,657.8829667695985,657.8829667695985,657.8829667695985,657.8829667695985,657.8829667695985,657.8829667695985
cn-cy-150c-01-V2-LOCATIONS,150,7307.199481599131,7307.293135607661,7243.046669547315,7245.816394841083,7243.762685840744,7252.142686673587,7242.092860599287,7244.973290673281
cn-cy-150c-02-V2-LOCATIONS,150,7567.394881369034,7596.825211040434,7553.97244165448,7557.621445024595,7550.7332375035085,7556.599336897831,7550.7332375035085,7553.82160967019
cn-cy-150c-03-V2-LOCATIONS,150,7364.936045522535,7516.355539401209,7325.976275877713,7425.838588254926,7306.961760646735,7431.108920965038,7191.84757918068,7353.206577182752
cn-cy-15c-01-V2-LOCATIONS,15,893.3467194655217,893.3467194655217,892.5949765633276,892.5949765633275,892.5949765633276,892.5949765633275,892.5949765633276,892.5949765633275
cn-cy-15c-02-V2-LOCATIONS,15,915.4579467626304,915.4579467626303,912.7469762353063,912.7469762353063,912.7469762353063,912.7469762353063,912.7469762353063,912.7469762353063
cn-cy-15c-03-V2-LOCATIONS,15,919.050172694428,947.7681894891793,900.0981071227476,900.0981071227476,900.0981071227476,900.0981071227476,900.0981071227476,900.0981071227476
cn-cy-200c-01-V2-LOCATIONS,200,9387.646861745814,9390.05084494923,9390.193755425857,9425.873174526705,9404.302474718737,9480.007133773008,9387.070469979892,9393.114732242426
cn-cy-200c-02-V2-LOCATIONS,200,9383.759882946484,9385.862700433176,9384.025721461168,9384.701899722393,9384.208226299337,9421.882318616292,9383.923693483937,9384.24544555208
cn-cy-200c-03-V2-LOCATIONS,200,9654.158990821314,9660.40179946644,9659.735238918493,9663.185772419498,9660.864690074923,9666.282595324374,9660.864690074923,9665.746920778773
cn-cy-20c-01-V2-LOCATIONS,20,1205.8809932315198,1205.8809932315198,1201.9264318941257,1201.9264318941257,1201.9264318941257,1201.9264318941257,1201.9264318941257,1201.9264318941257
cn-cy-20c-02-V2-LOCATIONS,20,1227.6886751758934,1227.6886751758934,1173.8704681602994,1174.0109139186582,1173.8704681602994,1174.432251193734,1173.8704681602994,1173.8704681602994
cn-cy-20c-03-V2-LOCATIONS,20,1230.6531602757789,1230.6531602757789,1228.6513907138424,1228.6513907138424,1228.6513907138424,1228.6513907138424,1228.6513907138424,1228.6513907138424
cn-cy-25c-01-V2-LOCATIONS,25,1288.33900966504,1289.1805806871112,1279.6396890257479,1279.6396890257479,1279.6396890257479,1279.6396890257479,1279.6396890257479,1279.6396890257479
cn-cy-25c-02-V2-LOCATIONS,25,1410.40871861776,1411.4286405187136,1498.3048993084685,1498.4682620390977,1419.363826408454,1482.7342838317456,1410.40871861776,1414.0773704365247
cn-cy-25c-03-V2-LOCATIONS,25,1528.281219558142,1528.281219558142,1492.9613770567107,1514.1461662786126,1494.0220260872552,1509.9648471239811,1494.0220260872552,1504.4417154868956
cn-cy-50c-01-V2-LOCATIONS,50,2593.5693433386036,2628.582886619638,2544.082816614726,2544.082816614726,2544.082816614726,2544.082816614726,2544.082816614726,2544.082816614726
cn-cy-50c-02-V2-LOCATIONS,50,2626.5650830775717,2637.9691589779445,2584.2902243433996,2584.2902243433996,2584.2902243433996,2590.8812414666922,2584.2902243433996,2584.2902243433996
cn-cy-50c-03-V2-LOCATIONS,50,2680.433792261174,2680.433792261174,2680.3333750762276,2680.3333750762276,2680.3333750762276,2680.3333750762276,2680.3333750762276,2680.3333750762276
cn-cy-75c-01-V2-LOCATIONS,75,3595.594844108973,3595.5948441089727,3520.3154956940953,3520.710787735488,3520.3154956940953,3522.791581633268,3520.3154956940953,3520.3154956940953
cn-cy-75c-02-V2-LOCATIONS,75,3823.1052737268783,3847.1854286299554,3758.48139954892,3758.4813995489194,3758.48139954892,3758.4813995489194,3758.48139954892,3758.4813995489194
cn-cy-75c-03-V2-LOCATIONS,75,3630.8485053584363,3630.8485053584363,3596.242695117928,3597.370679234477,3596.1698139816517,3600.533713536684,3596.1698139816517,3596.762958494437
cn-jjj-100c-01-V2-LOCATIONS,100,4916.233008881169,4923.6464626260295,4847.461272529562,4851.616129977958,4858.214595167494,4861.042733963605,4849.223905154972,4849.450422818767
cn-jjj-100c-02-V2-LOCATIONS,100,4914.437865039214,4914.709345113808,4913.934493018421,4915.181414043537,4899.5881324345255,4908.318703460293,4899.5881324345255,4908.316240912498
cn-jjj-100c-03-V2-LOCATIONS,100,4900.4047019532145,4901.70313160455,4898.604558025053,4900.650209203572,4897.682907933934,4899.109455914222,4897.682907933934,4898.612161032161
cn-jjj-10c-01-V2-LOCATIONS,10,644.3460386708607,644.3460386708607,644.3460386708607,644.3460386708607,644.3460386708607,644.3460386708607,644.3460386708607,644.3460386708607
cn-jjj-10c-02-V2-LOCATIONS,10,589.736887015343,589.736887015343,589.736887015343,589.736887015343,589.736887015343,589.736887015343,589.736887015343,589.736887015343
cn-jjj-10c-03-V2-LOCATIONS,10,601.5900450507025,601.5900450507025,595.2972397036508,595.2972397036508,595.2972397036508,595.2972397036508,595.2972397036508,595.2972397036508
cn-jjj-150c-01-V2-LOCATIONS,150,6863.373161925754,6866.373872809541,6806.209331931482,6819.060377730173,6806.212871030643,6814.651637876627,6806.212871030643,6811.377225312729
cn-jjj-150c-02-V2-LOCATIONS,150,7175.446538772686,7180.362651626978,7137.434630742794,7155.142528892728,7134.992540805735,7139.189474290761,7134.992540805735,7137.625693938569
cn-jjj-150c-03-V2-LOCATIONS,150,7202.68319402886,7205.723434782485,7139.278927152618,7145.5055954493655,7141.364243010588,7166.477851285609,7140.050456206588,7144.578581316833
cn-jjj-15c-01-V2-LOCATIONS,15,909.3224043618796,917.0021458025406,903.5794037907119,903.5794037907119,903.5794037907119,903.5794037907119,903.5794037907119,903.5794037907119
cn-jjj-15c-02-V2-LOCATIONS,15,978.4673409195265,978.4673409195264,978.4673409195265,978.4673409195264,978.4673409195265,978.4673409195264,978.4673409195265,978.4673409195264
cn-jjj-15c-03-V2-LOCATIONS,15,972.9581863851768,972.9581863851766,972.9581863851768,972.9581863851766,972.9581863851768,972.9581863851766,972.9581863851768,972.9581863851766
cn-jjj-200c-01-V2-LOCATIONS,200,9490.48593329409,9500.088768387286,9479.071097753462,9486.113184235304,9483.331777657291,9486.979557666229,9476.467485538127,9482.919155591944
cn-jjj-200c-02-V2-LOCATIONS,200,9701.227359990384,9704.027189095095,9632.132046906174,9647.183405801032,9644.246383262898,9682.176069512425,9631.312987141979,9645.218771277805
