stage,trigger_second,trigger_cause,revealed_in_batch,active_customers,committed_customers,future_customers,iterations,runtime_seconds,population_size,initial_feasible_candidates,best_cost,best_emissions_kg,history_preserved,completed_customers,total_active_customers,termination_status,readiness_charging_kwh_cumulative
1,23400.0,fixed_interval,1,41,0,41,8,5.146743874996901,25,21,1972.218542734767,162.76579392783947,True,41,41,INTEGRATED_HGS_STOPPED_BY_CALLER,0
2,25200.0,fixed_interval,1,42,0,42,82,5.100323916994967,25,22,1978.0920155223866,164.96275027334846,True,42,42,INTEGRATED_HGS_STOPPED_BY_CALLER,0
3,27000.0,fixed_interval,1,43,0,43,27,5.560930749983527,25,19,2075.3158592766245,183.2911731388846,True,43,43,INTEGRATED_HGS_STOPPED_BY_CALLER,0
4,30600.0,fixed_interval,2,45,0,45,0,5.082272208004724,16,15,2133.4247756883397,194.99045769645292,True,45,45,INTEGRATED_HGS_STOPPED_BY_CALLER,0
5,41400.0,fixed_interval,2,47,5,42,0,5.132875209033955,25,17,2297.892693694647,227.33773943686182,True,47,47,INTEGRATED_HGS_STOPPED_BY_CALLER,0
6,43200.0,fixed_interval,1,48,17,31,18,5.325232915987726,25,21,2261.4664042629706,212.17637370626318,True,48,48,INTEGRATED_HGS_STOPPED_BY_CALLER,0
