stream_seed,arm,completed_stage_count,error_type,error
1,cooperative,6,RuntimeError,"stage search found no executable continuation (initial_feasible=False, changed=800, executable=0, accepted=0, top_rejections=[('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S7_OPEN_005', 295), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S7_OPEN_002', 99), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S7_OPEN_003', 96)])"
1,independent,1,RuntimeError,"stage search found no executable continuation (initial_feasible=False, changed=800, executable=0, accepted=0, top_rejections=[('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S2_OPEN_003', 187), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S2_OPEN_004', 94), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S2_OPEN_007', 65)])"
