arm,stream_seed,target_stage,evaluations_per_stage,status,completed_stage_count,initial_type_trial_count,search_exact_check_count,executable_candidates_at_target,customer_accounting_pass,error
cooperative,1,4,400,PASS,4,1,390,3,True,
independent,1,2,800,PASS,2,0,800,1,True,
cooperative,1,7,800,PASS,7,1,763,2,True,
