phase_index,bundle,seed,requested_timesteps,rollout_timesteps,model_timesteps_after_phase,monitor_file
163,models/data_bundle/generated_instances/E-UK24h-三班-150,3913,3072,3072,503808,monitor_phase_0163.csv
164,models/data_bundle/generated_instances/E-UK24h-三班-200,3937,3072,3072,506880,monitor_phase_0164.csv
165,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,3961,3072,3072,509952,monitor_phase_0165.csv
166,models/data_bundle/generated_instances/E-UK24h-三班-150,3985,3072,3072,513024,monitor_phase_0166.csv
167,models/data_bundle/generated_instances/E-UK24h-三班-200,4009,3072,3072,516096,monitor_phase_0167.csv
168,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4033,3072,3072,519168,monitor_phase_0168.csv
169,models/data_bundle/generated_instances/E-UK24h-三班-150,4057,3072,3072,522240,monitor_phase_0169.csv
170,models/data_bundle/generated_instances/E-UK24h-三班-200,4081,3072,3072,525312,monitor_phase_0170.csv
171,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4105,3072,3072,528384,monitor_phase_0171.csv
172,models/data_bundle/generated_instances/E-UK24h-三班-150,4129,3072,3072,531456,monitor_phase_0172.csv
173,models/data_bundle/generated_instances/E-UK24h-三班-200,4153,3072,3072,534528,monitor_phase_0173.csv
174,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4177,3072,3072,537600,monitor_phase_0174.csv
175,models/data_bundle/generated_instances/E-UK24h-三班-150,4201,3072,3072,540672,monitor_phase_0175.csv
176,models/data_bundle/generated_instances/E-UK24h-三班-200,4225,3072,3072,543744,monitor_phase_0176.csv
177,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4249,3072,3072,546816,monitor_phase_0177.csv
178,models/data_bundle/generated_instances/E-UK24h-三班-150,4273,3072,3072,549888,monitor_phase_0178.csv
179,models/data_bundle/generated_instances/E-UK24h-三班-200,4297,3072,3072,552960,monitor_phase_0179.csv
180,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4321,3072,3072,556032,monitor_phase_0180.csv
181,models/data_bundle/generated_instances/E-UK24h-三班-150,4345,3072,3072,559104,monitor_phase_0181.csv
182,models/data_bundle/generated_instances/E-UK24h-三班-200,4369,3072,3072,562176,monitor_phase_0182.csv
183,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4393,3072,3072,565248,monitor_phase_0183.csv
184,models/data_bundle/generated_instances/E-UK24h-三班-150,4417,3072,3072,568320,monitor_phase_0184.csv
185,models/data_bundle/generated_instances/E-UK24h-三班-200,4441,3072,3072,571392,monitor_phase_0185.csv
186,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4465,3072,3072,574464,monitor_phase_0186.csv
187,models/data_bundle/generated_instances/E-UK24h-三班-150,4489,3072,3072,577536,monitor_phase_0187.csv
