phase_index,bundle,seed,requested_timesteps,rollout_timesteps,model_timesteps_after_phase,monitor_file
20,models/data_bundle/generated_instances/E-UK24h-三班-200,481,3072,3072,64512,monitor_phase_0020.csv
21,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,505,3072,3072,67584,monitor_phase_0021.csv
22,models/data_bundle/generated_instances/E-UK24h-三班-150,529,3072,3072,70656,monitor_phase_0022.csv
23,models/data_bundle/generated_instances/E-UK24h-三班-200,553,3072,3072,73728,monitor_phase_0023.csv
24,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,577,3072,3072,76800,monitor_phase_0024.csv
25,models/data_bundle/generated_instances/E-UK24h-三班-150,601,3072,3072,79872,monitor_phase_0025.csv
26,models/data_bundle/generated_instances/E-UK24h-三班-200,625,3072,3072,82944,monitor_phase_0026.csv
27,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,649,3072,3072,86016,monitor_phase_0027.csv
28,models/data_bundle/generated_instances/E-UK24h-三班-150,673,3072,3072,89088,monitor_phase_0028.csv
29,models/data_bundle/generated_instances/E-UK24h-三班-200,697,3072,3072,92160,monitor_phase_0029.csv
30,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,721,3072,3072,95232,monitor_phase_0030.csv
31,models/data_bundle/generated_instances/E-UK24h-三班-150,745,3072,3072,98304,monitor_phase_0031.csv
32,models/data_bundle/generated_instances/E-UK24h-三班-200,769,3072,3072,101376,monitor_phase_0032.csv
33,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,793,3072,3072,104448,monitor_phase_0033.csv
34,models/data_bundle/generated_instances/E-UK24h-三班-150,817,3072,3072,107520,monitor_phase_0034.csv
35,models/data_bundle/generated_instances/E-UK24h-三班-200,841,3072,3072,110592,monitor_phase_0035.csv
36,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,865,3072,3072,113664,monitor_phase_0036.csv
37,models/data_bundle/generated_instances/E-UK24h-三班-150,889,3072,3072,116736,monitor_phase_0037.csv
38,models/data_bundle/generated_instances/E-UK24h-三班-200,913,3072,3072,119808,monitor_phase_0038.csv
39,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,937,3072,3072,122880,monitor_phase_0039.csv
40,models/data_bundle/generated_instances/E-UK24h-三班-150,961,3072,3072,125952,monitor_phase_0040.csv
41,models/data_bundle/generated_instances/E-UK24h-三班-200,985,3072,3072,129024,monitor_phase_0041.csv
42,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1009,3072,3072,132096,monitor_phase_0042.csv
43,models/data_bundle/generated_instances/E-UK24h-三班-150,1033,3072,3072,135168,monitor_phase_0043.csv
44,models/data_bundle/generated_instances/E-UK24h-三班-200,1057,3072,3072,138240,monitor_phase_0044.csv
45,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1081,3072,3072,141312,monitor_phase_0045.csv
46,models/data_bundle/generated_instances/E-UK24h-三班-150,1105,3072,3072,144384,monitor_phase_0046.csv
47,models/data_bundle/generated_instances/E-UK24h-三班-200,1129,3072,3072,147456,monitor_phase_0047.csv
48,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1153,3072,3072,150528,monitor_phase_0048.csv
49,models/data_bundle/generated_instances/E-UK24h-三班-150,1177,3072,3072,153600,monitor_phase_0049.csv
50,models/data_bundle/generated_instances/E-UK24h-三班-200,1201,3072,3072,156672,monitor_phase_0050.csv
51,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1225,3072,3072,159744,monitor_phase_0051.csv
52,models/data_bundle/generated_instances/E-UK24h-三班-150,1249,3072,3072,162816,monitor_phase_0052.csv
53,models/data_bundle/generated_instances/E-UK24h-三班-200,1273,3072,3072,165888,monitor_phase_0053.csv
54,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1297,3072,3072,168960,monitor_phase_0054.csv
55,models/data_bundle/generated_instances/E-UK24h-三班-150,1321,3072,3072,172032,monitor_phase_0055.csv
56,models/data_bundle/generated_instances/E-UK24h-三班-200,1345,3072,3072,175104,monitor_phase_0056.csv
57,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1369,3072,3072,178176,monitor_phase_0057.csv
58,models/data_bundle/generated_instances/E-UK24h-三班-150,1393,3072,3072,181248,monitor_phase_0058.csv
59,models/data_bundle/generated_instances/E-UK24h-三班-200,1417,3072,3072,184320,monitor_phase_0059.csv
60,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1441,3072,3072,187392,monitor_phase_0060.csv
61,models/data_bundle/generated_instances/E-UK24h-三班-150,1465,3072,3072,190464,monitor_phase_0061.csv
62,models/data_bundle/generated_instances/E-UK24h-三班-200,1489,3072,3072,193536,monitor_phase_0062.csv
63,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1513,3072,3072,196608,monitor_phase_0063.csv
64,models/data_bundle/generated_instances/E-UK24h-三班-150,1537,3072,3072,199680,monitor_phase_0064.csv
65,models/data_bundle/generated_instances/E-UK24h-三班-200,1561,3072,3072,202752,monitor_phase_0065.csv
66,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1585,3072,3072,205824,monitor_phase_0066.csv
67,models/data_bundle/generated_instances/E-UK24h-三班-150,1609,3072,3072,208896,monitor_phase_0067.csv
68,models/data_bundle/generated_instances/E-UK24h-三班-200,1633,3072,3072,211968,monitor_phase_0068.csv
69,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1657,3072,3072,215040,monitor_phase_0069.csv
70,models/data_bundle/generated_instances/E-UK24h-三班-150,1681,3072,3072,218112,monitor_phase_0070.csv
71,models/data_bundle/generated_instances/E-UK24h-三班-200,1705,3072,3072,221184,monitor_phase_0071.csv
72,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1729,3072,3072,224256,monitor_phase_0072.csv
73,models/data_bundle/generated_instances/E-UK24h-三班-150,1753,3072,3072,227328,monitor_phase_0073.csv
74,models/data_bundle/generated_instances/E-UK24h-三班-200,1777,3072,3072,230400,monitor_phase_0074.csv
75,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1801,3072,3072,233472,monitor_phase_0075.csv
76,models/data_bundle/generated_instances/E-UK24h-三班-150,1825,3072,3072,236544,monitor_phase_0076.csv
77,models/data_bundle/generated_instances/E-UK24h-三班-200,1849,3072,3072,239616,monitor_phase_0077.csv
78,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1873,3072,3072,242688,monitor_phase_0078.csv
79,models/data_bundle/generated_instances/E-UK24h-三班-150,1897,3072,3072,245760,monitor_phase_0079.csv
80,models/data_bundle/generated_instances/E-UK24h-三班-200,1921,3072,3072,248832,monitor_phase_0080.csv
81,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1945,3072,3072,251904,monitor_phase_0081.csv
82,models/data_bundle/generated_instances/E-UK24h-三班-150,1969,3072,3072,254976,monitor_phase_0082.csv
83,models/data_bundle/generated_instances/E-UK24h-三班-200,1993,3072,3072,258048,monitor_phase_0083.csv
84,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2017,3072,3072,261120,monitor_phase_0084.csv
85,models/data_bundle/generated_instances/E-UK24h-三班-150,2041,3072,3072,264192,monitor_phase_0085.csv
86,models/data_bundle/generated_instances/E-UK24h-三班-200,2065,3072,3072,267264,monitor_phase_0086.csv
87,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2089,3072,3072,270336,monitor_phase_0087.csv
88,models/data_bundle/generated_instances/E-UK24h-三班-150,2113,3072,3072,273408,monitor_phase_0088.csv
89,models/data_bundle/generated_instances/E-UK24h-三班-200,2137,3072,3072,276480,monitor_phase_0089.csv
90,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2161,3072,3072,279552,monitor_phase_0090.csv
91,models/data_bundle/generated_instances/E-UK24h-三班-150,2185,3072,3072,282624,monitor_phase_0091.csv
92,models/data_bundle/generated_instances/E-UK24h-三班-200,2209,3072,3072,285696,monitor_phase_0092.csv
93,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2233,3072,3072,288768,monitor_phase_0093.csv
94,models/data_bundle/generated_instances/E-UK24h-三班-150,2257,3072,3072,291840,monitor_phase_0094.csv
95,models/data_bundle/generated_instances/E-UK24h-三班-200,2281,3072,3072,294912,monitor_phase_0095.csv
96,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2305,3072,3072,297984,monitor_phase_0096.csv
97,models/data_bundle/generated_instances/E-UK24h-三班-150,2329,3072,3072,301056,monitor_phase_0097.csv
98,models/data_bundle/generated_instances/E-UK24h-三班-200,2353,3072,3072,304128,monitor_phase_0098.csv
99,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2377,3072,3072,307200,monitor_phase_0099.csv
100,models/data_bundle/generated_instances/E-UK24h-三班-150,2401,3072,3072,310272,monitor_phase_0100.csv
101,models/data_bundle/generated_instances/E-UK24h-三班-200,2425,3072,3072,313344,monitor_phase_0101.csv
102,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2449,3072,3072,316416,monitor_phase_0102.csv
103,models/data_bundle/generated_instances/E-UK24h-三班-150,2473,3072,3072,319488,monitor_phase_0103.csv
104,models/data_bundle/generated_instances/E-UK24h-三班-200,2497,3072,3072,322560,monitor_phase_0104.csv
105,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2521,3072,3072,325632,monitor_phase_0105.csv
106,models/data_bundle/generated_instances/E-UK24h-三班-150,2545,3072,3072,328704,monitor_phase_0106.csv
107,models/data_bundle/generated_instances/E-UK24h-三班-200,2569,3072,3072,331776,monitor_phase_0107.csv
