run_id,size,instance,layer,seed,fee,budget
E3__200c__M0__seed99__fee0__eval400,200c,L-main-threeshift-200c-01,M0,99,0.0,400
E3__200c__M1__seed99__fee0__eval400,200c,L-main-threeshift-200c-01,M1,99,0.0,400
