phase,instance,scan_name,field,value,seed,variant,carbon_price,eval_budget,max_runtime_seconds,total_cost,cost_fix,cost_km,cost_fuel,cost_elec,cost_occ,cost_transship,cost_carbon,E_total,E_cv_direct,E_ev_indirect,distance_total,distance_cv,distance_ev,fuel_liters,electricity_kwh,depot_charging_kwh,station_charging_kwh,ev_drive_kwh,charge_action_count,depot_charge_action_count,public_charge_action_count,depot_charge_kwh,public_charge_kwh,depot_charge_cost,public_charge_cost,public_occupancy_cost,ev_routes_drive_kwh_gt_battery,ev_routes_with_public_charge,ev_public_charge_detour_m,max_ev_route_drive_kwh,status,violation_count,solver_reported_feasible,actual_evals,best_penalized_obj,elapsed_seconds,route_count,cv_route_count,ev_route_count,warm_cv_route_count,warm_ev_route_count,error
phase1,vanilla/e2-vanilla-25c-01,baseline,,,1,cv_only,0.05034,80,10.0,1263.7688478119553,560.0,383.02253950887825,294.18054306532275,0.0,0.0,0.0,26.565765237754196,527.7267627682597,527.7267627682597,0.0,1094350.1128825094,1094350.1128825094,0.0,205.27565631520673,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,True,80,1263.7688478119553,0.5411546660179738,7,7,0,7,0,
phase1,vanilla/e2-vanilla-25c-01,baseline,,,2,cv_only,0.05034,80,10.0,1253.3971914073998,560.0,377.3070291026259,289.91004166619854,0.0,0.0,0.0,26.180120638575374,520.0659642148465,520.0659642148465,0.0,1078020.0831503598,1078020.0831503598,0.0,202.29575163366027,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,True,80,1253.3971914073998,0.5407269159913994,7,7,0,7,0,
phase1,vanilla/e2-vanilla-25c-01,baseline,,,3,cv_only,0.05034,80,10.0,1351.7094759672007,640.0,387.35499021390996,297.48987375534864,0.0,0.0,0.0,26.864611997941868,533.663329319465,533.663329319465,0.0,1106728.5434683142,1106728.5434683142,0.0,207.58486759845692,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,True,80,1351.7094759672007,0.3762629160191864,8,8,0,7,0,
phase1,vanilla/e2-vanilla-25c-01,baseline,,,1,ev_only,0.05034,80,10.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_RUN_ERROR,nan,,,,0.009526707988698035,,nan,nan,,,ValueError('No feasible charging insert between C4 and D0')
phase1,vanilla/e2-vanilla-25c-01,baseline,,,2,ev_only,0.05034,80,10.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_RUN_ERROR,nan,,,,0.009553791984217241,,nan,nan,,,ValueError('No feasible charging insert between C4 and D0')
phase1,vanilla/e2-vanilla-25c-01,baseline,,,3,ev_only,0.05034,80,10.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_RUN_ERROR,nan,,,,0.009630583983380347,,nan,nan,,,ValueError('No feasible charging insert between C4 and D0')
phase1,vanilla/e2-vanilla-25c-01,baseline,,,1,mixed,0.05034,80,10.0,1175.2689474913489,560.0,359.3613174480212,192.03248524864486,41.827568474323634,4.155036323159208,0.0,17.892539997199613,355.4338497655863,344.48465126433683,10.949198501249462,1026746.6212800606,714501.2171307441,312245.4041493165,133.9979661214464,197.26478880574922,188.9547161594308,8.310072646318417,197.26478880574922,4,3,1,188.9547161594308,8.310072646318417,35.01330890434253,6.814259569981102,4.155036323159208,1,1,0.0,88.31007264631842,OK,0,True,80,1175.2689474913489,1.0261224999849219,7,4,3,7,0,
phase1,vanilla/e2-vanilla-25c-01,baseline,,,2,mixed,0.05034,80,10.0,1302.8767768024516,640.0,382.6012723894073,232.4236351992766,26.476221312749615,0.0,0.0,21.375647901017977,424.6255045891533,416.9418253038896,7.683679285263745,1093146.4925411637,865109.3347986576,228037.15774250613,162.18242634797053,142.88300762412098,142.88300762412098,0.0,142.88300762412098,3,3,0,142.88300762412098,0.0,26.476221312749615,0.0,0.0,0,0,0.0,74.87056247707505,OK,0,True,80,1302.8767768024516,1.3894460829906166,8,5,3,7,0,
phase1,vanilla/e2-vanilla-25c-01,baseline,,,3,mixed,0.05034,80,10.0,1378.7597291482125,640.0,415.8196457800592,196.23929551735336,83.89249043331975,24.286833982605188,0.0,18.521463434874903,367.9273626316031,352.03119510286956,15.896167528733544,1188056.1308001692,733777.4459267192,454278.68487345,136.93342789571793,286.361486107937,237.78781814272665,48.573667965210376,286.361486107937,5,3,2,237.78781814272665,48.573667965210376,44.062082701847245,39.830407731472505,24.286833982605188,2,2,18316.515679547098,110.79972228543906,OK,0,True,80,1378.7597291482125,0.8923617089749314,8,5,3,7,0,
phase1,vanilla/e2-vanilla-50c-01,baseline,,,1,cv_only,0.05034,80,10.0,2900.831227639563,1360.0,837.6656033241367,644.9260361572632,0.0,0.0,0.0,58.23958815816333,1156.9246753707455,1156.9246753707455,0.0,2393330.2952118195,2393330.2952118195,0.0,450.02165665847684,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,True,80,2900.831227639563,2.1582671659998596,17,17,0,16,0,
