phase,instance,scan_name,field,value,seed,variant,carbon_price,eval_budget,max_runtime_seconds,total_cost,cost_fix,cost_km,cost_fuel,cost_elec,cost_occ,cost_transship,cost_carbon,E_total,E_cv_direct,E_ev_indirect,distance_total,distance_cv,distance_ev,fuel_liters,electricity_kwh,depot_charging_kwh,station_charging_kwh,ev_drive_kwh,charge_action_count,depot_charge_action_count,public_charge_action_count,depot_charge_kwh,public_charge_kwh,depot_charge_cost,public_charge_cost,public_occupancy_cost,ev_routes_drive_kwh_gt_battery,ev_routes_with_public_charge,ev_public_charge_detour_m,max_ev_route_drive_kwh,status,violation_count,solver_reported_feasible,actual_evals,best_penalized_obj,elapsed_seconds,route_count,cv_route_count,ev_route_count,warm_cv_route_count,warm_ev_route_count,error
phase1,vanilla/e2-vanilla-50c-01,baseline,,,2,cv_only,0.05034,80,10.0,2918.250276517502,1360.0,847.511421607089,651.8720150555982,0.0,0.0,0.0,58.86683985481476,1169.3849792374801,1169.3849792374801,0.0,2421461.2045916826,2421461.2045916826,0.0,454.8684774653536,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,True,80,2918.250276517502,1.7142619579972234,17,17,0,16,0,
phase1,vanilla/e2-vanilla-50c-01,baseline,,,3,cv_only,0.05034,80,10.0,3024.7528335788907,1360.0,905.900121063495,696.0008495668498,0.0,0.0,0.0,62.85186294854567,1248.5471384295922,1248.5471384295922,0.0,2588286.0601814147,2588286.0601814147,0.0,485.661049170923,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,True,80,3024.7528335788907,1.9650785419798922,17,17,0,16,0,
phase1,vanilla/e2-vanilla-50c-01,baseline,,,1,ev_only,0.05034,80,10.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_RUN_ERROR,nan,,,,0.13923212498775683,,nan,nan,,,ValueError('No feasible charging insert between C5 and D0')
phase1,vanilla/e2-vanilla-50c-01,baseline,,,2,ev_only,0.05034,80,10.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_RUN_ERROR,nan,,,,0.1396285000082571,,nan,nan,,,ValueError('No feasible charging insert between C5 and D0')
phase1,vanilla/e2-vanilla-50c-01,baseline,,,3,ev_only,0.05034,80,10.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_RUN_ERROR,nan,,,,0.13932641700375825,,nan,nan,,,ValueError('No feasible charging insert between C5 and D0')
phase1,vanilla/e2-vanilla-50c-01,baseline,,,1,mixed,0.05034,80,10.0,2922.017686630785,1360.0,878.9362949964161,575.3713933045575,49.93531119638867,5.156186325836249,0.0,52.6185008075869,1045.2622329675585,1032.1514795444996,13.110753423058803,2511246.5571326176,2140930.8496334986,370315.7074991189,401.48726069678145,234.1610808115064,223.8487081598339,10.312372651672497,234.1610808115064,4,3,1,223.8487081598339,10.312372651672497,41.47916562201722,8.456145574371448,5.156186325836249,1,1,0.0,90.31237265167249,OK,0,True,80,2922.017686630785,4.7428075410134625,17,14,3,15,1,
phase1,vanilla/e2-vanilla-50c-01,baseline,,,2,mixed,0.05034,80,10.0,2833.2957785841977,1280.0,860.4087143382106,523.6195532407745,94.14083605066475,26.957320585786302,0.0,48.16935436876089,956.8803013261996,939.3145069167873,17.565794409412344,2458310.612394888,1944635.0440456825,513675.5683492054,365.37544710123126,323.3740598978285,269.4594187262559,53.914641171572605,323.3740598978285,5,4,1,269.4594187262559,53.914641171572605,49.930830289975205,44.21000576068953,26.957320585786302,1,1,4950.7681420678855,133.9146411715726,OK,0,True,80,2833.2957785841977,3.9556130840210244,16,12,4,15,1,
phase1,vanilla/e2-vanilla-50c-01,baseline,,,3,mixed,0.05034,80,10.0,2832.657154952463,1360.0,841.9006511182952,460.93670684435864,106.81451873112175,20.15943483293713,0.0,42.84584342575056,851.1291900228557,826.8685400108952,24.260650011960486,2405430.431766558,1708264.1255498806,697166.3062166774,321.6361083276524,438.33854373551736,398.0196740696431,40.31886966587426,438.33854373551736,8,6,2,398.0196740696431,40.31886966587426,73.75304560510486,33.06147312601689,20.15943483293713,2,2,3718.4161783227755,116.3118734950173,OK,0,True,80,2832.657154952463,4.445194833999267,17,11,6,15,1,
phase1,threeshift/e2-threeshift-50c-01,baseline,,,1,cv_only,0.05034,80,10.0,2581.5225121815033,1280.0,707.5240695679598,544.8006100288194,0.0,0.0,0.0,49.197832584723834,977.3109373206959,977.3109373206959,0.0,2021497.3416227426,2021497.3416227426,0.0,380.15533460946153,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,True,80,2581.5225121815033,2.3571197089913767,16,16,0,16,0,
phase1,threeshift/e2-threeshift-50c-01,baseline,,,2,cv_only,0.05034,80,10.0,2604.311465741832,1280.0,719.6736112840819,554.5588141708507,0.0,0.0,0.0,50.07904028689917,994.8160565534201,994.8160565534201,0.0,2056210.3179545195,2056210.3179545195,0.0,386.96449247843884,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,True,80,2604.311465741832,1.9621015000157058,16,16,0,16,0,
phase1,threeshift/e2-threeshift-50c-01,baseline,,,3,cv_only,0.05034,80,10.0,2624.932567422224,1360.0,688.4174405740242,528.7653472891114,0.0,0.0,0.0,47.749779559088495,948.545481904817,948.545481904817,0.0,1966906.9730686408,1966906.9730686408,0.0,368.96612050039175,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,True,80,2624.932567422224,1.8601276249974035,17,17,0,16,0,
phase1,threeshift/e2-threeshift-50c-01,baseline,,,1,ev_only,0.05034,80,10.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_RUN_ERROR,nan,,,,0.0471768340212293,,nan,nan,,,ValueError('No feasible charging insert between C050 and D1')
phase1,threeshift/e2-threeshift-50c-01,baseline,,,2,ev_only,0.05034,80,10.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_RUN_ERROR,nan,,,,0.04716108299908228,,nan,nan,,,ValueError('No feasible charging insert between C050 and D1')
phase1,threeshift/e2-threeshift-50c-01,baseline,,,3,ev_only,0.05034,80,10.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_RUN_ERROR,nan,,,,0.04742824999266304,,nan,nan,,,ValueError('No feasible charging insert between C050 and D1')
phase1,threeshift/e2-threeshift-50c-01,baseline,,,1,mixed,0.05034,80,10.0,2561.101717382308,1360.0,692.2209459509804,410.53241066263206,57.158538011219754,2.950269746796654,0.0,38.239553010679366,759.6256060921606,736.4489093431774,23.176696748983154,1977774.1312885154,1521627.9172071426,456146.2140813728,286.4645946986477,288.2539967330603,282.35345723946705,5.900539493593307,288.2539967330603,5,4,1,282.35345723946705,5.900539493593307,52.32009562647324,4.838442384746512,2.950269746796654,1,1,2923.8978019353817,85.90053949359331,OK,0,True,80,2561.101717382308,4.344699625013163,17,13,4,15,1,
phase1,threeshift/e2-threeshift-50c-01,baseline,,,2,mixed,0.05034,80,10.0,2433.458967545014,1360.0,661.2003113050083,277.00135709716267,104.44012299102062,3.360134468489879,0.0,27.45704168333281,545.4318967686295,496.90923791258643,48.52265885604306,1889143.7465857381,1026794.4375788241,862349.3090069139,193.2882262906724,540.6085714879632,533.8883025509834,6.720268936979757,540.6085714879632,10,9,1,533.8883025509834,6.720268936979757,98.92950246269723,5.5106205283234,3.360134468489879,1,1,7011.636635501345,86.72026893697975,OK,0,True,80,2433.458967545014,5.002928333997261,17,8,9,15,1,
phase1,threeshift/e2-threeshift-50c-01,baseline,,,3,mixed,0.05034,80,10.0,2539.0995778238257,1360.0,694.6689386539707,382.8432026545793,65.68544695601716,0.0,0.0,35.901989559258574,713.1900985152677,686.7775886179927,26.41250989727496,1984768.3961542023,1420397.6144440263,564370.7817101761,267.1433972888,354.4816349488244,354.4816349488244,0.0,354.4816349488244,6,6,0,354.4816349488244,0.0,65.68544695601716,0.0,0.0,0,0,0.0,76.42108804119195,OK,0,True,80,2539.0995778238257,4.25137829198502,17,11,6,15,1,
