phase,instance,scan_name,field,value,seed,variant,carbon_price,eval_budget,max_runtime_seconds,total_cost,cost_fix,cost_km,cost_fuel,cost_elec,cost_occ,cost_transship,cost_carbon,E_total,E_cv_direct,E_ev_indirect,distance_total,distance_cv,distance_ev,fuel_liters,electricity_kwh,depot_charging_kwh,station_charging_kwh,ev_drive_kwh,charge_action_count,depot_charge_action_count,public_charge_action_count,depot_charge_kwh,public_charge_kwh,depot_charge_cost,public_charge_cost,public_occupancy_cost,ev_routes_drive_kwh_gt_battery,ev_routes_with_public_charge,ev_public_charge_detour_m,max_ev_route_drive_kwh,status,violation_count,solver_reported_feasible,actual_evals,best_penalized_obj,elapsed_seconds,route_count,cv_route_count,ev_route_count,warm_cv_route_count,warm_ev_route_count,reference_seed,reference_total_cost
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,battery_kwh,B_battery_kwh,80.0,0,cv_only,0.05034,0,0.0,1253.3971914073998,560.0,377.3070291026259,289.91004166619854,0.0,0.0,0.0,26.180120638575374,520.0659642148465,520.0659642148465,0.0,1078020.0831503598,1078020.0831503598,0.0,202.29575163366027,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,,0,,0.00018620799528434873,7,7,0,7,0,2,1253.3971914073998
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,battery_kwh,B_battery_kwh,80.0,0,ev_only,0.05034,0,0.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_NO_REFERENCE_SOLUTION,,,,,,,,,,,,
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,battery_kwh,B_battery_kwh,80.0,0,mixed,0.05034,0,0.0,1175.2689474913489,560.0,359.3613174480212,192.03248524864486,41.827568474323634,4.155036323159208,0.0,17.892539997199613,355.4338497655863,344.48465126433683,10.949198501249462,1026746.6212800606,714501.2171307441,312245.4041493165,133.9979661214464,197.26478880574922,188.9547161594308,8.310072646318417,197.26478880574922,4,3,1,188.9547161594308,8.310072646318417,35.01330890434253,6.814259569981102,4.155036323159208,1,1,0.0,88.31007264631842,OK,0,,0,,0.0005622080061584711,7,4,3,7,0,1,1175.2689474913489
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,battery_kwh,B_battery_kwh,160.0,0,cv_only,0.05034,0,0.0,1253.3971914073998,560.0,377.3070291026259,289.91004166619854,0.0,0.0,0.0,26.180120638575374,520.0659642148465,520.0659642148465,0.0,1078020.0831503598,1078020.0831503598,0.0,202.29575163366027,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,,0,,0.00016395800048485398,7,7,0,7,0,2,1253.3971914073998
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,battery_kwh,B_battery_kwh,160.0,0,ev_only,0.05034,0,0.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_NO_REFERENCE_SOLUTION,,,,,,,,,,,,
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,battery_kwh,B_battery_kwh,160.0,0,mixed,0.05034,0,0.0,1165.850741719459,560.0,359.3613174480212,192.03248524864486,36.553165365705325,0.0,0.0,17.903773657087466,355.65700550431995,344.48465126433683,11.172354239983122,1026746.6212800606,714501.2171307441,312245.4041493165,133.9979661214464,197.26478880574922,197.26478880574922,0.0,197.26478880574922,3,3,0,197.26478880574922,0.0,36.553165365705325,0.0,0.0,0,0,0.0,88.31007264631842,OK,0,,0,,0.00047883298248052597,7,4,3,7,0,1,1175.2689474913489
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,battery_kwh,B_battery_kwh,320.0,0,cv_only,0.05034,0,0.0,1253.3971914073998,560.0,377.3070291026259,289.91004166619854,0.0,0.0,0.0,26.180120638575374,520.0659642148465,520.0659642148465,0.0,1078020.0831503598,1078020.0831503598,0.0,202.29575163366027,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,,0,,0.00015858298866078258,7,7,0,7,0,2,1253.3971914073998
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,battery_kwh,B_battery_kwh,320.0,0,ev_only,0.05034,0,0.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_NO_REFERENCE_SOLUTION,,,,,,,,,,,,
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,battery_kwh,B_battery_kwh,320.0,0,mixed,0.05034,0,0.0,1165.850741719459,560.0,359.3613174480212,192.03248524864486,36.553165365705325,0.0,0.0,17.903773657087466,355.65700550431995,344.48465126433683,11.172354239983122,1026746.6212800606,714501.2171307441,312245.4041493165,133.9979661214464,197.26478880574922,197.26478880574922,0.0,197.26478880574922,3,3,0,197.26478880574922,0.0,36.553165365705325,0.0,0.0,0,0,0.0,88.31007264631842,OK,0,,0,,0.00047133301268331707,7,4,3,7,0,1,1175.2689474913489
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,battery_kwh,B_battery_kwh,480.0,0,cv_only,0.05034,0,0.0,1253.3971914073998,560.0,377.3070291026259,289.91004166619854,0.0,0.0,0.0,26.180120638575374,520.0659642148465,520.0659642148465,0.0,1078020.0831503598,1078020.0831503598,0.0,202.29575163366027,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,,0,,0.0001579160161782056,7,7,0,7,0,2,1253.3971914073998
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,battery_kwh,B_battery_kwh,480.0,0,ev_only,0.05034,0,0.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_NO_REFERENCE_SOLUTION,,,,,,,,,,,,
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,battery_kwh,B_battery_kwh,480.0,0,mixed,0.05034,0,0.0,1165.850741719459,560.0,359.3613174480212,192.03248524864486,36.553165365705325,0.0,0.0,17.903773657087466,355.65700550431995,344.48465126433683,11.172354239983122,1026746.6212800606,714501.2171307441,312245.4041493165,133.9979661214464,197.26478880574922,197.26478880574922,0.0,197.26478880574922,3,3,0,197.26478880574922,0.0,36.553165365705325,0.0,0.0,0,0,0.0,88.31007264631842,OK,0,,0,,0.00046704200212843716,7,4,3,7,0,1,1175.2689474913489
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,speed_ms,v_speed_ms,25.0,0,cv_only,0.05034,0,0.0,1253.3971914073998,560.0,377.3070291026259,289.91004166619854,0.0,0.0,0.0,26.180120638575374,520.0659642148465,520.0659642148465,0.0,1078020.0831503598,1078020.0831503598,0.0,202.29575163366027,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,,0,,0.00015583299682475626,7,7,0,7,0,2,1253.3971914073998
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,speed_ms,v_speed_ms,25.0,0,ev_only,0.05034,0,0.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_NO_REFERENCE_SOLUTION,,,,,,,,,,,,
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,speed_ms,v_speed_ms,25.0,0,mixed,0.05034,0,0.0,1175.2689474913489,560.0,359.3613174480212,192.03248524864486,41.827568474323634,4.155036323159208,0.0,17.892539997199613,355.4338497655863,344.48465126433683,10.949198501249462,1026746.6212800606,714501.2171307441,312245.4041493165,133.9979661214464,197.26478880574922,188.9547161594308,8.310072646318417,197.26478880574922,4,3,1,188.9547161594308,8.310072646318417,35.01330890434253,6.814259569981102,4.155036323159208,1,1,0.0,88.31007264631842,OK,0,,0,,0.0005262090126052499,7,4,3,7,0,1,1175.2689474913489
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,speed_ms,v_speed_ms,16.7,0,cv_only,0.05034,0,0.0,1205.1419600166914,560.0,377.3070291026259,245.65154263197846,0.0,0.0,0.0,22.18338828208712,440.67120147173455,440.67120147173455,0.0,1078020.0831503598,1078020.0831503598,0.0,171.41270157838144,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,,0,,0.00015700000221841037,7,7,0,7,0,2,1253.3971914073998
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,speed_ms,v_speed_ms,16.7,0,ev_only,0.05034,0,0.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HALT_NO_REFERENCE_SOLUTION,,,,,,,,,,,,
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,speed_ms,v_speed_ms,16.7,0,mixed,0.05034,0,0.0,1121.5688624306415,560.0,359.3613174480212,162.6983829229097,24.466895770324182,0.0,0.0,15.042266289386365,298.81339470374184,291.86257538613825,6.9508193176035755,1026746.6212800606,714501.2171307441,312245.4041493165,113.52898117570979,132.03937274864643,132.03937274864643,0.0,132.03937274864643,3,3,0,132.03937274864643,0.0,24.466895770324182,0.0,0.0,0,0,0.0,59.25203673699956,OK,0,,0,,0.0004577919899020344,7,4,3,7,0,1,1175.2689474913489
phase2_fixed_replay,vanilla/e2-vanilla-25c-01,speed_ms,v_speed_ms,11.1,0,cv_only,0.05034,0,0.0,1219.8925493229756,560.0,377.3070291026259,259.1804165747953,0.0,0.0,0.0,23.405103645554362,464.940477662979,464.940477662979,0.0,1078020.0831503598,1078020.0831503598,0.0,180.85298763156464,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,OK,0,,0,,0.00015633399016223848,7,7,0,7,0,2,1253.3971914073998
