instance_id,a3_cost,bks,a3_error_pct,seed_runs_best,pool_after_seeds,pool_final,guided_only_columns_selected,total_iterations,cpu_seconds
PR17B,4776.851,4771.155,0.11938409043512341,4777.635,1528,2262,0,160000,626.7
PR21B,4826.451,4822.337,0.08531133348829784,4829.522,1274,1998,0,160000,731.0
PR11B,4832.33,4814.803,0.3640232009492402,4834.547,1537,2401,0,160000,671.6
PR21A,6234.394,6230.046,0.0697908169538388,6238.078,927,1599,0,160000,810.5
PR12B,6031.045,6004.834,0.43649832784720183,6036.057,1705,2613,0,160000,922.1
