instance_id,sample_role,seed,arm,budget,complete_candidate_evaluations_S,last_strict_improvement_evaluation_L,last_strict_improvement_fraction_L_over_S,starved_L_over_S_gt_0_5,wallclock_safety_triggered,elapsed_wall_seconds,elapsed_cpu_seconds,status
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,1,L100_control,32,32,11,0.34375,0,False,119.67163108300883,115.34522300000003,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,2,L100_control,32,32,28,0.875,1,False,118.10349270899314,113.79152099999999,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,3,L100_control,32,32,11,0.34375,0,False,115.23192404198926,110.97837900000007,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,4,L100_control,32,32,31,0.96875,1,False,122.98566445801407,117.983837,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,5,L100_control,32,32,21,0.65625,1,False,115.21598941698903,109.64427599999999,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,L100_control,32,32,18,0.5625,1,False,70.64520766597707,65.390165,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,L100_control,32,32,17,0.53125,1,False,70.79276933299843,65.225761,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,L100_control,32,32,18,0.5625,1,False,68.94965495803626,64.69397299999999,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,L100_control,32,32,31,0.96875,1,False,68.85953745798906,64.55453000000001,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,5,L100_control,32,32,16,0.5,0,False,71.15915608400246,64.698184,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,6,L100_control,32,32,21,0.65625,1,False,72.22911183402175,65.200143,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,7,L100_control,32,32,31,0.96875,1,False,57.17278087500017,55.24919600000001,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,8,L100_control,32,32,17,0.53125,1,False,56.357673415972386,54.890991000000014,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,9,L100_control,32,32,31,0.96875,1,False,58.22332087496761,55.96972499999998,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,10,L100_control,32,32,18,0.5625,1,False,58.535061416972894,56.271068000000014,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,1,NL90_mild,32,32,11,0.34375,0,False,119.82249679096276,115.49780600000003,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,2,NL90_mild,32,32,28,0.875,1,False,118.6201075410354,114.383666,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,3,NL90_mild,32,32,11,0.34375,0,False,115.23155695898458,110.98317600000001,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,4,NL90_mild,32,32,31,0.96875,1,False,122.13999012496788,117.78218099999998,PASS
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,5,NL90_mild,32,32,21,0.65625,1,False,115.24281429103576,109.71147800000006,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,NL90_mild,32,32,18,0.5625,1,False,70.57392208400415,65.282978,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,NL90_mild,32,32,17,0.53125,1,False,70.19540862500435,64.99291899999999,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,NL90_mild,32,32,18,0.5625,1,False,73.2554402500391,68.280811,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,NL90_mild,32,32,31,0.96875,1,False,69.33164024999132,64.98334799999999,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,5,NL90_mild,32,32,16,0.5,0,False,71.78802895802073,65.094022,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,6,NL90_mild,32,32,21,0.65625,1,False,70.68642633303534,64.36295799999999,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,7,NL90_mild,32,32,31,0.96875,1,False,56.942155625030864,55.242639,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,8,NL90_mild,32,32,17,0.53125,1,False,57.69954795902595,55.830803,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,9,NL90_mild,32,32,31,0.96875,1,False,58.33845233405009,56.103301000000016,PASS
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,10,NL90_mild,32,32,18,0.5625,1,False,58.59875562496018,56.290459,PASS
