label,run_id,seed,budget,evaluation_index,view,source,iteration,candidate_id,completion_succeeded,status,complete_objective,complete_objective_float_hex,exception_type,exception_message,failure_category
post,seed1_budget100,1,100,1,cv_only,hgs_iteration_checkpoint,100,b8cba8f70f790b30f453dd71fc6b7a102003d816925266cc39d8222e62c11f3c,True,PASS,2087.1669012477587,0x1.04e5574149192p+11,,,
post,seed1_budget100,1,100,2,cv_only,terminal_population_archive,,b8cba8f70f790b30f453dd71fc6b7a102003d816925266cc39d8222e62c11f3c,True,PASS,2087.1669012477587,0x1.04e5574149192p+11,,,
post,seed1_budget100,1,100,3,cv_only,terminal_population_archive,,d16b183843e4bfe5ab1339ecee441cebf7ff4dcba7031e43a09b0569f3759a62,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
post,seed1_budget100,1,100,4,cv_only,terminal_population_archive,,7caad422ad8e7f76787954a62d13f99299c74410cdcf68df7ce77b51501d0882,True,PASS,2257.14876782499,0x1.1a24c2b4bde0fp+11,,,
post,seed1_budget100,1,100,5,cv_only,terminal_population_archive,,d823dd7ff5f2404eb57c4739a0a74824ce3c0f8dac0d769ea01995b30eac61e8,True,PASS,2088.2762148914994,0x1.0508d6c09cb51p+11,,,
post,seed1_budget100,1,100,6,cv_only,terminal_population_archive,,fb8fddd1ae9aca3f79261d1d2b928c367fb02039db0aa168ad070e0a14b445e7,True,PASS,2114.5231908997657,0x1.0850bdfad781ep+11,,,
post,seed1_budget100,1,100,7,cv_only,terminal_population_archive,,d813ec4c2ebfa3f6862893d80cf19f167e23d51d608c3c9843a534bc0a69a4a4,True,PASS,2095.484502499631,0x1.05ef810b62d7ep+11,,,
post,seed1_budget100,1,100,8,cv_only,terminal_population_archive,,34dfee3d8b4ff6d171fa20a2786368f164d1fe777fdf9dcb2e13ef75a1aac36e,True,PASS,2107.859164321564,0x1.077b7e462ce04p+11,,,
post,seed1_budget100,1,100,9,cv_only,terminal_population_archive,,e9de354a12be51e99c763870e239075ce267e797d4903a17576a5ad9180d0b8a,True,PASS,1930.5499913454935,0x1.e2a3330ee67e9p+10,,,
post,seed1_budget100,1,100,10,cv_only,common_initial_solution,,496f46a91e32e671472a84b35d477fb54a4925bb7245c1adf8e8dbd71975f47c,True,PASS,2018.3191543892503,0x1.f8946d06880d2p+10,,,
post,seed1_budget100,1,100,11,cv_only,proxy_best_solution,100,b8cba8f70f790b30f453dd71fc6b7a102003d816925266cc39d8222e62c11f3c,True,PASS,2087.1669012477587,0x1.04e5574149192p+11,,,
post,seed1_budget100,1,100,12,naive_ev,hgs_iteration_checkpoint,100,aeebab66145645f69d169bd730b1d47a380d0a1d3bad4530a9c1cfc616bb04fd,True,PASS,2159.343882291147,0x1.0deb01156f44dp+11,,,
post,seed1_budget100,1,100,13,naive_ev,terminal_population_archive,,aeebab66145645f69d169bd730b1d47a380d0a1d3bad4530a9c1cfc616bb04fd,True,PASS,2159.343882291147,0x1.0deb01156f44dp+11,,,
post,seed1_budget100,1,100,14,naive_ev,terminal_population_archive,,724d59899a01e1c9b899c43de42ee1b3b9396225dd13a0aa0912b40ea538d59f,True,PASS,2252.8981343573246,0x1.199cbd844383fp+11,,,
post,seed1_budget100,1,100,15,naive_ev,terminal_population_archive,,940e73412a3b4d262bf738daa56327c23d0525824943a8faaa6c205f7fe33375,True,PASS,1949.2860837171272,0x1.e7524f32143ebp+10,,,
post,seed1_budget100,1,100,16,naive_ev,terminal_population_archive,,9b730578dba8cbeb182a3931386e828a1ca4f3fcb333d2b7beebba0968d4f1a5,True,PASS,2123.2530604909157,0x1.09681912508c9p+11,,,
post,seed1_budget100,1,100,17,naive_ev,terminal_population_archive,,b8fa2a186e175a924ceceba4297f5baa6c8d5148a38e8654525e48a2620e4e97,True,PASS,1973.973223511844,0x1.ed7e494b44c46p+10,,,
post,seed1_budget100,1,100,18,naive_ev,terminal_population_archive,,c02505c56d531a8d00a57323e27444b6b3cf8a2f2287dab827d85683616530eb,True,PASS,2127.7168122960306,0x1.09f6f020571a5p+11,,,
post,seed1_budget100,1,100,19,naive_ev,terminal_population_archive,,a16a282ec9d9daba15608f78b367274cb775087e047064f441295758b7e10fb5,True,PASS,2042.7133370265915,0x1.feada750580f2p+10,,,
post,seed1_budget100,1,100,20,naive_ev,terminal_population_archive,,c408f4317748e71db0b58476ee2f7f9c63a218610eb4cc852703a1f64bf4ed17,True,PASS,2273.7406357533614,0x1.1c37b349c05dfp+11,,,
post,seed1_budget100,1,100,21,naive_ev,common_initial_solution,,496f46a91e32e671472a84b35d477fb54a4925bb7245c1adf8e8dbd71975f47c,True,PASS,2018.3191543892503,0x1.f8946d06880d2p+10,,,
post,seed1_budget100,1,100,22,naive_ev,proxy_best_solution,100,aeebab66145645f69d169bd730b1d47a380d0a1d3bad4530a9c1cfc616bb04fd,True,PASS,2159.343882291147,0x1.0deb01156f44dp+11,,,
post,seed1_budget100,1,100,23,mechanism_ev,hgs_iteration_checkpoint,100,f76d2af07b3e0a1238fef663299a6ec22b05ec22f2394b3745cde7863aefa33d,True,PASS,2192.699308770718,0x1.121660bcc9814p+11,,,
post,seed1_budget100,1,100,24,mechanism_ev,terminal_population_archive,,f76d2af07b3e0a1238fef663299a6ec22b05ec22f2394b3745cde7863aefa33d,True,PASS,2192.699308770718,0x1.121660bcc9814p+11,,,
post,seed1_budget100,1,100,25,mechanism_ev,terminal_population_archive,,9623046505aaa7a329f5794a16ef72f21b6d3debf8409ef8746d1267fb057afe,True,PASS,2059.9898433731423,0x1.017faccc0279ep+11,,,
post,seed1_budget100,1,100,26,mechanism_ev,terminal_population_archive,,a0e5e69f85744bb6ed2d687c547b90f6ec262f70338eed13cf3d63371cac592c,True,PASS,2138.1574489912628,0x1.0b4509d277886p+11,,,
post,seed1_budget100,1,100,27,mechanism_ev,terminal_population_archive,,99c015a8f35430e08b471b514bc4d86f7a870583c31e59549f60a3687836473b,True,PASS,2085.2532600496684,0x1.04a81ab4d1d6bp+11,,,
post,seed1_budget100,1,100,28,mechanism_ev,terminal_population_archive,,41780f375f61fedb3f48f9c3605e316f92108de428799a9f3180dc45e5710a6d,True,PASS,1999.9308259276681,0x1.f3fb92a6e966ap+10,,,
post,seed1_budget100,1,100,29,mechanism_ev,terminal_population_archive,,5739c67d4a1cb40cfe5ce8d8f0166cddb4235f05805a62ec868faa2e315c31ae,True,PASS,2108.235909362375,0x1.07878c91ca871p+11,,,
post,seed1_budget100,1,100,30,mechanism_ev,terminal_population_archive,,703cfce4a77f695143f6c0737eeb2f254db7aac704e23ff05af4d1824d53af49,True,PASS,1970.3162196137855,0x1.ec943cf130e40p+10,,,
post,seed1_budget100,1,100,31,mechanism_ev,terminal_population_archive,,ee798764a8da0e7f84ec726490e5e0f36b4ba70e733c7514cd61e62e0f5d0bf3,True,PASS,1977.2904313949946,0x1.ee52966d8fcefp+10,,,
post,seed1_budget100,1,100,32,mechanism_ev,common_initial_solution,,496f46a91e32e671472a84b35d477fb54a4925bb7245c1adf8e8dbd71975f47c,True,PASS,2018.3191543892503,0x1.f8946d06880d2p+10,,,
post,seed1_budget100,1,100,33,mechanism_ev,proxy_best_solution,100,f76d2af07b3e0a1238fef663299a6ec22b05ec22f2394b3745cde7863aefa33d,True,PASS,2192.699308770718,0x1.121660bcc9814p+11,,,
post,seed1_budget100,1,100,34,route_pool,route_pool_candidate_or_parent,,70cbaf4a3c791216c195d86e519cfe0b2912064e5c19d224c9b714d532cdadcf,True,PASS,1930.5499913454935,0x1.e2a3330ee67e9p+10,,,
post,seed1_budget100,1,100,35,route_pool,final_independent_certificate,,70cbaf4a3c791216c195d86e519cfe0b2912064e5c19d224c9b714d532cdadcf,True,PASS,1930.5499913454935,0x1.e2a3330ee67e9p+10,,,
post,seed2_budget100,2,100,1,cv_only,hgs_iteration_checkpoint,100,174c5fade0de1d537256dd04ebb05264b917959bff4ebb16cb06308f178c263f,True,PASS,2251.8104964474455,0x1.1979ef963ee9bp+11,,,
post,seed2_budget100,2,100,2,cv_only,terminal_population_archive,,174c5fade0de1d537256dd04ebb05264b917959bff4ebb16cb06308f178c263f,True,PASS,2251.8104964474455,0x1.1979ef963ee9bp+11,,,
post,seed2_budget100,2,100,3,cv_only,terminal_population_archive,,4961456f9491e22b28ba67488492626b63305d32b2a0faab4db3d5b35c402173,True,PASS,2088.3379116608166,0x1.050ad02c1d84ap+11,,,
post,seed2_budget100,2,100,4,cv_only,terminal_population_archive,,6825a3640a5fe1b109e3b1a643735c321fae27e5a132357c8639d257aab8395a,True,PASS,2112.8527805989993,0x1.081b49fa89ebbp+11,,,
post,seed2_budget100,2,100,5,cv_only,terminal_population_archive,,364c88c2f9fccf839a9b1b6febafbed851c52d92a52662caad2923e2fae483b8,True,PASS,2110.3108421456946,0x1.07c9f26b3a3f4p+11,,,
post,seed2_budget100,2,100,6,cv_only,terminal_population_archive,,c4ef36b8f313a3f9382c21f37116ca89933a5b5192c84a074f56ccd321e8699f,True,PASS,2270.561714061173,0x1.1bd1f98fc44e2p+11,,,
post,seed2_budget100,2,100,7,cv_only,terminal_population_archive,,dc34f5f7606a2569edc6fcb804174167feec40e2f359c78d371cfe22365534ea,True,PASS,2260.1436354474786,0x1.1a8498a95daefp+11,,,
post,seed2_budget100,2,100,8,cv_only,terminal_population_archive,,a22f2eb2cd3c4bcf6587964e348a63d0b5e23e1b6c6f4982f5f2c9b2b0173ef6,True,PASS,2267.110554784175,0x1.1b6389aa2fce5p+11,,,
