common_start_sha256,condition,contract_sha256,instance,ownership_sha256,seed,spec_id
d6a67b21a7fa01b2f005fbd481cf06dc1f26509c7bd2a20d2b7b1fee5aabb4d9,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-15c-01,5c07418916a5d06b5a19c0bf477a598895b4da207fb31eaacc2c2d26c5a4142e,2,L-main-threeshift-15c-01__mixed__seed2
d6a67b21a7fa01b2f005fbd481cf06dc1f26509c7bd2a20d2b7b1fee5aabb4d9,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-15c-01,5c07418916a5d06b5a19c0bf477a598895b4da207fb31eaacc2c2d26c5a4142e,3,L-main-threeshift-15c-01__mixed__seed3
c20870a26965b8bc4f9e094533f86dd83f634f4a23159f124b50c01c725ff91c,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-20c-01,682338b8a92b374546814fd252cab06a724d706b49a2d4e463dedcfe35e5ea59,1,L-main-threeshift-20c-01__geographic__seed1
c20870a26965b8bc4f9e094533f86dd83f634f4a23159f124b50c01c725ff91c,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-20c-01,682338b8a92b374546814fd252cab06a724d706b49a2d4e463dedcfe35e5ea59,2,L-main-threeshift-20c-01__geographic__seed2
c20870a26965b8bc4f9e094533f86dd83f634f4a23159f124b50c01c725ff91c,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-20c-01,682338b8a92b374546814fd252cab06a724d706b49a2d4e463dedcfe35e5ea59,3,L-main-threeshift-20c-01__geographic__seed3
c6dba61627448fc1722189a166875b0a83e0e630c8fdb612b19d84f42ecf1118,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-20c-01,f3c0716178ff26c267f521c2ebc2624539d1fd058454e7f218b1127bffc07002,1,L-main-threeshift-20c-01__mixed__seed1
c6dba61627448fc1722189a166875b0a83e0e630c8fdb612b19d84f42ecf1118,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-20c-01,f3c0716178ff26c267f521c2ebc2624539d1fd058454e7f218b1127bffc07002,2,L-main-threeshift-20c-01__mixed__seed2
c6dba61627448fc1722189a166875b0a83e0e630c8fdb612b19d84f42ecf1118,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-20c-01,f3c0716178ff26c267f521c2ebc2624539d1fd058454e7f218b1127bffc07002,3,L-main-threeshift-20c-01__mixed__seed3
8752643a20d153b7e80fc0eadc63836968ca70005a9b69a0f77f1b2f05cf348c,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-25c-01,0e591a32964515bf03077d198c09e47378502a971e083a5215b7cbcf84725033,1,L-main-threeshift-25c-01__geographic__seed1
8752643a20d153b7e80fc0eadc63836968ca70005a9b69a0f77f1b2f05cf348c,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-25c-01,0e591a32964515bf03077d198c09e47378502a971e083a5215b7cbcf84725033,2,L-main-threeshift-25c-01__geographic__seed2
8752643a20d153b7e80fc0eadc63836968ca70005a9b69a0f77f1b2f05cf348c,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-25c-01,0e591a32964515bf03077d198c09e47378502a971e083a5215b7cbcf84725033,3,L-main-threeshift-25c-01__geographic__seed3
3d3e2d4bd18c9887c21581cfa5ac1d7b72b5e5037f140a943e7b533d11c1c5aa,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-25c-01,fd6a1430820f0959fd1f7f5d3652187960fcda116aa3ab7d01fcd5be8701d280,1,L-main-threeshift-25c-01__mixed__seed1
3d3e2d4bd18c9887c21581cfa5ac1d7b72b5e5037f140a943e7b533d11c1c5aa,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-25c-01,fd6a1430820f0959fd1f7f5d3652187960fcda116aa3ab7d01fcd5be8701d280,2,L-main-threeshift-25c-01__mixed__seed2
3d3e2d4bd18c9887c21581cfa5ac1d7b72b5e5037f140a943e7b533d11c1c5aa,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-25c-01,fd6a1430820f0959fd1f7f5d3652187960fcda116aa3ab7d01fcd5be8701d280,3,L-main-threeshift-25c-01__mixed__seed3
63da2beb80fb13d8d2794bb57a46beb8ccef8db84f4ee97629fb001a17baa5ba,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-50c-01,e790d640c56a748775f5991974780b786885d89638b7e244f40d0825b022f883,1,L-main-threeshift-50c-01__geographic__seed1
63da2beb80fb13d8d2794bb57a46beb8ccef8db84f4ee97629fb001a17baa5ba,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-50c-01,e790d640c56a748775f5991974780b786885d89638b7e244f40d0825b022f883,2,L-main-threeshift-50c-01__geographic__seed2
63da2beb80fb13d8d2794bb57a46beb8ccef8db84f4ee97629fb001a17baa5ba,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-50c-01,e790d640c56a748775f5991974780b786885d89638b7e244f40d0825b022f883,3,L-main-threeshift-50c-01__geographic__seed3
4ce30e28816835e58fcd04438a3c7ff3ff217983b694aed209f4a13113d97bd3,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-50c-01,d15449a19f1a46ac21c97ce70fd04ee8d7eef61a1a991d4e34ee722829eb7b02,1,L-main-threeshift-50c-01__mixed__seed1
4ce30e28816835e58fcd04438a3c7ff3ff217983b694aed209f4a13113d97bd3,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-50c-01,d15449a19f1a46ac21c97ce70fd04ee8d7eef61a1a991d4e34ee722829eb7b02,2,L-main-threeshift-50c-01__mixed__seed2
4ce30e28816835e58fcd04438a3c7ff3ff217983b694aed209f4a13113d97bd3,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-50c-01,d15449a19f1a46ac21c97ce70fd04ee8d7eef61a1a991d4e34ee722829eb7b02,3,L-main-threeshift-50c-01__mixed__seed3
b7c06e430c31c95ebe2353616837c25ab592c0164977b0b5f87b3de637080534,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-75c-01,78e60955353d9bbbf746fd3844a4b8efe8ff566b1748fdd74fdae0e6f96d042a,1,L-main-threeshift-75c-01__geographic__seed1
b7c06e430c31c95ebe2353616837c25ab592c0164977b0b5f87b3de637080534,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-75c-01,78e60955353d9bbbf746fd3844a4b8efe8ff566b1748fdd74fdae0e6f96d042a,2,L-main-threeshift-75c-01__geographic__seed2
b7c06e430c31c95ebe2353616837c25ab592c0164977b0b5f87b3de637080534,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-75c-01,78e60955353d9bbbf746fd3844a4b8efe8ff566b1748fdd74fdae0e6f96d042a,3,L-main-threeshift-75c-01__geographic__seed3
2880469d2f7f62de3c537fb37487717b05ef05e5ce45d888217dadb426fa04ba,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-75c-01,85fc0ecea0cf52193c70864683578c54a2f2b66bc39f0bf3dc9fed924c899509,1,L-main-threeshift-75c-01__mixed__seed1
2880469d2f7f62de3c537fb37487717b05ef05e5ce45d888217dadb426fa04ba,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-75c-01,85fc0ecea0cf52193c70864683578c54a2f2b66bc39f0bf3dc9fed924c899509,2,L-main-threeshift-75c-01__mixed__seed2
2880469d2f7f62de3c537fb37487717b05ef05e5ce45d888217dadb426fa04ba,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-75c-01,85fc0ecea0cf52193c70864683578c54a2f2b66bc39f0bf3dc9fed924c899509,3,L-main-threeshift-75c-01__mixed__seed3
fdb18c03aa75277434c69c57ab5a4cf5cc863f3bbb3cb42a157880970cff029c,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-100c-01,224661a81d2e79b34a649b124596af0764894bea836f05327e1ce99dd66d2202,1,L-main-threeshift-100c-01__geographic__seed1
fdb18c03aa75277434c69c57ab5a4cf5cc863f3bbb3cb42a157880970cff029c,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-100c-01,224661a81d2e79b34a649b124596af0764894bea836f05327e1ce99dd66d2202,2,L-main-threeshift-100c-01__geographic__seed2
fdb18c03aa75277434c69c57ab5a4cf5cc863f3bbb3cb42a157880970cff029c,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-100c-01,224661a81d2e79b34a649b124596af0764894bea836f05327e1ce99dd66d2202,3,L-main-threeshift-100c-01__geographic__seed3
c6df4dc07b4521ccd61cbd45e6eaef5e6a75969cfecc438ce960ab753fc1dcf3,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-100c-01,c2028d75bb370121c2616e70ead87c1b7765b278bc6b5b723b07196682177edc,1,L-main-threeshift-100c-01__mixed__seed1
c6df4dc07b4521ccd61cbd45e6eaef5e6a75969cfecc438ce960ab753fc1dcf3,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-100c-01,c2028d75bb370121c2616e70ead87c1b7765b278bc6b5b723b07196682177edc,2,L-main-threeshift-100c-01__mixed__seed2
c6df4dc07b4521ccd61cbd45e6eaef5e6a75969cfecc438ce960ab753fc1dcf3,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-100c-01,c2028d75bb370121c2616e70ead87c1b7765b278bc6b5b723b07196682177edc,3,L-main-threeshift-100c-01__mixed__seed3
a38a4e98db2e47c24ca4bc97f9cf7bff2c52aba83a4f1b5caebb5fcfb8665b0c,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-150c-01,e4ce0243614129af51b1d94139fe673f33aab3aa2a8f02d30e0b35f16dd0b2a5,1,L-main-threeshift-150c-01__geographic__seed1
a38a4e98db2e47c24ca4bc97f9cf7bff2c52aba83a4f1b5caebb5fcfb8665b0c,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-150c-01,e4ce0243614129af51b1d94139fe673f33aab3aa2a8f02d30e0b35f16dd0b2a5,2,L-main-threeshift-150c-01__geographic__seed2
a38a4e98db2e47c24ca4bc97f9cf7bff2c52aba83a4f1b5caebb5fcfb8665b0c,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-150c-01,e4ce0243614129af51b1d94139fe673f33aab3aa2a8f02d30e0b35f16dd0b2a5,3,L-main-threeshift-150c-01__geographic__seed3
ce571afe0c6551f1519dd53dcf3edf3fc7432046954d20daa7c4d178ee049444,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-150c-01,55dccbeaddf6f18ff4d50d774e7839393b7c22361155e0769905e441abfb7543,1,L-main-threeshift-150c-01__mixed__seed1
ce571afe0c6551f1519dd53dcf3edf3fc7432046954d20daa7c4d178ee049444,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-150c-01,55dccbeaddf6f18ff4d50d774e7839393b7c22361155e0769905e441abfb7543,2,L-main-threeshift-150c-01__mixed__seed2
ce571afe0c6551f1519dd53dcf3edf3fc7432046954d20daa7c4d178ee049444,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-150c-01,55dccbeaddf6f18ff4d50d774e7839393b7c22361155e0769905e441abfb7543,3,L-main-threeshift-150c-01__mixed__seed3
2c6c4fc7b8cede70bf52f37533b6f08a23440d7d505c74970c7ead695ada38c9,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-200c-01,724f8b09ee458f161d7c5860ada72c7096c46ecdb9c1560d418494709c201c74,1,L-main-threeshift-200c-01__geographic__seed1
2c6c4fc7b8cede70bf52f37533b6f08a23440d7d505c74970c7ead695ada38c9,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-200c-01,724f8b09ee458f161d7c5860ada72c7096c46ecdb9c1560d418494709c201c74,2,L-main-threeshift-200c-01__geographic__seed2
2c6c4fc7b8cede70bf52f37533b6f08a23440d7d505c74970c7ead695ada38c9,geographic,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-200c-01,724f8b09ee458f161d7c5860ada72c7096c46ecdb9c1560d418494709c201c74,3,L-main-threeshift-200c-01__geographic__seed3
8e05fcc8b85aaf6761750d87c91f6d62ab68e8e2c895a39a5132e5ddf0d1a6c1,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-200c-01,c41bf36015fb401da6ea90e8ea808b2b2fb3d155e6024f8f699928bc562e2ba7,1,L-main-threeshift-200c-01__mixed__seed1
8e05fcc8b85aaf6761750d87c91f6d62ab68e8e2c895a39a5132e5ddf0d1a6c1,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-200c-01,c41bf36015fb401da6ea90e8ea808b2b2fb3d155e6024f8f699928bc562e2ba7,2,L-main-threeshift-200c-01__mixed__seed2
8e05fcc8b85aaf6761750d87c91f6d62ab68e8e2c895a39a5132e5ddf0d1a6c1,mixed,9b6219b381aab870eeefca7f51e15c6cc86797a7e91c124b17c3defced9179e3,L-main-threeshift-200c-01,c41bf36015fb401da6ea90e8ea808b2b2fb3d155e6024f8f699928bc562e2ba7,3,L-main-threeshift-200c-01__mixed__seed3
