task_id,instance_id,region,arm,charge_timing_policy,seed,view,improvement_sequence,iteration,global_iteration,elapsed_seconds,global_elapsed_seconds,objective_before,objective_after,improvement_absolute,improvement_relative,timer_reset,timer_reset_threshold_relative,objective_type
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,1,7,4567,0.06922883300012472,566.3855916240004,9223372036854775807,1734510,9223372036853041297,0.9999999999998119,True,0.01,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,2,22,4582,1.1002602919998026,567.4166230830001,1734510,1703431,31079,0.017918028722809325,True,0.01,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,3,122,4682,6.170980583000073,572.4873433740004,1703431,1699386,4045,0.002374619224377154,False,0.01,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,4,170,4730,8.262523082999905,574.5788858740002,1699386,1673646,25740,0.015146647083122963,True,0.01,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,5,214,4774,10.37908704199981,576.6954498330001,1673646,1667688,5958,0.003559892593774311,False,0.01,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,6,239,4799,11.462706708000042,577.7790694990003,1667688,1646786,20902,0.012533519459275356,True,0.01,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,7,426,4986,21.544557249999798,587.8609200410001,1646786,1633268,13518,0.008208716858171008,False,0.01,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,8,840,5400,47.80984491699974,614.126207708,1633268,1620085,13183,0.008071547351689986,False,0.01,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,9,1072,5632,60.700066417000016,627.0164292080003,1620085,1607265,12820,0.007913165049981945,False,0.01,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,10,1524,6084,85.23055958299983,651.5469223740001,1607265,1602058,5207,0.003239664896578971,False,0.01,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,11,1599,6159,88.48788770800002,654.8042504990003,1602058,1581629,20429,0.012751723096167554,True,0.01,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,12,2655,7215,151.39622150000014,717.7125842910004,1581629,1535120,46509,0.029405758240396453,True,0.01,PyVRP integer proxy objective
