status,error_type,error,count
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C002's time window,162
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C003's time window,187
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C013's time window,100
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C015's time window,109
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C016's time window,107
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C019's time window,22
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C020's time window,137
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C021's time window,13
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C022's time window,13
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C023's time window,11
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C024's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C025's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C026's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C027's time window,13
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C028's time window,7
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C029's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C030's time window,13
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C031's time window,13
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C032's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C033's time window,1
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C034's time window,13
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C035's time window,13
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C036's time window,11
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C037's time window,13
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C038's time window,3
REJECTED_CHARGING,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_dongguan_1#T1 misses C039's time window,1
