episode_index,bundle,seed,policy_version,curriculum_phase,accepted_for_update,block_steps,reward_sum,reward_finite,best_obj,actual_evals,candidate_scores,repair_delta_count,violation_count,feasible,wall_time_seconds,worker_python_executable,worker_python_version,worker_numpy_version,pid,mask_invalid_rate_head_0,mask_invalid_rate_head_1,mask_invalid_rate_head_2,mask_invalid_rate_head_3,mask_invalid_rate_head_4
12,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260633,0,route,1,24,42.69036362207368,1,3637.041851843809,1500,1500,748995,0,1,355.3590000000113,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,19128,0.26785714285714285,0.0,0.13333333333333333,0.0,0.0
15,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260636,0,route,1,24,47.19407620655581,1,3599.4178547892448,1500,1500,838722,0,1,264.2189999999973,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,25592,0.25595238095238093,0.0,0.016666666666666666,0.0,0.0
13,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260634,0,route,1,24,46.09167000795895,1,3614.9728820267455,1500,1500,940956,0,1,347.85899999999674,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,30164,0.25,0.0,0.11666666666666667,0.0,0.0
17,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260638,0,route,1,24,41.7024603961808,1,3705.621367585366,1500,1500,759605,0,1,257.71800000000803,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,40528,0.27380952380952384,0.0,0.08333333333333333,0.0,0.0
14,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260635,0,route,1,24,46.482073680065184,1,3602.3359888117234,1500,1500,1057425,0,1,333.32799999999406,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,4704,0.25,0.0,0.13333333333333333,0.0,0.0
16,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260637,0,route,1,24,42.43389318975598,1,3620.365482109253,1500,1500,1002577,0,1,281.0320000000065,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,41236,0.2916666666666667,0.0,0.11666666666666667,0.0,0.0
18,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260639,1,route,1,24,36.39347969526588,1,3800.932870128131,1500,1500,905878,0,1,298.9689999999973,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,19128,0.2857142857142857,0.0,0.03333333333333333,0.0,0.0
20,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260641,1,route,1,24,44.62203423894053,1,3609.4687401513665,1500,1500,724520,0,1,302.8600000000006,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,30164,0.25595238095238093,0.0,0.1,0.0,0.0
23,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260644,1,route,1,24,46.56408587873225,1,3598.6734295851884,1500,1500,747517,0,1,301.93799999999464,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,41236,0.2619047619047619,0.0,0.06666666666666667,0.0,0.0
22,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260643,1,route,1,24,44.219790909500446,1,3701.549857483563,1500,1500,806869,0,1,339.92200000000594,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,4704,0.27976190476190477,0.0,0.08333333333333333,0.0,0.0
