update_index,policy_version,entropy
0,1,7.273132860660553
1,2,7.252913594245911
2,3,7.255346357822418
3,4,7.248532235622406
4,5,7.217934310436249
5,6,7.2064602971076965
6,7,7.197639346122742
7,8,7.169754803180695
8,9,7.140130579471588
9,10,7.089045286178589
10,11,6.996114909648895
