completed_episodes,elapsed_seconds,num_actors,busy_time_seconds_sum,busy_ratio,idle_ratio,episodes_per_hour,block_steps_per_hour,worker_failure_count
1,196.625,6,192.93700000000536,0.16354058063149426,0.8364594193685058,18.30896376350922,439.41513032422125,0
2,281.67200000000594,6,470.93700000000536,0.2786556704251727,0.7213443295748273,25.56164617001281,613.4795080803075,0
3,305.07799999999406,6,772.4679999999935,0.42200573842318384,0.5779942615768161,35.40078275064151,849.6187860153962,0
4,318.8600000000006,6,1087.6399999999994,0.5685044638190206,0.43149553618097936,45.16088565514638,1083.861255723513,0
5,352.92200000000594,6,1436.9990000000107,0.6786197327832526,0.3213802672167474,51.00277115056499,1224.0665076135597,0
6,414.7189999999973,6,1848.1550000000134,0.7427338350385142,0.2572661649614858,52.08345892037775,1250.003014089066,0
7,557.6879999999946,6,2209.186000000016,0.6602216053898826,0.3397783946101174,45.186555923742745,1084.4773421698258,0
8,646.7660000000033,6,2550.8740000000253,0.657340779612207,0.34265922038779295,44.5292424153401,1068.7018179681625,0
9,672.6100000000006,6,2941.7960000000166,0.7289504071205241,0.27104959287947594,48.170559462392724,1156.0934270974255,0
10,679.5160000000033,6,3268.358000000022,0.8016387153993937,0.1983612846006063,52.97888497106739,1271.4932393056174,0
11,747.5779999999941,6,3697.0460000000166,0.8242274830630931,0.17577251693690688,52.971061213679796,1271.305469128315,0
12,747.9379999999946,6,4030.233000000022,0.898076444839022,0.10192355516097795,57.75879818915513,1386.211156539723,0
13,913.0470000000059,6,4385.592000000033,0.8005414836257069,0.19945851637429313,51.25694515178265,1230.1666836427837,0
14,943.7350000000006,6,4649.811000000031,0.8211717272327557,0.17882827276724433,53.404822328301876,1281.715735879245,0
15,994.625,6,4997.670000000027,0.8374462737212564,0.16255372627874365,54.291818524569564,1303.0036445896694,0
16,1005.6560000000027,6,5255.388000000035,0.8709717835920072,0.12902821640799278,57.27604667997789,1374.6251203194695,0
17,1005.9379999999946,6,5588.716000000029,0.9259543497379327,0.07404565026206733,60.83873956446652,1460.1297495471965,0
18,1028.6100000000006,6,5869.748000000036,0.9510809085400092,0.04891909145999085,62.99763758859039,1511.9433021261693,0
19,1212.0160000000033,6,6168.717000000033,0.8482722175284838,0.1517277824715162,56.43489854919392,1354.437565180654,0
20,1297.4850000000006,6,6471.577000000034,0.8312976001007116,0.16870239989928837,55.49197100544512,1331.807304130683,0
21,1330.5629999999946,6,6773.5150000000285,0.8484522466554955,0.15154775334450454,56.818053711098464,1363.6332890663632,0
22,1345.8600000000006,6,7113.4370000000345,0.8809035362766845,0.1190964637233155,58.84713120235386,1412.3311488564927,0
23,1382.1100000000006,6,7489.875000000029,0.9031933058873782,0.09680669411262177,59.908400923226054,1437.8016221574253,0
24,1423.5160000000033,6,7969.656000000032,0.9330952374262055,0.06690476257379452,60.6947867112135,1456.674881069124,0
25,1476.5310000000027,6,8148.702000000034,0.919802564253648,0.08019743574635196,60.95368129758186,1462.8883511419647,0
26,1627.125,6,8563.81100000003,0.8771924918696096,0.12280750813039043,57.52477529384651,1380.5946070523162,0
27,1640.1410000000033,6,8854.796000000031,0.8998002813985722,0.10019971860142785,59.26319749338612,1422.316739841267,0
28,1715.922000000006,6,9188.608000000037,0.8924850119449879,0.10751498805501214,58.74392891984581,1409.8542940762993,0
29,1752.4060000000027,6,9517.483000000037,0.9051824558159869,0.09481754418401311,59.5752354191893,1429.8056500605433,0
30,1765.672000000006,6,9804.405000000028,0.9254649221372935,0.07453507786270652,61.166513372811956,1467.996320947487,0
31,1829.0310000000027,6,10300.358000000037,0.9385988172607993,0.0614011827392007,61.0159149844917,1464.3819596278008,0
32,1902.202999999994,6,10575.405000000028,0.9265927453589392,0.07340725464106079,60.56135964458071,1453.4726314699371,0
33,1909.125,6,10844.374000000025,0.9467141578821036,0.05328584211789644,62.227460223924574,1493.4590453741898,0
34,2014.547000000006,6,11139.81200000002,0.9216143050191091,0.07838569498089087,60.758076133244664,1458.193827197872,0
35,2046.5939999999973,6,11434.000000000015,0.9311405518958189,0.0688594481041811,61.565703798604005,1477.5768911664961,0
36,2163.5939999999973,6,11831.922000000006,0.9114404088752341,0.08855959112476586,59.900332502308736,1437.6079800554096,0
37,2221.0310000000027,6,12223.922000000006,0.9172858610858344,0.08271413891416557,59.97214806997284,1439.3315536793482,0
38,2274.6410000000033,6,12595.032000000007,0.9228585961476989,0.07714140385230106,60.14135857042927,1443.3926056903024,0
39,2289.7350000000006,6,12975.642000000007,0.9444791646194868,0.05552083538051322,61.31713931961557,1471.6113436707737,0
40,2485.625,6,13414.67300000001,0.8994835638253297,0.10051643617467032,57.933115413628364,1390.3947699270807,0
41,2487.2350000000006,6,13627.267000000007,0.9131469952242821,0.08685300477571789,59.343005385498344,1424.2321292519603,0
42,2487.797000000006,6,14100.501000000018,0.9446443982366718,0.05535560176332821,60.77666304766813,1458.6399131440353,0
43,2606.0,6,14416.751000000018,0.9220229598362765,0.07797704016372353,59.40138142747506,1425.6331542594014,0
44,2617.7660000000033,6,14870.907000000021,0.9467937546747878,0.05320624532521223,60.50961010265998,1452.2306424638396,0
45,2644.125,6,15294.001000000018,0.9640240785389003,0.035975921461099736,61.267905261665014,1470.4297262799603,0
46,2785.172000000006,6,15593.392000000022,0.9331196301939934,0.06688036980600665,59.45772828392632,1426.9854788142318,0
