case,status,evaluations,wall_seconds,strict_violation_count,initial_cost,best_cost,improvement_percent
solo_business,PASS,4000,89.59514095701161,0,12366.278027424274,11701.45893937378,5.376064540811287
shared_business,PASS,4000,357.7899174170161,0,12366.278027424274,11809.57462957321,4.501786201284508
