arm,stream_seed,stages,evaluations_per_stage,total_evaluations,final_total_cost,final_total_emissions,final_cross_site_customer_count,customer_accounting_pass,event_path,event_sha256,owner_path,owner_sha256,initial_solution_path,initial_solution_sha256,initial_certificate_path,initial_certificate_sha256,trigger_mode
cooperative,1,7,400,2800,10703.342895104379,3145.1829169143643,15,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed1.events.json,ae08f81e5b8efd93b6c2d95abc405623ae355926c4c23fd31681c0fa8824d6a9,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed1.owners.csv,66a6b7211192e69725d6fa76a3c747e8a855744570f9389229ca24fa804eebe1,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__no_loss.json,eff30569aea5953b8b9b52707e6f15bb7c1f44f3b17f3bea7bda334e389e62af,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__no_loss.json,7127dada4e9942a303155429fb42f83cc6c6952a344d4c8a5d9c4727f5e919d0,batched
independent,1,7,400,2800,9734.42758161624,2606.197708746621,0,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed1.events.json,ae08f81e5b8efd93b6c2d95abc405623ae355926c4c23fd31681c0fa8824d6a9,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed1.owners.csv,66a6b7211192e69725d6fa76a3c747e8a855744570f9389229ca24fa804eebe1,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,batched
cooperative,2,8,400,3200,10146.529363801224,3340.2682643745566,9,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed2.events.json,53c96b92df0f7a6d06c8b8a0450b6e6fdc5e692b57a5a852e929b675d62b8c67,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed2.owners.csv,d50c8b3a67d9be1ea298b16ba15bb627afd6592dc2ded9942e73421e0a393451,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__no_loss.json,eff30569aea5953b8b9b52707e6f15bb7c1f44f3b17f3bea7bda334e389e62af,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__no_loss.json,7127dada4e9942a303155429fb42f83cc6c6952a344d4c8a5d9c4727f5e919d0,batched
independent,2,8,400,3200,9113.858811061596,2496.5458785803403,0,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed2.events.json,53c96b92df0f7a6d06c8b8a0450b6e6fdc5e692b57a5a852e929b675d62b8c67,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed2.owners.csv,d50c8b3a67d9be1ea298b16ba15bb627afd6592dc2ded9942e73421e0a393451,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,batched
cooperative,3,7,400,2800,8980.924301366169,3011.4767704729134,12,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed3.events.json,4b12a0ecbe422562a58e6df0bf5111022035e107e2682d24103118a4dace9980,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed3.owners.csv,1e54dc314b43747ea01e8c40d71be58a02c6a5cc286eabdfaaa73b4e67b27855,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__no_loss.json,eff30569aea5953b8b9b52707e6f15bb7c1f44f3b17f3bea7bda334e389e62af,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__no_loss.json,7127dada4e9942a303155429fb42f83cc6c6952a344d4c8a5d9c4727f5e919d0,batched
independent,3,7,400,2800,9654.31630255165,2636.7023870246267,0,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed3.events.json,4b12a0ecbe422562a58e6df0bf5111022035e107e2682d24103118a4dace9980,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed3.owners.csv,1e54dc314b43747ea01e8c40d71be58a02c6a5cc286eabdfaaa73b4e67b27855,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,batched
cooperative,4,7,400,2800,8511.833844389483,2969.5325863921057,1,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed4.events.json,b1ea854fe37d07411de97bea8e32a8c16d0828eae33e2d9a44a2cfafdf3c0350,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed4.owners.csv,e8069e607643fdb52869f37bd90881a3ce5a73de67cb87495b8e067502ecd13a,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__no_loss.json,eff30569aea5953b8b9b52707e6f15bb7c1f44f3b17f3bea7bda334e389e62af,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__no_loss.json,7127dada4e9942a303155429fb42f83cc6c6952a344d4c8a5d9c4727f5e919d0,batched
independent,4,7,400,2800,9011.562382821076,2704.87106435712,0,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed4.events.json,b1ea854fe37d07411de97bea8e32a8c16d0828eae33e2d9a44a2cfafdf3c0350,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed4.owners.csv,e8069e607643fdb52869f37bd90881a3ce5a73de67cb87495b8e067502ecd13a,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,batched
cooperative,5,7,400,2800,10593.990064813239,3346.1315487643856,9,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed5.events.json,cfb5da999e4c52edc18282174d0479643d5a56900c7215681fa8bcd736922303,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed5.owners.csv,9d1b1aeee60c71c7fcfb127820e91be9cc0094a8a7ce0894689c869eeeb4f5f4,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__no_loss.json,eff30569aea5953b8b9b52707e6f15bb7c1f44f3b17f3bea7bda334e389e62af,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__no_loss.json,7127dada4e9942a303155429fb42f83cc6c6952a344d4c8a5d9c4727f5e919d0,batched
independent,5,7,400,2800,8892.280299710848,2634.9212535689576,0,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed5.events.json,cfb5da999e4c52edc18282174d0479643d5a56900c7215681fa8bcd736922303,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed5.owners.csv,9d1b1aeee60c71c7fcfb127820e91be9cc0094a8a7ce0894689c869eeeb4f5f4,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,batched
