arm,stream_seed,stage,trigger_second,trigger_reason,event_ids,event_types,applied_event_ids,ignored_locked_event_ids,event_count,next_trigger_second,available_compute_seconds,committed_route_count,future_route_count,future_cost,running_total_cost,cross_site_customer_count,initial_continuation_feasible,initial_type_trial_count,changed_candidate_count,search_exact_check_count,executable_candidate_count,accepted_candidate_count,evaluations,elapsed_seconds,completed_before_next_trigger,customer_accounting_pass
cooperative,1,1,10800.0,delta_t,1;2;3;4;5;6;7,cancel;add;add;demand_change;demand_change;add;demand_change,1;2;3;4;5;6;7,,7,17463.155806373295,6663.1558063732955,9,26,4590.539044823395,6309.636834938572,6,True,1,386,386,5,3,400,11.702679458016064,True,True
cooperative,1,2,17463.155806373295,q_bar,8;9;10;11;12;13;14;15,cancel;demand_change;demand_change;add;cancel;add;add;add,8;9;10;11;12;13;14;15,,8,21927.621863159293,4464.466056785997,16,35,6370.562160955028,9201.895383783058,42,False,0,400,400,1,1,400,34.48872795898933,True,True
cooperative,1,3,21927.621863159293,q_bar,16;17;18;19;20;21;22;23,add;add;demand_change;demand_change;demand_change;cancel;demand_change;cancel,16;17;18;19;20;21;22;23,,8,25060.40779036161,3132.785927202316,27,26,5101.121916889724,9357.462957080104,39,True,1,389,389,3,3,400,18.554821709054522,True,True
cooperative,1,4,25060.40779036161,q_bar,24;25;26;27;28;29;30;31,add;add;demand_change;demand_change;demand_change;cancel;demand_change;demand_change,24;25;26;27;28;29;30;31,,8,30950.772652074673,5890.364861713064,27,28,5275.074759083997,9621.085365252737,38,True,1,394,394,3,3,400,12.954831833019853,True,True
cooperative,1,5,30950.772652074673,q_bar,32;33;34;35;36;37;38;39,add;demand_change;add;add;demand_change;add;cancel;demand_change,32;33;34;35;36;37;38;39,,8,35060.1556284928,4109.382976418128,27,31,5673.08411280658,10019.09471897532,37,True,1,390,390,2,2,400,11.462516083032824,True,True
cooperative,1,6,35060.1556284928,q_bar,40;41;42;43;44;45;46;47,add;demand_change;add;add;cancel;demand_change;cancel;cancel,40;41;42;43;45;46;47,44,8,40386.33844900012,5326.182820507318,32,28,4451.49366798583,10398.303793654864,21,True,1,383,383,1,1,400,7.159826832998078,True,True
cooperative,1,7,40386.33844900012,q_bar,48;49;50;51;52;53;54;55,cancel;add;add;add;demand_change;demand_change;demand_change;add,49;50;51;52;53;54;55,48,8,,,35,27,4021.333101854123,10703.342895104379,15,True,1,384,384,1,1,400,7.631275457970332,,True
independent,1,1,10800.0,delta_t,1;2;3;4;5;6;7,cancel;add;add;demand_change;demand_change;add;demand_change,1;2;3;4;5;6;7,,7,17463.155806373295,6663.1558063732955,9,27,4896.986981885955,6463.869646758878,0,True,1,400,400,3,3,400,9.816608082968742,True,True
independent,1,2,17463.155806373295,q_bar,8;9;10;11;12;13;14;15,cancel;demand_change;demand_change;add;cancel;add;add;add,8;9;10;11;12;13;14;15,,8,21927.621863159293,4464.466056785997,17,33,5418.200296890512,8382.466572080895,0,False,0,400,400,1,1,400,16.548181167047005,True,True
independent,1,3,21927.621863159293,q_bar,16;17;18;19;20;21;22;23,add;add;demand_change;demand_change;demand_change;cancel;demand_change;cancel,16;17;18;19;20;21;22;23,,8,25060.40779036161,3132.785927202316,27,24,4316.725760424883,8549.279988310616,0,True,1,400,400,5,5,400,18.321787249995396,True,True
independent,1,4,25060.40779036161,q_bar,24;25;26;27;28;29;30;31,add;add;demand_change;demand_change;demand_change;cancel;demand_change;demand_change,24;25;26;27;28;29;30;31,,8,30950.772652074673,5890.364861713064,27,25,4357.104082966857,8635.975880683822,0,True,1,400,400,4,3,400,12.257476457976736,True,True
independent,1,5,30950.772652074673,q_bar,32;33;34;35;36;37;38;39,add;demand_change;add;add;demand_change;add;cancel;demand_change,32;33;34;35;36;37;38,39,8,35060.1556284928,4109.382976418128,28,26,4236.339964004557,8899.390854426701,0,True,1,400,400,2,2,400,8.406196500000078,True,True
independent,1,6,35060.1556284928,q_bar,40;41;42;43;44;45;46;47,add;demand_change;add;add;cancel;demand_change;cancel;cancel,40;41;42;43;44;45;46;47,,8,40386.33844900012,5326.182820507318,31,25,3864.982167479617,9312.967070136307,0,True,1,400,400,2,2,400,6.374498542048968,True,True
independent,1,7,40386.33844900012,q_bar,48;49;50;51;52;53;54;55,cancel;add;add;add;demand_change;demand_change;demand_change;add,49;50;51;52;53;54;55,48,8,,,37,21,3092.823288274906,9734.42758161624,0,True,1,400,400,2,2,400,4.181138249987271,,True
cooperative,2,1,10800.0,delta_t,1;2;3;4,add;cancel;add;add,1;2;3;4,,4,16413.339881896383,5613.339881896383,9,41,7934.143963241483,9653.24175335666,58,False,0,400,400,5,3,400,352.0636461249669,True,True
cooperative,2,2,16413.339881896383,q_bar,5;6;7;8;9;10;11;12,add;add;demand_change;cancel;cancel;cancel;add;demand_change,5;6;8;9;10;11;12,7,8,21524.783944731207,5111.444062834824,24,26,5630.566649628861,9667.579148426921,54,True,1,392,392,8,5,400,826.8231223340263,True,True
cooperative,2,3,21524.783944731207,q_bar,13;14;15;16;17;18;19;20,demand_change;add;demand_change;cancel;demand_change;add;add;cancel,13;14;16;17;18;19;20,15,8,26123.535517641798,4598.751572910591,27,23,5010.678535820628,9697.176260598433,50,True,1,392,392,7,6,400,11.066094416019041,True,True
cooperative,2,4,26123.535517641798,q_bar,21;22;23;24;25;26;27;28,demand_change;demand_change;demand_change;add;demand_change;add;add;add,21;22;23;24;25;26;27;28,,8,30876.3878144286,4752.852296786801,28,26,5376.838828159708,10272.570134227772,51,True,1,391,391,2,2,400,10.116779332980514,True,True
cooperative,2,5,30876.3878144286,q_bar,29;30;31;32;33;34;35;36,demand_change;add;demand_change;add;demand_change;cancel;demand_change;demand_change,29;30;31;32;33;34;35;36,,8,34226.18325966165,3349.7954452330523,30,24,4687.84174980446,10323.30153344798,44,True,1,387,387,2,2,400,8.670079583011102,True,True
cooperative,2,6,34226.18325966165,q_bar,37;38;39;40;41;42;43;44,cancel;cancel;cancel;demand_change;demand_change;add;demand_change;add,38;39;41;42;43;44,37;40,8,38730.3925369908,4504.2092773291515,37,17,2907.7360082492546,10319.009793550431,32,True,1,388,388,3,3,400,4.195284624991473,True,True
cooperative,2,7,38730.3925369908,q_bar,45;46;47;48;49;50;51;52,demand_change;add;add;demand_change;demand_change;add;cancel;demand_change,46;47;49;50;51;52,45;48,8,49530.3925369908,10800.0,37,20,3195.476173311806,10606.749958612982,25,False,0,400,400,2,2,400,12.320859708997887,True,True
cooperative,2,8,49530.3925369908,delta_t,53;54;55,add;add;demand_change,53;54,55,3,,,50,3,614.130821788728,10146.529363801224,9,True,1,283,283,63,32,400,1.0693898330209777,,True
independent,2,1,10800.0,delta_t,1;2;3;4,add;cancel;add;add,1;2;3;4,,4,16413.339881896383,5613.339881896383,9,25,4509.033084429339,6075.915749302262,0,True,4,400,400,8,7,400,10.51628833299037,True,True
independent,2,2,16413.339881896383,q_bar,5;6;7;8;9;10;11;12,add;add;demand_change;cancel;cancel;cancel;add;demand_change,5;6;7;8;9;10;11;12,,8,21524.783944731207,5111.444062834824,15,35,5741.446532408793,8473.39187476471,0,False,0,400,400,2,2,400,15.579174167010933,True,True
independent,2,3,21524.783944731207,q_bar,13;14;15;16;17;18;19;20,demand_change;add;demand_change;cancel;demand_change;add;add;cancel,13;14;16;17;18;19;20,15,8,26123.535517641798,4598.751572910591,26,24,4286.613425723168,8506.28121133651,0,True,1,400,400,5,5,400,9.458268708956894,True,True
independent,2,4,26123.535517641798,q_bar,21;22;23;24;25;26;27;28,demand_change;demand_change;demand_change;add;demand_change;add;add;add,21;22;23;24;25;26;27;28,,8,30876.3878144286,4752.852296786801,26,27,4709.951480381063,8983.326101010425,0,True,1,400,400,1,1,400,11.127094416995533,True,True
independent,2,5,30876.3878144286,q_bar,29;30;31;32;33;34;35;36,demand_change;add;demand_change;add;demand_change;cancel;demand_change;demand_change,29;30;31;32;33;34;35,36,8,34226.18325966165,3349.7954452330523,27,25,4274.940186377288,8908.363915451977,0,True,1,400,400,6,4,400,9.238720958004706,True,True
independent,2,6,34226.18325966165,q_bar,37;38;39;40;41;42;43;44,cancel;cancel;cancel;demand_change;demand_change;add;demand_change;add,37;38;39;40;41;42;43;44,,8,38730.3925369908,4504.2092773291515,29,23,3917.7934064082183,8973.056452744098,0,True,1,400,400,10,8,400,6.009896332980134,True,True
independent,2,7,38730.3925369908,q_bar,45;46;47;48;49;50;51;52,demand_change;add;add;demand_change;demand_change;add;cancel;demand_change,46;47;49;50;51;52,45;48,8,49530.3925369908,10800.0,35,18,2774.964395271275,9086.869362280264,0,True,1,400,400,6,5,400,4.582323333015665,True,True
independent,2,8,49530.3925369908,delta_t,53;54;55,add;add;demand_change,53;54;55,,3,,,45,8,1244.948780555931,9113.858811061596,0,True,1,400,400,6,5,400,1.5069755000295117,,True
cooperative,3,1,6783.501790449836,q_bar,1;2;3;4;5;6;7;8,cancel;cancel;add;add;demand_change;add;cancel;cancel,1;2;3;4;5;6;7;8,,8,13034.180242789367,6250.678452339531,8,26,4594.966968406649,6029.752021675052,5,True,5,395,395,6,6,400,94.56190958397929,True,True
cooperative,3,2,13034.180242789367,q_bar,9;10;11;12;13;14;15;16,add;add;cancel;add;add;add;demand_change;demand_change,9;10;12;13;14;15;16,11,8,18302.8711963682,5268.690953578833,12,40,7927.848597631715,10105.523209035036,56,False,0,400,400,1,1,400,63.02554695797153,True,True
cooperative,3,3,18302.8711963682,q_bar,17;18;19;20;21;22;23;24,demand_change;cancel;cancel;add;add;add;add;add,17;19;20;21;22;23;24,18,8,23577.104027342783,5274.232830974583,26,27,5023.787946383114,9495.496512384136,36,False,0,400,400,2,1,400,158.5454256249941,True,True
cooperative,3,4,23577.104027342783,q_bar,25;26;27;28;29;30;31;32,demand_change;demand_change;demand_change;demand_change;cancel;demand_change;add;demand_change,25;26;27;28;29;30;31;32,,8,27646.274954442226,4069.1709270994434,30,21,4369.255810782194,9258.83568776077,35,True,1,391,391,4,4,400,17.86696708301315,True,True
cooperative,3,5,27646.274954442226,q_bar,33;34;35;36;37;38;39;40,add;cancel;demand_change;demand_change;demand_change;demand_change;add;add,33;34;35;36;37;38;39;40,,8,35411.17055791541,7764.895603473182,30,21,4415.2239548138305,9322.075756102811,36,True,1,392,392,2,1,400,12.562480041990057,True,True
cooperative,3,6,35411.17055791541,q_bar,41;42;43;44;45;46;47;48,demand_change;add;demand_change;add;demand_change;add;demand_change;demand_change,41;42;43;44;45;46;48,47,8,46211.17055791541,10800.0,41,11,2106.388713712319,9558.188134841366,22,True,7,384,384,3,3,400,4.317225667007733,True,True
cooperative,3,7,46211.17055791541,delta_t,49;50;51;52;53;54;55,cancel;demand_change;cancel;add;demand_change;demand_change;add,49;50;51;52;54;55,53,7,,,45,3,735.0255162739979,8980.924301366169,12,True,1,295,295,55,20,400,1.322276916995179,,True
independent,3,1,6783.501790449836,q_bar,1;2;3;4;5;6;7;8,cancel;cancel;add;add;demand_change;add;cancel;cancel,1;2;3;4;5;6;7;8,,8,13034.180242789367,6250.678452339531,9,40,7232.655313591835,8791.200814041304,0,False,0,400,400,2,1,400,347.0782652919879,True,True
independent,3,2,13034.180242789367,q_bar,9;10;11;12;13;14;15;16,add;add;cancel;add;add;add;demand_change;demand_change,9;10;12;13;14;15;16,11,8,18302.8711963682,5268.690953578833,23,29,5167.112497221627,9146.783617288038,0,True,1,400,400,6,4,400,1181.9127523750067,True,True
independent,3,3,18302.8711963682,q_bar,17;18;19;20;21;22;23;24,demand_change;cancel;cancel;add;add;add;add;add,17;19;20;21;22;23;24,18,8,23577.104027342783,5274.232830974583,23,29,5129.836377487197,9222.392408969987,0,True,1,400,400,3,3,400,3989.2058290410205,True,True
independent,3,4,23577.104027342783,q_bar,25;26;27;28;29;30;31;32,demand_change;demand_change;demand_change;demand_change;cancel;demand_change;add;demand_change,25;26;27;28;29;30;31;32,,8,27646.274954442226,4069.1709270994434,26,27,4801.722701930058,9350.344921652382,0,True,1,400,400,3,2,400,25.199734916968737,True,True
independent,3,5,27646.274954442226,q_bar,33;34;35;36;37;38;39;40,add;cancel;demand_change;demand_change;demand_change;demand_change;add;add,33;34;35;36;37;38;39;40,,8,35411.17055791541,7764.895603473182,27,26,4683.381315530403,9430.856702900415,0,True,1,400,400,2,1,400,11.80810637504328,True,True
independent,3,6,35411.17055791541,q_bar,41;42;43;44;45;46;47;48,demand_change;add;demand_change;add;demand_change;add;demand_change;demand_change,41;42;43;44;45;46;47;48,,8,46211.17055791541,10800.0,38,16,2475.7673770653896,9591.101470803878,0,True,1,400,400,5,4,400,4.319679584004916,True,True
independent,3,7,46211.17055791541,delta_t,49;50;51;52;53;54;55,cancel;demand_change;cancel;add;demand_change;demand_change;add,49;50;51;52;54;55,53,7,,,45,9,1282.4280626341329,9654.31630255165,0,True,1,400,400,6,4,400,1.3646791669889353,,True
cooperative,4,1,6086.080577350378,q_bar,1;2;3;4;5;6;7;8,demand_change;demand_change;cancel;demand_change;cancel;add;demand_change;add,1;2;3;4;5;6;7;8,,8,11390.779562808671,5304.6989854582935,8,26,4655.231221179258,6090.01627444766,6,True,1,391,391,3,3,400,12.64974683301989,True,True
cooperative,4,2,11390.779562808671,q_bar,9;10;11;12;13;14;15;16,demand_change;demand_change;cancel;demand_change;demand_change;demand_change;demand_change;add,9;10;11;12;13;14;15;16,,8,15041.225071264369,3650.4455084556976,9,39,7928.5551592525535,9655.561265788103,80,False,0,400,400,1,1,400,68.160039957962,True,True
cooperative,4,3,15041.225071264369,q_bar,17;18;19;20;21;22;23;24,add;add;add;demand_change;cancel;cancel;demand_change;demand_change,17;18;19;20;21;22;23;24,,8,20006.649084376437,4965.424013112068,22,26,4909.953669219699,8896.951439082926,50,False,0,400,400,2,1,400,1180.9749662500108,True,True
cooperative,4,4,20006.649084376437,q_bar,25;26;27;28;29;30;31;32,demand_change;cancel;cancel;add;demand_change;add;cancel;demand_change,25;26;27;28;29;30;31;32,,8,26758.01449203482,6751.365407658384,26,22,4432.937802199491,8858.16083337435,48,True,1,391,391,37,6,400,162.2345300000161,True,True
cooperative,4,5,26758.01449203482,q_bar,33;34;35;36;37;38;39;40,add;add;demand_change;add;add;cancel;demand_change;demand_change,33;34;35;36;37;38;39;40,,8,36993.67205186767,10235.657559832845,26,22,4463.017821890441,8953.88652492602,47,True,1,387,387,3,3,400,11.190487125015352,True,True
cooperative,4,6,36993.67205186767,q_bar,41;42;43;44;45;46;47;48,add;add;add;demand_change;demand_change;add;add;add,41;42;43;44;45;46;47;48,,8,47793.67205186767,10800.0,38,7,1360.2896382496704,8486.441169301817,10,True,1,294,294,66,39,400,3.0809759169933386,True,True
cooperative,4,7,47793.67205186767,delta_t,49;50;51;52;53;54;55,add;cancel;cancel;demand_change;add;add;add,49;50;51;52;53;54;55,,7,,,41,4,776.6437366785033,8511.833844389483,1,True,1,273,273,42,23,400,1.2440272500389256,,True
independent,4,1,6086.080577350378,q_bar,1;2;3;4;5;6;7;8,demand_change;demand_change;cancel;demand_change;cancel;add;demand_change;add,1;2;3;4;5;6;7;8,,8,11390.779562808671,5304.6989854582935,9,27,4824.601290866854,6383.1467913163215,0,True,2,400,400,7,6,400,25.860962999984622,True,True
independent,4,2,11390.779562808671,q_bar,9;10;11;12;13;14;15;16,demand_change;demand_change;cancel;demand_change;demand_change;demand_change;demand_change;add,9;10;11;12;13;14;15;16,,8,15041.225071264369,3650.4455084556976,11,38,6588.274781964627,8575.918018653649,0,False,0,400,400,1,1,400,37.117486333998386,True,True
independent,4,3,15041.225071264369,q_bar,17;18;19;20;21;22;23;24,add;add;add;demand_change;cancel;cancel;demand_change;demand_change,17;18;19;20;22;23;24,21,8,20006.649084376437,4965.424013112068,23,27,4783.4967426466055,8769.336104362368,0,True,1,400,400,1,1,400,12.081134959007613,True,True
independent,4,4,20006.649084376437,q_bar,25;26;27;28;29;30;31;32,demand_change;cancel;cancel;add;demand_change;add;cancel;demand_change,25;26;27;28;29;30;31;32,,8,26758.01449203482,6751.365407658384,26,24,4381.413434448784,8811.055329557521,0,True,1,400,400,4,4,400,46.264638749998994,True,True
