update_index,episode_index,approx_kl,clip_fraction,entropy,policy_loss,value_loss
0,11,0.014103823944049724,0.20075061270857558,29.804258290459128,-0.0001970375408692395,10.846379104782553
1,23,0.012033639229176676,0.08333333335159455,30.08368719325346,0.0032548284541596383,10.65975933565813
2,35,0.012884592527852338,0.10677083326941904,36.77879583134371,0.002741150777129566,9.60629658839282
3,47,0.015390581013086964,0.14391850493848324,30.79761771594777,0.0012140569879728206,11.093486414236182
4,59,0.01148544354178097,0.10033700987696648,30.95394858191995,0.001628859995809548,10.335004957283244
5,71,0.013292016351924223,0.12400428917916383,37.93689761442297,-0.000804141821230159,8.080695857019986
6,83,0.011931891744846808,0.09030330882352941,31.189766126520492,0.001764234045849127,7.451858068213744
7,95,0.01750308949062053,0.13319546564975204,31.06394734102137,0.0003757780308232588,8.780111174373065
8,107,0.010661325755577041,0.05744485299596015,38.084551755119776,0.001569583162884502,10.102657759890837
9,119,0.01210432083291166,0.09505208340637825,31.121020485373105,0.0001871596391805831,6.57538661886664
10,131,0.008717370965956327,0.04863664217512397,31.26828493791468,0.0010480959351886721,5.63328758057426
11,143,0.013431228916434682,0.10363051470588236,38.383310205796185,-0.0014262806045521488,7.620711805189357
12,155,0.01231551927733509,0.08463541667579728,30.80460464253145,-0.002662130672594204,7.71023827791214
13,167,0.01169157781473854,0.06671262258554206,31.07050365560195,0.0009752362692619071,6.052351576440475
14,179,0.011899309927898952,0.10117953440503162,38.43415552027085,-0.005634515518870424,6.7295224631533905
15,191,0.011587962056236231,0.06089154406286338,31.773400531095618,0.002328840796561802,5.710824377396527
16,203,0.008492467959192307,0.032781862790751105,32.11634178722606,6.93075468435007e-05,5.562529667335398
17,215,0.01098795366980245,0.07935049012303352,38.69842826618868,-0.002310331116485245,5.969901677440195
18,227,0.010411653968998614,0.06418504894656293,31.430501909816968,-0.0015324238030349508,3.9032196875880745
19,239,0.011686477015781052,0.05514705882352941,32.67988920211792,-0.0033816856414298803,6.078672160120571
