algorithm,bundle,scale,seed,eval_budget,best_obj,current_obj,actual_evals,candidate_scores,repair_delta_count,violation_count,feasible,wall_time_seconds,steps,reward_sum,worker_python_executable,worker_numpy_version,worker_integrity_ok
learned_destroy,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,25c,1,180,602.0475419899342,602.0475419899342,180,180,36430,0,True,7.282000000006519,180,26.02788762298471,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,25c,2,180,489.4663717664625,492.2631031697051,180,180,32937,0,True,7.545999999972992,180,48.31538242087639,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,25c,3,180,476.6538579805703,476.6538579805703,180,180,31150,0,True,7.313000000081956,180,36.82545131755057,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,25c,4,180,575.6593631109595,575.8089941107597,180,180,43168,0,True,13.186999999918044,180,41.534970883896634,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,25c,5,180,515.8164671101473,517.5372322444088,180,180,41793,0,True,10.35999999998603,180,40.91470298724662,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,25c,6,180,523.5412056091019,523.5412056091019,180,180,30962,0,True,6.984000000054948,180,49.82441970946012,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,50c,7,180,898.6733010315143,898.7743399561025,180,180,144210,0,True,27.23499999998603,180,59.826365487520675,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_02__curric_d2_s3_seed2_24h,50c,8,180,1148.507963364347,1151.3282167988834,180,180,139106,0,True,25.34299999999348,180,44.63999822651347,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_03__curric_d2_s3_seed3_24h,50c,9,180,1114.782454670252,1129.8211114626683,180,180,142120,0,True,26.5,180,37.21565523469369,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,25c,10,180,599.2571639462344,602.9726367906657,180,180,43561,0,True,7.891000000061467,180,26.548380017419845,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,25c,11,180,506.1704939271832,506.1704939271832,180,180,31335,0,True,6.75,180,43.95451309948776,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,25c,12,180,471.31405959013097,471.31405959013097,180,180,34326,0,True,7.233999999938533,180,38.717645422921024,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,25c,13,180,597.8010433142974,597.8010433142974,180,180,38715,0,True,10.656000000075437,180,34.32758490993817,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,25c,14,180,538.5967063381801,539.6242748400867,180,180,45530,0,True,8.405999999959022,180,33.246275799351515,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,25c,15,180,503.76653978671794,503.76653978671794,180,180,38710,0,True,7.672000000020489,180,54.48600018302885,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,50c,16,180,891.3885053862033,891.3885053862033,180,180,143282,0,True,26.95299999997951,180,61.526913116272056,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_02__curric_d2_s3_seed2_24h,50c,17,180,1125.7328662215705,1151.6568518663598,180,180,139680,0,True,29.90700000000652,180,45.81185447293495,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_03__curric_d2_s3_seed3_24h,50c,18,180,1041.3703667619216,1047.6004686238775,180,180,137109,0,True,25.43700000003446,180,45.21541936556045,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,25c,19,180,600.6276595972234,600.9116125466647,180,180,44084,0,True,8.030999999959022,180,27.09462019407873,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,25c,20,180,491.8020447299691,496.43132790031626,180,180,33042,0,True,6.73499999998603,180,47.382014054124426,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,25c,21,180,471.53933335579967,472.12611103280034,180,180,32714,0,True,6.717999999993481,180,37.208701109216605,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,25c,22,180,575.8089941107597,575.9163685785285,180,180,41651,0,True,11.375,180,41.6722631194575,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,25c,23,180,521.3877484226817,524.735509294434,180,180,41407,0,True,9.219000000040978,180,36.74790293240373,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,25c,24,180,537.5255753317649,537.5255753317649,180,180,32449,0,True,6.797000000020489,180,45.527661591602325,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,50c,25,180,932.7256974538669,932.7256974538669,180,180,142928,0,True,26.67099999997299,180,54.69074781798493,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_02__curric_d2_s3_seed2_24h,50c,26,180,1147.74178664105,1159.008000200293,180,180,151308,0,True,26.844000000040978,180,42.374428068959595,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_03__curric_d2_s3_seed3_24h,50c,27,180,1000.8085854282119,1003.0487081331527,180,180,119007,0,True,27.73499999998603,180,51.15545486402112,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,25c,28,180,574.3210298317861,579.0744889505868,180,180,33074,0,True,10.14000000001397,180,34.44496558522465,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,25c,29,180,518.9630697228594,521.609199287479,180,180,36397,0,True,7.594000000040978,180,41.11469975757375,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,25c,30,180,471.53933335579967,472.12611103280034,180,180,38509,0,True,7.780999999959022,180,36.9590952823463,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,25c,31,180,597.1432059537052,597.2421416251854,180,180,47507,0,True,8.60999999998603,180,36.11232825551133,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,25c,32,180,521.6719406242539,523.0936883712643,180,180,40554,0,True,11.170999999972992,180,36.240403399271344,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,25c,33,180,537.5255753317649,537.5255753317649,180,180,46476,0,True,8.688000000081956,180,46.25630409891341,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,50c,34,180,895.5387031777286,897.1078797631553,180,180,129465,0,True,25.233999999938533,180,58.18626913645204,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_02__curric_d2_s3_seed2_24h,50c,35,180,1147.7337443127335,1167.819932541828,180,180,133494,0,True,24.25,180,41.97372475989796,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_03__curric_d2_s3_seed3_24h,50c,36,180,1072.540989783138,1072.540989783138,180,180,124392,0,True,28.844000000040978,180,42.13016568937214,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,25c,37,180,596.7680184649283,596.7680184649283,180,180,41520,0,True,8.125,180,27.71411750610305,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,25c,38,180,490.95944254362746,491.06702434642335,180,180,39149,0,True,7.719000000040978,180,47.70987354655015,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,25c,39,180,476.6538579805703,476.6538579805703,180,180,31842,0,True,6.780999999959022,180,35.83517358745261,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,25c,40,180,575.6593631109595,575.6593631109595,180,180,41108,0,True,10.98499999998603,180,40.4149327107204,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,25c,41,180,527.3255030593727,535.2881410269285,180,180,43758,0,True,7.967999999993481,180,35.20288851835409,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,25c,42,180,497.67515565349714,497.67515565349714,180,180,41496,0,True,7.797000000020489,180,57.6240678140974,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,50c,43,180,893.0433180753703,898.9033080094615,180,180,142173,0,True,27.10999999998603,180,59.57504149928468,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_02__curric_d2_s3_seed2_24h,50c,44,180,1124.334553267688,1132.90485297074,180,180,149666,0,True,34.71799999999348,180,47.70319274535869,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_03__curric_d2_s3_seed3_24h,50c,45,180,1078.242073987631,1091.5283015705586,180,180,128526,0,True,33.09400000004098,180,43.7765295343922,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,25c,46,180,572.2860086995703,582.2938874598245,180,180,41767,0,True,9.85999999998603,180,34.07129875177203,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,25c,47,180,489.4779555215712,494.7127256353993,180,180,45542,0,True,8.327999999979511,180,49.38909118575762,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,25c,48,180,476.6538579805703,476.6538579805703,180,180,38078,0,True,8.047000000020489,180,36.58638095380335,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,25c,49,180,596.9974258018939,598.5249332874914,180,180,49926,0,True,8.829000000027008,180,37.06423830247604,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,25c,50,180,521.6719406242539,523.0496240699783,180,180,39473,0,True,10.609000000054948,180,37.893935810502214,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,25c,51,180,539.9238918199078,541.6047219655632,180,180,36221,0,True,7.311999999918044,180,46.53673410803316,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
