task_id,instance_id,region,arm,charge_timing_policy,seed,view,improvement_sequence,iteration,global_iteration,elapsed_seconds,global_elapsed_seconds,objective_before,objective_after,improvement_absolute,improvement_relative,objective_type
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,1,5,5,0.044118290999904275,0.044118457999502425,9223372036854775807,2547950,9223372036852227857,0.9999999999997238,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,2,16,16,0.1262824579989683,0.12628262499856646,2547950,2264091,283859,0.11140681724523636,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,3,28,28,1.0395538749999105,1.0395540419995086,2264091,2210149,53942,0.023825014100581646,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,4,57,57,2.039096458000131,2.039096624999729,2210149,2201602,8547,0.0038671600873968225,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,5,194,194,8.805946082999071,8.80594624999867,2201602,2200768,834,0.0003788150628496885,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,6,277,277,12.694142250000368,12.694142416999966,2200768,2199465,1303,0.0005920660423997441,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,7,345,345,16.52529570799925,16.525295874998847,2199465,2195399,4066,0.001848631371719941,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,8,416,416,19.435339749999912,19.43533991699951,2195399,2194163,1236,0.0005629956103651318,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,9,550,550,26.359954583000217,26.359954749999815,2194163,2190553,3610,0.0016452743027751356,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,10,640,640,76.87153749999925,76.87153766699885,2190553,2189000,1553,0.0007089534012644296,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,11,795,795,84.81824620800035,84.81824637499994,2189000,2188358,642,0.0002932846048423938,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,12,835,835,86.76462370799891,86.7646238749985,2188358,2187369,989,0.000451937023101339,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,13,1053,1053,98.0109148749998,98.0109150419994,2187369,2184962,2407,0.001100408755907211,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,14,1058,1058,98.03795204100061,98.0379522080002,2184962,2183548,1414,0.0006471508428979543,PyVRP integer proxy objective
