contractor,original_customer_revenue_cny,standalone_cost_cny,standalone_profit_cny,grand_actual_service_revenue_cny,grand_actual_service_cost_cny,grand_natural_profit_cny,grand_natural_minus_standalone_profit_cny,grand_natural_profit_below_standalone
D_dongguan,7395.0,1578.3942076506735,5816.605792349326,7084.5,800.3858475745051,6284.1141524254945,467.5083600761682,False
D_foshan,5731.5,1184.9679555469893,4546.532044453011,7293.0,924.7923411107357,6368.207658889264,1821.6756144362535,False
D_guangzhou,23025.0,3720.8346238948006,19304.1653761052,22084.5,2536.374753907782,19548.12524609222,243.95986998701846,False
D_shenzhen,24165.0,4037.271244052,20127.728755948,23854.5,2537.49158125969,21317.00841874031,1189.2796627923126,False
