gate,repeat,iterations,mode,runtime_seconds,distance,routes,feasible,signature,independent_validation
equivalence,0,5,official,0.006665166991297156,8191063,37,true,1dea150e2ec0de234a134e45fc7d1d888670f42cdf6087ba3dd43b73cacf7c82,true
equivalence,0,5,clone_native,0.0065369579824618995,8191063,37,true,1dea150e2ec0de234a134e45fc7d1d888670f42cdf6087ba3dd43b73cacf7c82,true
equivalence,0,5,clone_hooks,0.006467500003054738,8191063,37,true,1dea150e2ec0de234a134e45fc7d1d888670f42cdf6087ba3dd43b73cacf7c82,true
equivalence,0,1000,official,0.9166085830074735,8191063,37,true,98c22e68250ff69bca6af568416a95fa3f9600f64ff0c39199832e3bd31ee73c,true
equivalence,0,1000,clone_native,0.9044079160084948,8191063,37,true,98c22e68250ff69bca6af568416a95fa3f9600f64ff0c39199832e3bd31ee73c,true
equivalence,0,1000,clone_hooks,0.919215957983397,8191063,37,true,98c22e68250ff69bca6af568416a95fa3f9600f64ff0c39199832e3bd31ee73c,true
equivalence,0,5000,official,4.408104332978837,7010104,33,true,8f815f6e4e1e4ab1ea67a6837123655baaaa637ada5a7f36bdc141230f0a688c,true
equivalence,0,5000,clone_native,4.119618792028632,7010104,33,true,8f815f6e4e1e4ab1ea67a6837123655baaaa637ada5a7f36bdc141230f0a688c,true
equivalence,0,5000,clone_hooks,4.4305860419990495,7010104,33,true,8f815f6e4e1e4ab1ea67a6837123655baaaa637ada5a7f36bdc141230f0a688c,true
overhead,1,5000,official,4.113197208964266,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,1,5000,clone_native,4.125466792029329,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,1,5000,clone_hooks,4.469672541017644,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,2,5000,clone_native,4.214684541046154,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,2,5000,clone_hooks,4.161905666987877,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,2,5000,official,4.5368106670212,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,3,5000,clone_hooks,4.1659777910099365,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,3,5000,official,4.125917125027627,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,3,5000,clone_native,4.437043875048403,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,4,5000,official,4.1370773750240915,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,4,5000,clone_native,4.124558457988314,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,4,5000,clone_hooks,4.4599203749676235,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,5,5000,clone_native,4.157231958000921,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,5,5000,clone_hooks,4.17064779199427,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
overhead,5,5000,official,4.487183624994941,7010104,33,true,7cb25a6d41d9929d03dbde66836d9f5c508465dd741da525894974568be58c36,not_repeated
