method,coalition,member_count,cost_cny,revenue_cny,profit_cny,route_count,theta,feasible,cost_closure_abs_cny,profit_closure_abs_cny,profit_D_dongguan,profit_D_foshan,profit_D_guangzhou,profit_D_shenzhen
A_COALITION,D_dongguan,1,1135.8910339050485,8542.5,7406.608966094951,4,,,,,,,,
A_COALITION,D_foshan,1,1257.7780611185756,7708.5,6450.721938881425,4,,,,,,,,
A_COALITION,D_guangzhou,1,2578.0734897750904,20211.0,17632.92651022491,9,,,,,,,,
A_COALITION,D_shenzhen,1,2838.8168347273636,23854.5,21015.683165272636,10,,,,,,,,
A_COALITION,D_dongguan+D_foshan,2,2393.669095023624,16251.0,13857.330904976376,8,,,,,,,,
A_COALITION,D_dongguan+D_guangzhou,2,3713.964523680139,28753.5,25039.535476319863,13,,,,,,,,
A_COALITION,D_dongguan+D_shenzhen,2,3974.707868632412,32397.0,28422.292131367587,14,,,,,,,,
A_COALITION,D_foshan+D_guangzhou,2,3835.8515508936657,27919.5,24083.648449106335,13,,,,,,,,
A_COALITION,D_foshan+D_shenzhen,2,4096.594895845939,31563.0,27466.40510415406,14,,,,,,,,
A_COALITION,D_guangzhou+D_shenzhen,2,5126.480717439987,44065.5,38939.01928256001,19,,,,,,,,
A_COALITION,D_dongguan+D_foshan+D_guangzhou,3,4971.742584798713,36462.0,31490.257415201286,17,,,,,,,,
A_COALITION,D_dongguan+D_foshan+D_shenzhen,3,5232.485929750987,40105.5,34873.01407024901,18,,,,,,,,
A_COALITION,D_dongguan+D_guangzhou+D_shenzhen,3,6148.159124727522,52608.0,46459.84087527248,23,,,,,,,,
A_COALITION,D_foshan+D_guangzhou+D_shenzhen,3,6097.564694333876,51774.0,45676.43530566612,22,,,,,,,,
A_COALITION,D_dongguan+D_foshan+D_guangzhou+D_shenzhen,4,7810.559419526077,60316.5,52505.94058047392,27,,,,,,,,
B_PROFIT_FLOOR,,,7810.559419526077,,,,NONE,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.0,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.05,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.1,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.15,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.2,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.25,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.3,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.35,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.4,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.45,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.5,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.55,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.6,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.65,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.7,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.75,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.8,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.85,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.9,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,0.95,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
B_PROFIT_FLOOR,,,7810.559419526077,,,,1.0,True,0.0,0.0,7406.608966094951,6450.721938881425,17632.926510224912,21015.683165272636
