algorithm,bks_distance_double,bks_vehicle_count_hit,bks_vehicles,common_initial_sha256,complete_bks_hit,distance_double,distance_gap_pct_if_vehicle_hit,education,elapsed_seconds,evaluations,feasible,hgs_elapsed_seconds,hybrid_schedule,independent_recompute_pass,instance,lexicographic_score,outer_wall_seconds,route_count,search_elapsed_seconds,seed,solution_sha256,status,time_limit_seconds,vehicle_excess_vs_bks,violation_count,warm_alns_elapsed_seconds,warm_alns_evaluations,warm_distance_double,warm_route_count,warm_solution_sha256
project_alns,1230.47745014482,False,11,fabde7a40eb038e26a83c39c4e214f4a82aba44c17ad308f12fe616e490208db,False,1385.9936473618732,,,10.122910958016291,59,True,,,True,RC107,178513.99364736187,10.123902417020872,14,10.122910958016291,1,5dc4fa0cbd2c216b6e95fa8c5ff7b312c5576e4390aa0b690d1ba283cd4309d1,OK,10.0,3,0,,,,,
pyvrp_0_12_2_hgs,828.936866942834,True,10,945f0ed7cdb0e98b1d477c2e191cb8820efeedbd3f5232ff9fd614cdbe9c4a24,True,828.9368669428341,1.3714776390740047e-14,{},10.023220083035994,,True,,,True,C108,121058.93686694284,10.33795558399288,10,10.023220083035994,1,ae721fa2ee72116f412c4d77dafd8950727828cb95cdf0e2004d5250be011f27,OK,10.0,0,0,,,,,
pyvrp_0_12_2_hgs,1061.144555118564,True,3,3debcd94bb14ee8b612a816da427b5c032b88ea1cee70c24968cb2f321cdd405,False,1133.49178717379,6.817848869529604,{},10.029849791026209,,True,,,True,RC207,39089.49178717379,10.265998749993742,3,10.029849791026209,1,b410361797f775116d679f63f2e867525dbac35c098b543153a1a10f68f99351,OK,10.0,0,0,,,,,
project_alns,939.372680213868,False,3,b3c5def441251e58bbce84e6a83ddba19903cefbbef87f80c6eab85e741fccf4,False,1114.3581960646886,,,10.442795958020724,36,True,,,True,R210,69988.35819606468,10.44360666704597,6,10.442795958020724,1,50eaa0b5d9af7201066b280adaf20f5d67b5105908b2f29d41411d0c9ad0c4b9,OK,10.0,3,0,,,,,
pyvrp_0_12_2_hgs,1230.47745014482,True,11,fabde7a40eb038e26a83c39c4e214f4a82aba44c17ad308f12fe616e490208db,False,1238.705749143319,0.6687078253673452,{},10.025550167018082,,True,,,True,RC107,140410.70574914332,10.339483708026819,11,10.025550167018082,1,1a8c3b5efb27e6a666eb5a7feadda1f4b91e31ad9d69e0bbcd1907dbd002e748,OK,10.0,0,0,,,,,
project_alns,1096.726583050076,False,10,68cf81f2b50b73b08b95b1462251da07efe139619102762551d4b4f9a14c7593,False,1199.7833231562595,,,10.03822675003903,61,True,,,True,R111,161905.78332315627,10.039148167008534,14,10.03822675003903,1,d65c8edda1d02895af8ccccd890cd71ab5c7a06ad7d56df443cdf199965d53b1,OK,10.0,4,0,,,,,
alns_warm_hgs_01,939.372680213868,True,3,b3c5def441251e58bbce84e6a83ddba19903cefbbef87f80c6eab85e741fccf4,False,964.4055072159606,2.6648451173173764,{},7.520782249979675,,True,7.520782249979675,2.0s_project_alns+7.5s_pyvrp_hgs+0.5s_guard,True,R210,35401.40550721596,9.961234166985378,3,9.682539750006981,1,cc810f94f55075088c84a9a2a067453177ae86b8c3791662027d26a44ba1d299,OK,10.0,0,0,2.1617575000273064,8,1564.861804654044,6,906dff6141aec2c1ec7926009c96156889a9067bfa6377a0307a29292828e40e
project_alns,828.936866942834,False,10,945f0ed7cdb0e98b1d477c2e191cb8820efeedbd3f5232ff9fd614cdbe9c4a24,False,1224.5339911374645,,,10.003119666012935,2746,True,,,True,C108,133477.53399113746,10.003968500008341,11,10.003119666012935,1,d2f22832514de0a0c1595badf98d0fa22569e2db8b4ee389b36b366157a23449,OK,10.0,1,0,,,,,
project_alns,1061.144555118564,False,3,3debcd94bb14ee8b612a816da427b5c032b88ea1cee70c24968cb2f321cdd405,False,1263.3720158888286,,,10.351667209004518,40,True,,,True,RC207,89827.37201588883,10.352353000023868,7,10.351667209004518,1,8bb5d22d10b0f8bdeffd3762bf0bd6bd06aa255a393f8cfc5d31c62ed17ffcb0,OK,10.0,4,0,,,,,
pyvrp_0_12_2_hgs,588.286321426213,True,3,0838e153081fc5e1a89c0b39b3502057887d104e5bd3cadd139835d952ad241e,True,588.2863214262128,-3.8650172061114435e-14,{},10.033868916973006,,True,,,True,C207,36657.28632142621,10.361564583028667,3,10.033868916973006,1,2a4ee9996dc6ad05ec22b9815289d8b170f8d41cbf74e423ce8a9ed3ea63e193,OK,10.0,0,0,,,,,
alns_warm_hgs_01,1061.144555118564,True,3,3debcd94bb14ee8b612a816da427b5c032b88ea1cee70c24968cb2f321cdd405,False,1096.8697171069787,3.3666630824320567,{},7.521561166970059,,True,7.521561166970059,2.0s_project_alns+7.5s_pyvrp_hgs+0.5s_guard,True,RC207,39052.86971710698,10.072067333036102,3,9.825673000945244,1,8541228a19358634b7a48aabbd845b6de1baac4b769ea230b441556158d23d2c,OK,10.0,0,0,2.3041118339751847,8,1963.812564328968,7,a74c54e100ebdc2d632abc13a7e40ed13739341c3bcec01d1b8dac4e59ce9012
alns_warm_hgs_01,588.286321426213,True,3,0838e153081fc5e1a89c0b39b3502057887d104e5bd3cadd139835d952ad241e,True,588.2863214262128,-3.8650172061114435e-14,{},7.514388542040251,,True,7.514388542040251,2.0s_project_alns+7.5s_pyvrp_hgs+0.5s_guard,True,C207,36657.28632142621,9.98384504095884,3,9.806636542023625,1,2a4ee9996dc6ad05ec22b9815289d8b170f8d41cbf74e423ce8a9ed3ea63e193,OK,10.0,0,0,2.292247999983374,8,1587.1603135738378,5,e713073950e127e7c8f92edb45a235ced6d779a36c00c2e733c25ef2248eb302
project_alns,588.286321426213,False,3,0838e153081fc5e1a89c0b39b3502057887d104e5bd3cadd139835d952ad241e,False,907.3947115817177,,,10.02338437497383,38,True,,,True,C207,61022.39471158172,10.024156208033673,5,10.02338437497383,1,7ff86b8212ee749cddf4bc139acf68075d304ce93f9c2e324092f22c4f26359d,OK,10.0,2,0,,,,,
