fleet_level_percent,available_cv,available_ev,available_total,formal_run_count,feasible_pair_count,infeasible_or_not_found_count,technical_error_count,aware_dispatched_cv_mean,aware_dispatched_ev_mean,aware_used_physical_vehicles_mean,aware_route_count_mean,aware_operating_cost_cny_mean,aware_system_emissions_kg_mean,blind_dispatched_cv_mean,blind_dispatched_ev_mean,blind_used_physical_vehicles_mean,blind_route_count_mean,emissions_difference_vs_blind_kg_mean,emissions_difference_vs_blind_pct_mean,operating_cost_difference_vs_blind_cny_mean,charging_timing_change_count_total,charging_action_unmatched_count_total,vehicle_type_change_customer_count_total,route_change_customer_count_total,unserved_customer_count_total,duplicate_service_count_total,violation_items
0,13,0,13,10,10,0,0,10.0,0.0,10.0,16.0,4120.089913814464,490.3455438542953,10.0,0.0,10.0,16.0,0.0,0.0,0.0,0,0,0,0,0,0,[]
25,10,3,13,10,10,0,0,7.0,3.0,10.0,16.0,3597.1597161778627,325.38245253188006,7.0,3.0,10.0,16.0,0.0,0.0,4.547473508864641e-13,0,0,0,0,0,0,[]
50,6,7,13,10,10,0,0,4.0,6.0,10.0,16.0,3421.19395714174,255.6862152772453,4.0,6.0,10.0,16.0,0.0,0.0,0.0,0,0,0,0,0,0,[]
75,3,10,13,10,0,10,0,,,,,,,,,,,,,,0,0,0,0,0,0,"[""COST_ONLY: ValueError: China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_guangzhou': overage=(2, 0, 0)"",""COST_PLUS_CARBON: ValueError: China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_guangzhou': overage=(2, 0, 0)""]"
100,0,13,13,10,0,10,0,,,,,,,,,,,,,,0,0,0,0,0,0,"[""COST_ONLY: ValueError: China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_guangzhou': overage=(3, 0, 0)"",""COST_PLUS_CARBON: ValueError: China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_guangzhou': overage=(3, 0, 0)""]"
