unit_id,instance_id,fleet_level_percent,seed,status,available_cv,available_ev,available_total,aware_dispatched_cv,aware_dispatched_ev,aware_used_physical_vehicles,aware_route_count,aware_operating_cost_cny,aware_full_model_cost_cny,aware_system_emissions_kg,aware_charging_emissions_kg,aware_solution_sha256,blind_dispatched_cv,blind_dispatched_ev,blind_used_physical_vehicles,blind_route_count,blind_operating_cost_cny,blind_rescored_full_model_cost_cny,blind_system_emissions_kg,blind_charging_emissions_kg,blind_solution_sha256,emissions_difference_vs_blind_kg,emissions_difference_vs_blind_pct,operating_cost_difference_vs_blind_cny,operating_cost_difference_vs_blind_pct,charging_timing_change_count,charging_action_unmatched_count,vehicle_type_change_customer_count,route_change_customer_count,route_count_difference,unserved_customer_count,duplicate_service_count,violation_count,violations,aware_hgs_iterations_by_view,blind_hgs_iterations_by_view,aware_stop_reasons_by_view,blind_stop_reasons_by_view,attempted_search_arm_count,successful_search_arm_count,complete_solution_available,solution_kind,failure_evidence_sha256,pair_solution_sha256,solution_sha256,elapsed_seconds,failure_reason
level_000__seed_01,cn-prd-100c-01-V2-LOCATIONS,0,1,PASS,13,0,13,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":648,""mechanism_ev"":260,""naive_ev"":553}","{""cv_only"":308,""mechanism_ev"":557,""naive_ev"":880}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",2,2,True,FULL_PAIRED_COMPLETE_SOLUTIONS,,9e1ff55832c79f9d655d786a261ccf617e91f0da068651ae068879eeb50e446b,9e1ff55832c79f9d655d786a261ccf617e91f0da068651ae068879eeb50e446b,43.879950457951054,
level_000__seed_02,cn-prd-100c-01-V2-LOCATIONS,0,2,PASS,13,0,13,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":215,""mechanism_ev"":368,""naive_ev"":220}","{""cv_only"":1016,""mechanism_ev"":746,""naive_ev"":912}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",2,2,True,FULL_PAIRED_COMPLETE_SOLUTIONS,,89f47afb86ddff82672303c081adf98ecd2c96343706caf08c467305a72900b1,89f47afb86ddff82672303c081adf98ecd2c96343706caf08c467305a72900b1,41.887253332999535,
level_000__seed_03,cn-prd-100c-01-V2-LOCATIONS,0,3,PASS,13,0,13,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":662,""mechanism_ev"":707,""naive_ev"":585}","{""cv_only"":213,""mechanism_ev"":409,""naive_ev"":450}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",2,2,True,FULL_PAIRED_COMPLETE_SOLUTIONS,,984636ae1daefdb6486288c6fcbe8f9a9e771d00c29e9fb985fcfff9c338b12f,984636ae1daefdb6486288c6fcbe8f9a9e771d00c29e9fb985fcfff9c338b12f,39.48758654098492,
level_000__seed_04,cn-prd-100c-01-V2-LOCATIONS,0,4,PASS,13,0,13,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":526,""mechanism_ev"":295,""naive_ev"":604}","{""cv_only"":599,""mechanism_ev"":250,""naive_ev"":390}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",2,2,True,FULL_PAIRED_COMPLETE_SOLUTIONS,,744c987e232418fea837d7c609622f85deef373b596ef137c7a59b801794e056,744c987e232418fea837d7c609622f85deef373b596ef137c7a59b801794e056,36.44406524999067,
level_000__seed_05,cn-prd-100c-01-V2-LOCATIONS,0,5,PASS,13,0,13,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":181,""mechanism_ev"":351,""naive_ev"":445}","{""cv_only"":465,""mechanism_ev"":375,""naive_ev"":454}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",2,2,True,FULL_PAIRED_COMPLETE_SOLUTIONS,,6d52fc5abe1fb6cba803fb9e407784b380a04f6deee36f200ebac9730afcd9d7,6d52fc5abe1fb6cba803fb9e407784b380a04f6deee36f200ebac9730afcd9d7,34.2841402500635,
level_000__seed_06,cn-prd-100c-01-V2-LOCATIONS,0,6,PASS,13,0,13,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":732,""mechanism_ev"":375,""naive_ev"":602}","{""cv_only"":572,""mechanism_ev"":966,""naive_ev"":709}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",2,2,True,FULL_PAIRED_COMPLETE_SOLUTIONS,,a7edc3d7667d9df8128cded4261c406a5ed263d10061a6d98e321001cbcc1ee9,a7edc3d7667d9df8128cded4261c406a5ed263d10061a6d98e321001cbcc1ee9,42.38956708298065,
level_000__seed_07,cn-prd-100c-01-V2-LOCATIONS,0,7,PASS,13,0,13,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":281,""mechanism_ev"":574,""naive_ev"":717}","{""cv_only"":184,""mechanism_ev"":403,""naive_ev"":287}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",2,2,True,FULL_PAIRED_COMPLETE_SOLUTIONS,,489405bb6f518fd575c04ec93883f006d434330beb385e735589ae0ca5157508,489405bb6f518fd575c04ec93883f006d434330beb385e735589ae0ca5157508,44.94165133300703,
level_000__seed_08,cn-prd-100c-01-V2-LOCATIONS,0,8,PASS,13,0,13,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":513,""mechanism_ev"":503,""naive_ev"":666}","{""cv_only"":345,""mechanism_ev"":793,""naive_ev"":531}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",2,2,True,FULL_PAIRED_COMPLETE_SOLUTIONS,,e696148df21f5d61433bfd0fa504a61b3eef415e18b5a4fa5464fda905d59188,e696148df21f5d61433bfd0fa504a61b3eef415e18b5a4fa5464fda905d59188,50.73576054198202,
level_000__seed_09,cn-prd-100c-01-V2-LOCATIONS,0,9,PASS,13,0,13,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":502,""mechanism_ev"":410,""naive_ev"":618}","{""cv_only"":339,""mechanism_ev"":248,""naive_ev"":503}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",2,2,True,FULL_PAIRED_COMPLETE_SOLUTIONS,,f6a2973a432f1bf07886b62eb4aae49e6a3ee8171988edb5d71170b385888c37,f6a2973a432f1bf07886b62eb4aae49e6a3ee8171988edb5d71170b385888c37,54.1898270000238,
level_000__seed_10,cn-prd-100c-01-V2-LOCATIONS,0,10,PASS,13,0,13,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,10,0,10,16,4120.089913814464,4156.875636514414,490.34554385429533,0.0,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":798,""mechanism_ev"":286,""naive_ev"":287}","{""cv_only"":539,""mechanism_ev"":250,""naive_ev"":601}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}","{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",2,2,True,FULL_PAIRED_COMPLETE_SOLUTIONS,,7218cf059075d9d6adc6b9175c6cc31dc91a2e15de17996e7b557f47b8ff3959,7218cf059075d9d6adc6b9175c6cc31dc91a2e15de17996e7b557f47b8ff3959,51.60363037500065,
