arm,charging_emissions_kg,elapsed_seconds,failure_reason,fleet_level_percent,full_model_cost_cny,hgs_iterations_by_view,objective,operating_cost_cny,route_count,seed,solution_sha256,status,stop_reasons_by_view,system_emissions_kg,unit_id,used_cv,used_ev,used_physical_vehicles
COST_ONLY,0.0,21.47289470897522,,0,4120.089913814464,"{""cv_only"":308,""mechanism_ev"":557,""naive_ev"":880}",4120.089913814464,4120.089913814464,16,1,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,PASS,"{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",490.34554385429533,level_000__seed_01,10,0,10
COST_PLUS_CARBON,0.0,21.94421558303293,,0,4156.875636514414,"{""cv_only"":648,""mechanism_ev"":260,""naive_ev"":553}",4156.875636514414,4120.089913814464,16,1,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,PASS,"{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",490.34554385429533,level_000__seed_01,10,0,10
COST_ONLY,0.0,25.32121912506409,,0,4120.089913814464,"{""cv_only"":1016,""mechanism_ev"":746,""naive_ev"":912}",4120.089913814464,4120.089913814464,16,2,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,PASS,"{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",490.34554385429533,level_000__seed_02,10,0,10
COST_PLUS_CARBON,0.0,16.028561708983034,,0,4156.875636514414,"{""cv_only"":215,""mechanism_ev"":368,""naive_ev"":220}",4156.875636514414,4120.089913814464,16,2,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,PASS,"{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",490.34554385429533,level_000__seed_02,10,0,10
COST_ONLY,0.0,15.788839041022584,,0,4120.089913814464,"{""cv_only"":213,""mechanism_ev"":409,""naive_ev"":450}",4120.089913814464,4120.089913814464,16,3,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,PASS,"{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",490.34554385429533,level_000__seed_03,10,0,10
COST_PLUS_CARBON,0.0,23.148765542078763,,0,4156.875636514414,"{""cv_only"":662,""mechanism_ev"":707,""naive_ev"":585}",4156.875636514414,4120.089913814464,16,3,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,PASS,"{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",490.34554385429533,level_000__seed_03,10,0,10
COST_ONLY,0.0,17.52742766600568,,0,4120.089913814464,"{""cv_only"":599,""mechanism_ev"":250,""naive_ev"":390}",4120.089913814464,4120.089913814464,16,4,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,PASS,"{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",490.34554385429533,level_000__seed_04,10,0,10
COST_PLUS_CARBON,0.0,18.316786957904696,,0,4156.875636514414,"{""cv_only"":526,""mechanism_ev"":295,""naive_ev"":604}",4156.875636514414,4120.089913814464,16,4,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,PASS,"{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",490.34554385429533,level_000__seed_04,10,0,10
COST_ONLY,0.0,17.43522587500047,,0,4120.089913814464,"{""cv_only"":465,""mechanism_ev"":375,""naive_ev"":454}",4120.089913814464,4120.089913814464,16,5,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,PASS,"{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",490.34554385429533,level_000__seed_05,10,0,10
COST_PLUS_CARBON,0.0,16.342659250018187,,0,4156.875636514414,"{""cv_only"":181,""mechanism_ev"":351,""naive_ev"":445}",4156.875636514414,4120.089913814464,16,5,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,PASS,"{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",490.34554385429533,level_000__seed_05,10,0,10
COST_ONLY,0.0,22.353209499968216,,0,4120.089913814464,"{""cv_only"":572,""mechanism_ev"":966,""naive_ev"":709}",4120.089913814464,4120.089913814464,16,6,6eeaea49be70d99e9e4f97b00c37c0dd573508d994d86217f77afac201742e27,PASS,"{""cv_only"":""NO_IMPROVEMENT_150"",""mechanism_ev"":""NO_IMPROVEMENT_150"",""naive_ev"":""NO_IMPROVEMENT_150""}",490.34554385429533,level_000__seed_06,10,0,10
