mode,budget,enabled,evaluations,candidate_scores,actual_moves,raw_cost,final_cost,raw_exact_signature,raw_skeleton_signature,history_fingerprint,operator_fingerprint,main_rng_fingerprint,selector_rng_fingerprint,prescore_count,archive_count,mechanism_candidate_evaluations,worker_elapsed_seconds
archive,0,False,0,0,0,659.0717985159309,659.0717985159309,244f7171e057584dc49847a7a65dd2d94fa3445cd92e40c3fa93e0d2bd4bd4e6,8fbe49fedbe433a5852b434f50394338d09ed37a566d1401244fff9d12d64f70,545a5c03bec5ff096ec3780b069f53aeb942e8af081875890d7c85830ff019fb,ee994e27781d980308fad23ad3ad0b71ece42a0fa606b13b36a5b769de39ce61,186a3585ccfa70540fb24bcd811b8b0dd88946d9f3bd260f9f1fbe88b62be135,186a3585ccfa70540fb24bcd811b8b0dd88946d9f3bd260f9f1fbe88b62be135,0,0,0,0.024968500016257167
archive,0,True,0,0,0,659.0717985159309,659.0717985159309,244f7171e057584dc49847a7a65dd2d94fa3445cd92e40c3fa93e0d2bd4bd4e6,8fbe49fedbe433a5852b434f50394338d09ed37a566d1401244fff9d12d64f70,545a5c03bec5ff096ec3780b069f53aeb942e8af081875890d7c85830ff019fb,ee994e27781d980308fad23ad3ad0b71ece42a0fa606b13b36a5b769de39ce61,186a3585ccfa70540fb24bcd811b8b0dd88946d9f3bd260f9f1fbe88b62be135,186a3585ccfa70540fb24bcd811b8b0dd88946d9f3bd260f9f1fbe88b62be135,0,0,0,0.024028791987802833
capture,0,False,0,0,0,659.0717985159309,659.0717985159309,244f7171e057584dc49847a7a65dd2d94fa3445cd92e40c3fa93e0d2bd4bd4e6,8fbe49fedbe433a5852b434f50394338d09ed37a566d1401244fff9d12d64f70,545a5c03bec5ff096ec3780b069f53aeb942e8af081875890d7c85830ff019fb,ee994e27781d980308fad23ad3ad0b71ece42a0fa606b13b36a5b769de39ce61,186a3585ccfa70540fb24bcd811b8b0dd88946d9f3bd260f9f1fbe88b62be135,186a3585ccfa70540fb24bcd811b8b0dd88946d9f3bd260f9f1fbe88b62be135,0,0,0,0.022326083038933575
capture,0,True,0,0,0,659.0717985159309,659.0717985159309,244f7171e057584dc49847a7a65dd2d94fa3445cd92e40c3fa93e0d2bd4bd4e6,8fbe49fedbe433a5852b434f50394338d09ed37a566d1401244fff9d12d64f70,545a5c03bec5ff096ec3780b069f53aeb942e8af081875890d7c85830ff019fb,ee994e27781d980308fad23ad3ad0b71ece42a0fa606b13b36a5b769de39ce61,186a3585ccfa70540fb24bcd811b8b0dd88946d9f3bd260f9f1fbe88b62be135,186a3585ccfa70540fb24bcd811b8b0dd88946d9f3bd260f9f1fbe88b62be135,0,0,0,0.029715250013396144
archive,1,False,1,1,1,657.8080391955206,635.0047310751323,821a2e9d8dd77259a1dd30c9f8ffdecd500e2080ef4c1d625627fe7daa656efd,2304fff5bf2296699ada0bf65977770e72599cd627421a183552cb2ead650183,16115f317b0e7c1dbf10dc9d576672c872686276ea84e1a1ad9ea79451ab81f9,6edc73dc44ab239d1a0b600d5f112fcfe83ecc9a3a1faa24bbd6b5f3ed360b0f,91fc29a2744a64ca16271bd3fca4b5cd302168b16b3de01ce67e95015cbcb94a,91fc29a2744a64ca16271bd3fca4b5cd302168b16b3de01ce67e95015cbcb94a,0,1,0,0.12618379201740026
archive,1,True,1,1,1,657.8080391955206,635.0047310751323,821a2e9d8dd77259a1dd30c9f8ffdecd500e2080ef4c1d625627fe7daa656efd,2304fff5bf2296699ada0bf65977770e72599cd627421a183552cb2ead650183,16115f317b0e7c1dbf10dc9d576672c872686276ea84e1a1ad9ea79451ab81f9,6edc73dc44ab239d1a0b600d5f112fcfe83ecc9a3a1faa24bbd6b5f3ed360b0f,91fc29a2744a64ca16271bd3fca4b5cd302168b16b3de01ce67e95015cbcb94a,91fc29a2744a64ca16271bd3fca4b5cd302168b16b3de01ce67e95015cbcb94a,1,2,0,0.18405970797175542
capture,1,False,1,1,1,657.8080391955206,657.8080391955206,821a2e9d8dd77259a1dd30c9f8ffdecd500e2080ef4c1d625627fe7daa656efd,2304fff5bf2296699ada0bf65977770e72599cd627421a183552cb2ead650183,16115f317b0e7c1dbf10dc9d576672c872686276ea84e1a1ad9ea79451ab81f9,6edc73dc44ab239d1a0b600d5f112fcfe83ecc9a3a1faa24bbd6b5f3ed360b0f,91fc29a2744a64ca16271bd3fca4b5cd302168b16b3de01ce67e95015cbcb94a,91fc29a2744a64ca16271bd3fca4b5cd302168b16b3de01ce67e95015cbcb94a,0,0,0,0.028296834032516927
capture,1,True,1,1,1,657.8080391955206,657.8080391955206,821a2e9d8dd77259a1dd30c9f8ffdecd500e2080ef4c1d625627fe7daa656efd,2304fff5bf2296699ada0bf65977770e72599cd627421a183552cb2ead650183,16115f317b0e7c1dbf10dc9d576672c872686276ea84e1a1ad9ea79451ab81f9,6edc73dc44ab239d1a0b600d5f112fcfe83ecc9a3a1faa24bbd6b5f3ed360b0f,91fc29a2744a64ca16271bd3fca4b5cd302168b16b3de01ce67e95015cbcb94a,91fc29a2744a64ca16271bd3fca4b5cd302168b16b3de01ce67e95015cbcb94a,0,0,0,0.023841582995373756
archive,2,False,2,2,2,648.6186039346957,625.7934151263944,92919301797ced4fbffff08a6fce8dc6d23864558c741ad6171addc14a1155a9,c60c0807dd820737f9323a0a401b8c3402c8ab2ec13d2884dac0bddefde669d6,ed4f399c4d5f5d4469a26b48e057fa69d25ead1ba4210454f4260ef5be7bc94e,2126b0b1d2e200ab1d2f9c6db9b094194b7942afe77e8964032bc60f1beeed21,7218b0bee470589cd9555eec80b688103623a10c1cabf7cc72fe145ebbb464b4,7218b0bee470589cd9555eec80b688103623a10c1cabf7cc72fe145ebbb464b4,0,1,0,0.14048650005133823
archive,2,True,2,2,2,648.6186039346957,625.7934151263944,92919301797ced4fbffff08a6fce8dc6d23864558c741ad6171addc14a1155a9,c60c0807dd820737f9323a0a401b8c3402c8ab2ec13d2884dac0bddefde669d6,ed4f399c4d5f5d4469a26b48e057fa69d25ead1ba4210454f4260ef5be7bc94e,2126b0b1d2e200ab1d2f9c6db9b094194b7942afe77e8964032bc60f1beeed21,7218b0bee470589cd9555eec80b688103623a10c1cabf7cc72fe145ebbb464b4,7218b0bee470589cd9555eec80b688103623a10c1cabf7cc72fe145ebbb464b4,2,3,0,0.24153075000504032
