instance_id,stratum,seed,mother_cost,mother_cpu_seconds,mother_feasible,hybrid_cost,hybrid_cpu_seconds,hybrid_feasible,cpu_ratio,hybrid_vs_mother,improvement_percent,epochs_run
cn-cy-150c-03-V2-LOCATIONS,cy-150,1,7448.948416950308,206.48002341692336,True,7324.109121420889,439.2412823329214,True,2.127282218706493,win,1.675931803277666,4
cn-cy-150c-03-V2-LOCATIONS,cy-150,2,7472.724315449654,151.86420299997553,True,7446.781508428543,402.93130508298054,True,2.653234252202578,win,0.34716665470281827,4
cn-cy-150c-03-V2-LOCATIONS,cy-150,3,7460.394979432852,215.30285708291922,True,7308.034323177035,452.4531469999347,True,2.1014730279481717,win,2.0422599162088826,4
cn-cy-150c-03-V2-LOCATIONS,cy-150,4,7306.961760646735,279.13761175004765,True,7306.961760646735,367.17240549996495,True,1.3153813389674895,tie,0.0,2
cn-cy-150c-03-V2-LOCATIONS,cy-150,5,7466.515132345643,132.02101595897693,True,7460.226907366768,406.43667812505737,True,3.078575597777175,win,0.08421900803005442,4
cn-jjj-25c-03-V2-LOCATIONS,jjj-25,1,1464.352359919282,4.366322832996957,True,1464.352359919282,9.970615374972112,True,2.2835268385614262,tie,0.0,2
cn-jjj-25c-03-V2-LOCATIONS,jjj-25,2,1464.352359919282,4.459664750029333,True,1464.352359919282,9.763111082953401,True,2.189202917750529,tie,0.0,2
cn-jjj-25c-03-V2-LOCATIONS,jjj-25,3,1464.352359919282,4.223737749969587,True,1464.352359919282,9.682287040981464,True,2.2923504284922003,tie,0.0,2
cn-jjj-25c-03-V2-LOCATIONS,jjj-25,4,1464.352359919282,4.230618667090312,True,1464.352359919282,9.677865667035803,True,2.287576931080848,tie,0.0,2
cn-jjj-25c-03-V2-LOCATIONS,jjj-25,5,1464.352359919282,4.2849012919468805,True,1464.352359919282,9.526240749983117,True,2.2232112482700366,tie,0.0,2
cn-prd-75c-03-V2-LOCATIONS,prd-75,1,3897.499527282721,49.21760545799043,True,3897.499527282721,79.82944341597613,True,1.6219692663454415,tie,0.0,2
cn-prd-75c-03-V2-LOCATIONS,prd-75,2,3897.499527282721,49.69456645892933,True,3897.499527282721,78.62404479191173,True,1.5821457031301704,tie,0.0,2
cn-prd-75c-03-V2-LOCATIONS,prd-75,3,3897.499527282721,37.83187320793513,True,3897.499527282721,63.59854054090101,True,1.6810835718164068,tie,0.0,2
cn-prd-75c-03-V2-LOCATIONS,prd-75,4,3897.499527282721,52.45592645800207,True,3897.499527282721,74.0539476670092,True,1.4117365313583625,tie,0.0,2
cn-prd-75c-03-V2-LOCATIONS,prd-75,5,3897.499527282721,37.366241583018564,True,3897.499527282721,65.27724679198582,True,1.7469577893445851,tie,0.0,2
