scope,comparison_group,category,instance,seed,a0_profile,a3_profile,wins_vs_a0,losses_vs_a0,ties_vs_a0,a0_mean_gap_vs_lns,a3_mean_gap_vs_lns,a0_unchanged_rate,a3_unchanged_rate,a0_best_improved_rate,a3_best_improved_rate,a0_best_cost,a3_best_cost,lns_best_cost,a0_gap_vs_lns,a3_gap_vs_lns,outcome_vs_a0
run,BACKEND_ONLY,threeshift,e2-threeshift-100c-01,1,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,2728.4185304558287,2840.0164771591103,2702.079682384095,-0.009747620783889794,-0.051048381612977076,A3_WORSE
run,BACKEND_ONLY,threeshift,e2-threeshift-100c-01,2,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,2720.4174402217823,2879.3703020465623,2768.271074957225,0.017286469944487775,-0.040133073705960594,A3_WORSE
run,BACKEND_ONLY,threeshift,e2-threeshift-100c-01,3,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,2725.487995598678,2819.732111022763,2763.9022002300962,0.013898539763172594,-0.020199669434041112,A3_WORSE
run,BACKEND_ONLY,threeshift,e2-threeshift-150c-01,1,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,4162.42374960184,3938.178905381108,3908.7527003956066,-0.06489820887889881,-0.007528285169466787,A3_BETTER
run,BACKEND_ONLY,threeshift,e2-threeshift-150c-01,2,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,3957.577916839313,3767.4975358024244,4002.850420277527,0.011310066249009473,0.058796322561257504,A3_BETTER
run,BACKEND_ONLY,threeshift,e2-threeshift-150c-01,3,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,3748.830976893307,3721.1451628484574,4059.0358393620645,0.07642328738775335,0.08324407319515352,A3_BETTER
run,BACKEND_ONLY,threeshift,e2-threeshift-50c-01,1,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,1375.1938970651051,1370.280821616514,1352.8899307919728,-0.01648616473926726,-0.012854623594072202,A3_BETTER
run,BACKEND_ONLY,threeshift,e2-threeshift-50c-01,2,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,1363.6552754340728,1386.2883155149157,1334.4596675803778,-0.021878224245347237,-0.03883867695193279,A3_WORSE
run,BACKEND_ONLY,threeshift,e2-threeshift-50c-01,3,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,1364.35297701062,1368.9459139087787,1352.8899307919728,-0.008473007269657745,-0.011867915305871819,A3_WORSE
run,BACKEND_ONLY,threeshift,e2-threeshift-75c-01,1,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,1887.2330592895107,2102.0500103389722,1987.6252716039037,0.05050862139289566,-0.057568567058283636,A3_WORSE
