theta,feasible,system_cost_cny,profits_cny,solution_sha256,profit_closure_abs_cny,solver_status,solver_message
0.0,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.05,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.15,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.2,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.25,True,6924.991149961344,"{""D_dongguan"": 6597.531553364193, ""D_foshan"": 7816.299656495776, ""D_guangzhou"": 17033.9158627309, ""D_shenzhen"": 21943.761777447788}",1c2fcb2f0efe2ec9ae548b8d13cdf061721afc1229635015b60e0ce5af68fc65,0.0,1,Time limit reached. (HiGHS Status 13: Time limit reached)
0.3,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.35,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.4,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.45,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.5,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.55,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.6,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.65,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.7,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.75,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.8,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.85,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.9,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.95,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
1.0,True,6799.044523852713,"{""D_dongguan"": 6284.1141524254945, ""D_foshan"": 6368.207658889264, ""D_guangzhou"": 19548.12524609222, ""D_shenzhen"": 21317.00841874031}",cd76e33fd5678e155782a042ecaff8f7b365abadf85f204547e688cb1f0f9e51,0.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
