algorithm,seeds,unique_best_costs,best_cost_values,unique_best_signatures,all_eval_budget_full
GA,1|2|3,3,4110.049788791648|4489.330320008124|4506.104533541003,3,True
LNS,1|2|3,3,3554.0400677971443|3560.6317439286577|3575.2175786555454,3,True
PSO,1|2|3,3,4752.195758113661|4760.4022406746235|4805.270409675782,3,True
VNS,1|2|3,3,4138.244919388814|4139.85194253881|4151.365339160481,3,True
