scope,algorithm,seed,run_id,verdict,flags,native_best_updates,route_count_unique
run,GA,1,G0_GA_seed1,BASELINE_LIVENESS_OK,,22,26
run,GA,2,G0_GA_seed2,BASELINE_LIVENESS_OK,,9,24
run,GA,3,G0_GA_seed3,BASELINE_LIVENESS_OK,,1,25
run,LNS,1,G0_LNS_seed1,BASELINE_LIVENESS_OK,,34,13
run,LNS,2,G0_LNS_seed2,BASELINE_LIVENESS_OK,,22,14
run,LNS,3,G0_LNS_seed3,BASELINE_LIVENESS_OK,,39,13
run,PSO,1,G0_PSO_seed1,BASELINE_LIVENESS_FAIL,NO_NATIVE_BEST_UPDATE,0,13
run,PSO,2,G0_PSO_seed2,BASELINE_LIVENESS_FAIL,NO_NATIVE_BEST_UPDATE,0,12
run,PSO,3,G0_PSO_seed3,BASELINE_LIVENESS_FAIL,NO_NATIVE_BEST_UPDATE,0,12
run,VNS,1,G0_VNS_seed1,BASELINE_LIVENESS_OK,,3,8
run,VNS,2,G0_VNS_seed2,BASELINE_LIVENESS_FAIL,NO_NATIVE_BEST_UPDATE,0,10
run,VNS,3,G0_VNS_seed3,BASELINE_LIVENESS_OK,,4,9
algorithm_seed_group,GA,1|2|3,,SEED_VARIATION_OK,,32,26|24|25
algorithm_seed_group,LNS,1|2|3,,SEED_VARIATION_OK,,95,13|14|13
algorithm_seed_group,PSO,1|2|3,,SEED_VARIATION_OK,,0,13|12|12
algorithm_seed_group,VNS,1|2|3,,SEED_VARIATION_OK,,7,8|10|9
