algorithm,seed,run_id,actual_evals,best_cost,native_best_updates,flip_best_updates,common_best_updates,route_count_unique,liveness_verdict,final_improvement_eval,unique_channels
GA,1,G0_GA_seed1,16000,4110.049788791648,22,23,1,26,BASELINE_LIVENESS_OK,12236,common_flip_preprocess|flip_operator|native_ga_common_arcs_mutation|native_ga_common_nodes|native_ga_random_start_nn_initialization
GA,2,G0_GA_seed2,16000,4489.330320008124,9,21,1,24,BASELINE_LIVENESS_OK,12133,common_flip_preprocess|flip_operator|native_ga_common_arcs|native_ga_common_arcs_mutation|native_ga_random_start_nn_initialization
GA,3,G0_GA_seed3,16000,4506.104533541003,1,25,1,25,BASELINE_LIVENESS_OK,95,common_flip_preprocess|flip_operator|native_ga_random_start_nn_initialization
LNS,1,G0_LNS_seed1,16000,3560.6317439286577,34,28,1,13,BASELINE_LIVENESS_OK,11167,common_flip_preprocess|flip_operator|native_lns_random_customer_removal_greedy_insert_repair|native_lns_random_customer_removal_regret2_insert_repair|native_lns_random_customer_removal_regret3_insert_repair|native_lns_shaw_related_removal_greedy_insert_repair|native_lns_shaw_related_removal_regret2_insert_repair|native_lns_shaw_related_removal_regret3_insert_repair|native_lns_worst_customer_removal_regret2_insert_repair|native_lns_worst_customer_removal_regret3_insert_repair
LNS,2,G0_LNS_seed2,16000,3575.2175786555454,22,24,1,14,BASELINE_LIVENESS_OK,11827,common_flip_preprocess|flip_operator|native_lns_random_customer_removal_greedy_insert_repair|native_lns_random_customer_removal_regret2_insert_repair|native_lns_random_customer_removal_regret3_insert_repair|native_lns_shaw_related_removal_greedy_insert_repair|native_lns_shaw_related_removal_regret2_insert_repair|native_lns_shaw_related_removal_regret3_insert_repair|native_lns_worst_customer_removal_greedy_insert_repair|native_lns_worst_customer_removal_regret2_insert_repair
LNS,3,G0_LNS_seed3,16000,3554.0400677971443,39,42,1,13,BASELINE_LIVENESS_OK,11889,common_flip_preprocess|flip_operator|native_lns_random_customer_removal_greedy_insert_repair|native_lns_random_customer_removal_regret2_insert_repair|native_lns_random_customer_removal_regret3_insert_repair|native_lns_shaw_related_removal_greedy_insert_repair|native_lns_shaw_related_removal_regret2_insert_repair|native_lns_shaw_related_removal_regret3_insert_repair
PSO,1,G0_PSO_seed1,16000,4760.4022406746235,0,15,1,13,BASELINE_LIVENESS_FAIL,5775,common_flip_preprocess|flip_operator
PSO,2,G0_PSO_seed2,16000,4752.195758113661,0,25,1,12,BASELINE_LIVENESS_FAIL,3887,common_flip_preprocess|flip_operator
PSO,3,G0_PSO_seed3,16000,4805.270409675782,0,18,1,12,BASELINE_LIVENESS_FAIL,3313,common_flip_preprocess|flip_operator
VNS,1,G0_VNS_seed1,16000,4138.244919388814,3,27,1,8,BASELINE_LIVENESS_OK,15572,common_flip_preprocess|flip_operator|native_vns_local_alns_shaw
VNS,2,G0_VNS_seed2,16000,4151.365339160481,0,35,1,10,BASELINE_LIVENESS_FAIL,15081,common_flip_preprocess|flip_operator
VNS,3,G0_VNS_seed3,16000,4139.85194253881,4,32,1,9,BASELINE_LIVENESS_OK,9635,common_flip_preprocess|flip_operator|native_vns_local_alns_shaw
